S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S15,S16,S17,S18,S21,S22,S23,S24,S25,S26,S27,S28,S29,S31,M3x,M3y,M3z,M1x,M1y,M1z,M4x,M4y,M4z,M2x,M2y,M2z,sesion_time_stamp
11,8,5,0,13,0,4,0,2,8,38,16,0,14,4,7,3,18,1,72,52,3,23,3,1,21,2,1.55430400371552,0.612043499946594,0.848724782466888,1.66588270664215,0.387760490179062,0.623598754405975,1.39764606952667,0.128938585519791,0.630724489688873,1.39452171325684,0.266376912593841,0.782863795757294,11_Sep_2023_14_40
11,1,4,4,12,2,0,12,0,4,30,11,0,19,4,5,0,16,1,66,50,6,21,3,7,17,1,1.55430400371552,0.612043499946594,0.848724782466888,1.66588270664215,0.387760490179062,0.623598754405975,1.39764606952667,0.128938585519791,0.630724489688873,1.39452171325684,0.266376912593841,0.782863795757294,11_Sep_2023_14_40
11,0,8,5,11,0,1,2,3,5,37,14,3,13,4,5,1,23,1,65,53,0,22,0,8,20,1,1.55430805683136,0.612025618553162,0.848678350448608,1.66591477394104,0.387822538614273,0.623543739318848,1.39768147468567,0.128807485103607,0.630666077136993,1.39451432228088,0.266410857439041,0.782862305641174,11_Sep_2023_14_40
11,0,8,3,13,0,5,1,0,6,29,12,0,13,6,6,0,20,1,57,52,2,18,2,7,19,1,1.55430805683136,0.612025618553162,0.848678350448608,1.66591477394104,0.387822538614273,0.623543739318848,1.39768147468567,0.128807485103607,0.630666077136993,1.39451432228088,0.266410857439041,0.782862305641174,11_Sep_2023_14_40
17,0,9,3,11,0,3,0,3,6,26,11,2,15,5,6,0,18,0,39,50,3,19,2,0,17,2,1.55432307720184,0.612024545669556,0.848652899265289,1.66594588756561,0.387829661369324,0.623514771461487,1.39767611026764,0.128834307193756,0.630684673786163,1.39450442790985,0.266434073448181,0.782866597175598,11_Sep_2023_14_40
13,0,6,2,18,0,1,0,4,3,24,10,0,15,5,6,1,18,1,39,50,3,22,0,6,15,2,1.55432307720184,0.612024545669556,0.848652899265289,1.66594588756561,0.387829661369324,0.623514771461487,1.39767611026764,0.128834307193756,0.630684673786163,1.39450442790985,0.266434073448181,0.782866597175598,11_Sep_2023_14_40
13,1,9,2,13,0,0,0,3,4,25,12,0,11,0,7,0,18,0,37,48,3,20,2,0,16,2,1.55432307720184,0.612024545669556,0.848652899265289,1.66594588756561,0.387829661369324,0.623514771461487,1.39767611026764,0.128834307193756,0.630684673786163,1.39450442790985,0.266434073448181,0.782866597175598,11_Sep_2023_14_40
12,0,2,4,10,0,1,0,5,3,22,12,3,16,1,6,1,15,0,36,52,2,21,0,5,16,1,1.55432307720184,0.612024545669556,0.848652899265289,1.66594588756561,0.387829661369324,0.623514771461487,1.39767611026764,0.128834307193756,0.630684673786163,1.39450442790985,0.266434073448181,0.782866597175598,11_Sep_2023_14_40
11,11,3,3,9,0,10,0,3,4,26,11,10,14,1,8,0,15,0,37,53,3,20,2,0,15,1,1.55431222915649,0.612012803554535,0.848627090454102,1.66597974300385,0.387829780578613,0.623497545719147,1.39762485027313,0.128916695713997,0.630772590637207,1.39448618888855,0.266459107398987,0.782874345779419,11_Sep_2023_14_40
12,1,7,3,11,11,1,4,3,8,25,9,0,13,1,15,1,13,1,34,52,9,22,1,4,16,2,1.55431044101715,0.612006425857544,0.848547697067261,1.6660315990448,0.387830197811127,0.62348198890686,1.39702880382538,0.128795698285103,0.631046175956726,1.39445614814758,0.266527056694031,0.782907783985138,11_Sep_2023_14_40
11,1,7,4,10,0,1,1,5,4,24,14,0,14,1,8,0,13,0,33,48,2,20,3,4,16,1,1.55431044101715,0.612006425857544,0.848547697067261,1.6660315990448,0.387830197811127,0.62348198890686,1.39702880382538,0.128795698285103,0.631046175956726,1.39445614814758,0.266527056694031,0.782907783985138,11_Sep_2023_14_40
10,1,7,7,9,0,3,1,8,4,26,16,1,13,10,9,1,14,0,37,52,3,22,5,0,18,2,1.5542950630188,0.611997067928314,0.848461866378784,1.66606771945953,0.387847900390625,0.623464107513428,1.39704847335815,0.128787145018577,0.630943238735199,1.3944730758667,0.266595333814621,0.782955408096314,11_Sep_2023_14_40
5,1,5,3,11,2,3,0,7,3,30,13,1,19,0,6,8,14,1,37,53,0,23,3,7,18,2,1.5542950630188,0.611997067928314,0.848461866378784,1.66606771945953,0.387847900390625,0.623464107513428,1.39704847335815,0.128787145018577,0.630943238735199,1.3944730758667,0.266595333814621,0.782955408096314,11_Sep_2023_14_40
8,5,10,4,9,0,0,0,8,7,29,13,0,21,0,7,0,17,1,39,55,2,25,2,0,16,2,1.5542950630188,0.612002432346344,0.848418653011322,1.66609847545624,0.38788104057312,0.623487532138824,1.39701044559479,0.128816187381744,0.630977749824524,1.39447522163391,0.266623109579086,0.782986879348755,11_Sep_2023_14_40
8,3,6,3,10,0,3,1,3,2,25,13,1,21,1,5,2,17,1,38,52,5,21,5,1,10,1,1.55430102348328,0.612017691135407,0.84837818145752,1.66611528396606,0.387923151254654,0.623494267463684,1.39713883399963,0.128847256302834,0.631008684635162,1.3944810628891,0.266668170690536,0.783018052577972,11_Sep_2023_14_40
9,0,7,3,10,0,0,13,2,3,30,16,0,18,0,4,1,17,1,34,52,3,23,7,2,12,4,1.55430102348328,0.612017691135407,0.84837818145752,1.66611528396606,0.387923151254654,0.623494267463684,1.39713883399963,0.128847256302834,0.631008684635162,1.3944810628891,0.266668170690536,0.783018052577972,11_Sep_2023_14_40
6,1,8,3,10,0,0,0,3,3,23,12,1,19,9,5,0,19,2,31,51,2,22,13,0,14,3,1.55431425571442,0.612043440341949,0.848343431949616,1.66614210605621,0.387972623109818,0.623472690582275,1.39693677425385,0.128865763545036,0.631081342697144,1.39446377754211,0.266730755567551,0.783057391643524,11_Sep_2023_14_40
7,1,8,2,7,0,2,0,3,2,27,11,0,20,0,7,0,17,0,33,52,3,17,2,4,12,0,1.55431425571442,0.612043440341949,0.848343431949616,1.66614210605621,0.387972623109818,0.623472690582275,1.39693677425385,0.128865763545036,0.631081342697144,1.39446377754211,0.266730755567551,0.783057391643524,11_Sep_2023_14_40
6,16,7,7,7,0,2,0,3,3,27,16,0,20,0,11,0,14,2,26,48,2,21,2,8,17,3,1.55433893203735,0.612071216106415,0.848280251026154,1.66619884967804,0.388023167848587,0.623480558395386,1.39690482616425,0.128892585635185,0.631135165691376,1.39445209503174,0.266789495944977,0.783085823059082,11_Sep_2023_14_40
