S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,MCx,MCy,MCz,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,sesion_time_stamp
37,10,13,0,10,1,9,0,0,2,1,3,1,6,5,0,9,11,6,12,26,137,5,50,4,0,3,1,0.30561017990112305,-0.33825525641441345,0.1661657691001892,-0.11859191954135895,-0.31662264466285706,0.561519980430603,0.013958532363176346,-0.4950072169303894,0.3086244761943817,0.14227162301540375,-0.24949578940868378,0.254729688167572,29_Jan_2024_11_07
39,12,13,3,10,1,7,1,1,1,1,0,0,1,2,0,1,5,10,15,25,137,9,45,5,0,3,0,0.30576980113983154,-0.3385811150074005,0.1662401407957077,-0.11857908219099045,-0.3165728747844696,0.5614700317382812,0.013950353488326073,-0.49497392773628235,0.30863749980926514,0.1424061357975006,-0.24993480741977692,0.25476473569869995,29_Jan_2024_11_07
37,6,13,7,10,0,3,0,0,0,2,0,0,4,0,3,4,10,8,14,22,132,9,47,6,4,2,1,0.30576980113983154,-0.3385811150074005,0.1662401407957077,-0.11857908219099045,-0.3165728747844696,0.5614700317382812,0.013950353488326073,-0.49497392773628235,0.30863749980926514,0.1424061357975006,-0.24993480741977692,0.25476473569869995,29_Jan_2024_11_07
40,13,15,0,10,0,5,2,0,1,1,3,0,4,1,0,2,11,8,16,26,135,10,46,6,2,2,0,0.305830180644989,-0.3387872874736786,0.16620109975337982,-0.11856880784034729,-0.3165130615234375,0.5614091157913208,0.013944784179329872,-0.494962215423584,0.30865323543548584,0.14252535998821259,-0.250362753868103,0.25478634238243103,29_Jan_2024_11_07
36,13,11,2,11,0,3,0,1,0,1,2,1,7,2,0,2,14,8,15,23,130,8,46,3,0,2,0,0.305830180644989,-0.3387872874736786,0.16620109975337982,-0.11856880784034729,-0.3165130615234375,0.5614091157913208,0.013944784179329872,-0.494962215423584,0.30865323543548584,0.14252535998821259,-0.250362753868103,0.25478634238243103,29_Jan_2024_11_07
40,16,14,5,15,0,3,0,0,0,1,0,1,1,3,0,7,10,8,15,24,129,6,44,1,10,2,0,0.30594176054000854,-0.33905482292175293,0.1662105768918991,-0.11856622248888016,-0.31645089387893677,0.5613427758216858,0.013938914984464645,-0.4949500560760498,0.3086671829223633,0.14263169467449188,-0.2507742643356323,0.2547983229160309,29_Jan_2024_11_07
35,15,11,4,10,0,3,0,0,4,0,7,0,6,4,1,2,12,10,18,24,127,10,46,4,0,2,9,0.30608731508255005,-0.33937710523605347,0.16630369424819946,-0.11857311427593231,-0.3163757920265198,0.5612663626670837,0.013937422074377537,-0.4949425458908081,0.3086814880371094,0.1427227258682251,-0.25116854906082153,0.25479888916015625,29_Jan_2024_11_07
37,11,13,2,7,0,3,0,0,1,0,2,0,0,3,0,2,8,7,16,24,131,6,41,4,0,4,2,0.30608731508255005,-0.33937710523605347,0.16630369424819946,-0.11857311427593231,-0.3163757920265198,0.5612663626670837,0.013937422074377537,-0.4949425458908081,0.3086814880371094,0.1427227258682251,-0.25116854906082153,0.25479888916015625,29_Jan_2024_11_07
43,9,13,6,10,0,0,0,1,0,2,0,0,5,2,1,11,13,4,14,25,128,9,48,5,1,10,0,0.30604442954063416,-0.3395613133907318,0.1661950796842575,-0.11858628690242767,-0.31630563735961914,0.5611897706985474,0.01393696665763855,-0.4949343502521515,0.30869513750076294,0.14280769228935242,-0.25155311822891235,0.2547888457775116,29_Jan_2024_11_07
42,11,7,7,11,0,3,0,0,0,5,3,0,4,3,1,1,9,10,21,23,122,10,45,6,0,5,1,0.30604442954063416,-0.3395613133907318,0.1661950796842575,-0.11858628690242767,-0.31630563735961914,0.5611897706985474,0.01393696665763855,-0.4949343502521515,0.30869513750076294,0.14280769228935242,-0.25155311822891235,0.2547888457775116,29_Jan_2024_11_07
42,6,11,3,10,0,4,0,4,0,5,3,8,3,5,12,4,12,9,18,25,124,4,44,5,0,9,1,0.30607572197914124,-0.33977770805358887,0.16619041562080383,-0.11860384792089462,-0.3162516951560974,0.5611137747764587,0.01393389143049717,-0.49492061138153076,0.3087068498134613,0.14287641644477844,-0.25192731618881226,0.2547653317451477,29_Jan_2024_11_07
36,9,12,5,11,0,4,4,1,0,1,4,1,8,1,1,0,12,10,18,25,123,6,42,5,0,8,0,0.30607572197914124,-0.33977770805358887,0.16619041562080383,-0.11860384792089462,-0.3162516951560974,0.5611137747764587,0.01393389143049717,-0.49492061138153076,0.3087068498134613,0.14287641644477844,-0.25192731618881226,0.2547653317451477,29_Jan_2024_11_07
37,13,12,0,9,1,4,0,1,0,2,1,2,6,7,1,0,16,8,16,20,113,5,40,9,6,2,1,0.30630961060523987,-0.3401237726211548,0.16641400754451752,-0.11862508207559586,-0.31622713804244995,0.561048150062561,0.013930843211710453,-0.4949081540107727,0.3087168037891388,0.14293813705444336,-0.2522849142551422,0.2547396719455719,29_Jan_2024_11_07
35,15,17,5,13,0,3,0,0,3,1,3,1,4,3,2,2,14,8,16,27,107,6,38,5,1,2,1,0.30630961060523987,-0.3401237726211548,0.16641400754451752,-0.11862508207559586,-0.31622713804244995,0.561048150062561,0.013930843211710453,-0.4949081540107727,0.3087168037891388,0.14293813705444336,-0.2522849142551422,0.2547396719455719,29_Jan_2024_11_07
