S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
3.0,1.0,6.0,15.0,1.0,1.0,5.0,0.0,21.0,2.0,26.0,5.0,1.0,0.0,1.0,4.0,7.0,4.0,0.0,16.0,13.0,6.0,99.0,25.0,2.0,106.0,6.0,19.0,26.0,0.0,0.0,1.5611789226532,0.648086786270142,0.788926124572754,1.67940616607666,0.406160652637482,0.572198212146759,1.3859246969223,0.621375203132629,0.323696851730347,1.34245276451111,0.557661950588226,0.525195717811585,16_Aug_2023_13_14
13.0,0.0,7.0,14.0,3.0,0.0,0.0,0.0,19.0,2.0,27.0,5.0,6.0,0.0,0.0,0.0,0.0,5.0,1.0,14.0,18.0,7.0,95.0,27.0,2.0,105.0,8.0,13.0,22.0,0.0,0.0,1.56119573116303,0.648078262805939,0.788935124874115,1.67944145202637,0.40616512298584,0.572209179401398,1.38593780994415,0.621426701545715,0.323676615953445,1.34240937232971,0.557713866233826,0.525235652923584,16_Aug_2023_13_14
9.0,0.0,5.0,16.0,1.0,0.0,5.0,0.0,22.0,1.0,22.0,5.0,1.0,0.0,0.0,8.0,0.0,2.0,1.0,14.0,15.0,4.0,86.0,26.0,2.0,101.0,7.0,18.0,22.0,0.0,1.0,1.56120717525482,0.648070812225342,0.788948059082031,1.67945790290833,0.406152278184891,0.57224029302597,1.3859726190567,0.621469259262085,0.323696106672287,1.3424870967865,0.557695329189301,0.525208115577698,16_Aug_2023_13_14
9.0,0.0,6.0,11.0,1.0,1.0,2.0,0.0,16.0,0.0,20.0,8.0,0.0,0.0,7.0,9.0,2.0,5.0,5.0,16.0,19.0,6.0,87.0,23.0,1.0,96.0,2.0,21.0,19.0,0.0,0.0,1.56120717525482,0.648070812225342,0.788948059082031,1.67945790290833,0.406152278184891,0.57224029302597,1.3859726190567,0.621469259262085,0.323696106672287,1.3424870967865,0.557695329189301,0.525208115577698,16_Aug_2023_13_14
12.0,5.0,8.0,14.0,0.0,0.0,0.0,6.0,19.0,1.0,19.0,8.0,1.0,0.0,1.0,2.0,0.0,1.0,5.0,17.0,14.0,3.0,82.0,25.0,1.0,97.0,6.0,19.0,19.0,0.0,0.0,1.56120717525482,0.648070812225342,0.788948059082031,1.67945790290833,0.406152278184891,0.57224029302597,1.3859726190567,0.621469259262085,0.323696106672287,1.3424870967865,0.557695329189301,0.525208115577698,16_Aug_2023_13_14
9.0,1.0,8.0,11.0,1.0,1.0,4.0,0.0,21.0,0.0,20.0,6.0,1.0,0.0,1.0,11.0,0.0,5.0,1.0,13.0,17.0,6.0,86.0,20.0,2.0,98.0,5.0,19.0,19.0,0.0,7.0,1.56122434139252,0.648060500621796,0.788960814476013,1.67946767807007,0.406126827001572,0.572279751300812,1.38602018356323,0.621524512767792,0.323648601770401,1.34244573116303,0.557734727859497,0.525242149829865,16_Aug_2023_13_14
7.0,1.0,4.0,14.0,0.0,0.0,4.0,0.0,14.0,1.0,19.0,7.0,0.0,0.0,2.0,5.0,1.0,5.0,1.0,16.0,17.0,4.0,75.0,28.0,0.0,97.0,4.0,20.0,13.0,0.0,0.0,1.56122434139252,0.648060500621796,0.788960814476013,1.67946767807007,0.406126827001572,0.572279751300812,1.38602018356323,0.621524512767792,0.323648601770401,1.34244573116303,0.557734727859497,0.525242149829865,16_Aug_2023_13_14
6.0,1.0,10.0,15.0,2.0,1.0,3.0,0.0,16.0,1.0,16.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,18.0,10.0,3.0,81.0,23.0,0.0,86.0,3.0,11.0,10.0,0.0,0.0,1.56124603748322,0.648050785064697,0.788979828357697,1.67947971820831,0.406115680932999,0.572326600551605,1.38602650165558,0.621536672115326,0.323727697134018,1.34246373176575,0.557752132415772,0.525257229804993,16_Aug_2023_13_14
15.0,9.0,13.0,13.0,0.0,0.0,3.0,1.0,21.0,1.0,15.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,14.0,14.0,8.0,76.0,25.0,3.0,89.0,5.0,14.0,12.0,0.0,0.0,1.56124603748322,0.648050785064697,0.788979828357697,1.67947971820831,0.406115680932999,0.572326600551605,1.38602650165558,0.621536672115326,0.323727697134018,1.34246373176575,0.557752132415772,0.525257229804993,16_Aug_2023_13_14
8.0,1.0,7.0,13.0,1.0,0.0,5.0,0.0,19.0,0.0,17.0,6.0,0.0,0.0,0.0,5.0,0.0,5.0,2.0,16.0,12.0,7.0,74.0,27.0,2.0,85.0,6.0,11.0,13.0,0.0,1.0,1.56125938892365,0.648037552833557,0.78900146484375,1.67949724197388,0.406110346317291,0.572366118431091,1.38604378700256,0.621571004390717,0.323753476142883,1.3425657749176,0.557711660861969,0.52524608373642,16_Aug_2023_13_14
9.0,4.0,6.0,12.0,0.0,14.0,10.0,0.0,20.0,0.0,16.0,7.0,1.0,0.0,1.0,7.0,1.0,5.0,0.0,16.0,11.0,6.0,64.0,27.0,1.0,89.0,11.0,9.0,13.0,0.0,0.0,1.56125938892365,0.648037552833557,0.78900146484375,1.67949724197388,0.406110346317291,0.572366118431091,1.38604378700256,0.621571004390717,0.323753476142883,1.3425657749176,0.557711660861969,0.52524608373642,16_Aug_2023_13_14
9.0,0.0,7.0,11.0,2.0,1.0,5.0,0.0,21.0,1.0,16.0,10.0,0.0,0.0,1.0,9.0,12.0,5.0,2.0,15.0,13.0,7.0,63.0,27.0,2.0,86.0,7.0,11.0,18.0,0.0,2.0,1.56128334999084,0.648025631904602,0.78901743888855,1.67951560020447,0.406108140945435,0.572380185127258,1.38607275485992,0.621633052825928,0.323722153902054,1.34256589412689,0.557753086090088,0.525280058383942,16_Aug_2023_13_14
9.0,0.0,7.0,13.0,2.0,1.0,5.0,1.0,19.0,8.0,19.0,10.0,2.0,0.0,1.0,11.0,2.0,6.0,2.0,16.0,15.0,9.0,64.0,27.0,0.0,85.0,5.0,11.0,17.0,0.0,1.0,1.56131386756897,0.648020148277283,0.789026498794556,1.67953979969025,0.40610870718956,0.572425365447998,1.38610982894897,0.621698260307312,0.323744088411331,1.34262764453888,0.557733714580536,0.525303184986115,16_Aug_2023_13_14
9.0,0.0,6.0,13.0,1.0,0.0,4.0,0.0,15.0,0.0,19.0,8.0,1.0,0.0,2.0,7.0,1.0,5.0,3.0,21.0,9.0,9.0,67.0,24.0,0.0,86.0,10.0,13.0,16.0,0.0,0.0,1.56131386756897,0.648020148277283,0.789026498794556,1.67953979969025,0.40610870718956,0.572425365447998,1.38610982894897,0.621698260307312,0.323744088411331,1.34262764453888,0.557733714580536,0.525303184986115,16_Aug_2023_13_14
13.0,6.0,6.0,14.0,1.0,3.0,6.0,1.0,18.0,0.0,18.0,7.0,0.0,0.0,1.0,8.0,11.0,4.0,3.0,14.0,13.0,7.0,68.0,24.0,2.0,90.0,11.0,8.0,16.0,0.0,0.0,1.56133329868317,0.64800900220871,0.789042890071869,1.67957258224487,0.406110107898712,0.57246208190918,1.38604629039764,0.621685802936554,0.323834180831909,1.34263348579407,0.557762026786804,0.525334000587463,16_Aug_2023_13_14
11.0,0.0,6.0,14.0,0.0,1.0,5.0,0.0,21.0,12.0,22.0,8.0,1.0,0.0,0.0,8.0,2.0,5.0,3.0,17.0,15.0,5.0,62.0,24.0,3.0,81.0,2.0,10.0,16.0,0.0,1.0,1.56133329868317,0.64800900220871,0.789042890071869,1.67957258224487,0.406110107898712,0.57246208190918,1.38604629039764,0.621685802936554,0.323834180831909,1.34263348579407,0.557762026786804,0.525334000587463,16_Aug_2023_13_14
10.0,1.0,4.0,11.0,3.0,0.0,7.0,0.0,22.0,1.0,19.0,12.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,16.0,12.0,8.0,61.0,17.0,3.0,85.0,5.0,2.0,15.0,0.0,0.0,1.56135714054108,0.648008167743683,0.789075374603272,1.67960155010223,0.406121969223022,0.572493553161621,1.38603591918945,0.621771097183228,0.323906928300858,1.34260702133179,0.557779669761658,0.525387465953827,16_Aug_2023_13_14
9.0,0.0,6.0,13.0,4.0,0.0,7.0,13.0,21.0,1.0,20.0,10.0,1.0,0.0,1.0,4.0,4.0,6.0,2.0,19.0,12.0,5.0,64.0,24.0,2.0,88.0,9.0,9.0,16.0,0.0,1.0,1.56135714054108,0.648008167743683,0.789075374603272,1.67960155010223,0.406121969223022,0.572493553161621,1.38603591918945,0.621771097183228,0.323906928300858,1.34260702133179,0.557779669761658,0.525387465953827,16_Aug_2023_13_14
5.0,1.0,7.0,8.0,3.0,1.0,5.0,0.0,20.0,0.0,21.0,9.0,0.0,0.0,3.0,8.0,11.0,0.0,3.0,14.0,10.0,5.0,64.0,23.0,2.0,89.0,5.0,9.0,17.0,0.0,1.0,1.56139981746674,0.648000180721283,0.789129257202148,1.67964196205139,0.406122714281082,0.572474718093872,1.38602042198181,0.621772408485413,0.323881924152374,1.34268665313721,0.557750821113586,0.525383055210114,16_Aug_2023_13_14
11.0,9.0,6.0,15.0,0.0,5.0,4.0,0.0,19.0,1.0,21.0,11.0,1.0,0.0,1.0,8.0,2.0,6.0,3.0,16.0,11.0,8.0,65.0,24.0,3.0,91.0,7.0,7.0,17.0,0.0,0.0,1.56139981746674,0.648000180721283,0.789129257202148,1.67964196205139,0.406122714281082,0.572474718093872,1.38602042198181,0.621772408485413,0.323881924152374,1.34268665313721,0.557750821113586,0.525383055210114,16_Aug_2023_13_14
12.0,1.0,4.0,13.0,2.0,1.0,5.0,0.0,20.0,5.0,22.0,11.0,0.0,0.0,1.0,7.0,0.0,7.0,3.0,17.0,12.0,4.0,65.0,25.0,2.0,88.0,6.0,10.0,20.0,0.0,13.0,1.56142628192902,0.647996366024017,0.78914600610733,1.6796647310257,0.406112760305405,0.572502911090851,1.38599407672882,0.621841371059418,0.323953628540039,1.34270536899567,0.557744026184082,0.52540796995163,16_Aug_2023_13_14
13.0,0.0,6.0,13.0,5.0,4.0,2.0,0.0,20.0,2.0,21.0,6.0,1.0,0.0,0.0,8.0,1.0,2.0,2.0,16.0,10.0,10.0,63.0,25.0,0.0,90.0,8.0,8.0,25.0,0.0,1.0,1.56142628192902,0.647996366024017,0.78914600610733,1.6796647310257,0.406112760305405,0.572502911090851,1.38599407672882,0.621841371059418,0.323953628540039,1.34270536899567,0.557744026184082,0.52540796995163,16_Aug_2023_13_14
11.0,1.0,10.0,14.0,3.0,0.0,3.0,0.0,19.0,2.0,20.0,8.0,1.0,0.0,0.0,8.0,5.0,10.0,3.0,14.0,9.0,8.0,61.0,22.0,2.0,91.0,5.0,8.0,23.0,0.0,1.0,1.56145513057709,0.647982001304626,0.789167046546936,1.67970669269562,0.40608075261116,0.572539925575256,1.38596272468567,0.621863961219788,0.323978096246719,1.34264862537384,0.557823479175568,0.525472760200501,16_Aug_2023_13_14
10.0,0.0,7.0,15.0,2.0,0.0,6.0,3.0,18.0,2.0,23.0,11.0,0.0,0.0,0.0,10.0,2.0,5.0,3.0,17.0,9.0,8.0,62.0,24.0,2.0,89.0,5.0,9.0,18.0,0.0,0.0,1.56145513057709,0.647982001304626,0.789167046546936,1.67970669269562,0.40608075261116,0.572539925575256,1.38596272468567,0.621863961219788,0.323978096246719,1.34264862537384,0.557823479175568,0.525472760200501,16_Aug_2023_13_14
11.0,0.0,6.0,10.0,2.0,13.0,6.0,2.0,19.0,1.0,20.0,11.0,1.0,0.0,0.0,8.0,1.0,4.0,11.0,14.0,9.0,9.0,62.0,22.0,2.0,87.0,3.0,10.0,20.0,0.0,0.0,1.56148731708527,0.647971272468567,0.78922313451767,1.67974841594696,0.406065285205841,0.572562515735626,1.38591551780701,0.621886730194092,0.32401505112648,1.34269022941589,0.557717084884644,0.525501847267151,16_Aug_2023_13_14
13.0,1.0,7.0,12.0,2.0,0.0,5.0,1.0,18.0,1.0,23.0,7.0,5.0,0.0,1.0,10.0,3.0,3.0,6.0,15.0,9.0,8.0,62.0,24.0,3.0,92.0,5.0,7.0,21.0,0.0,1.0,1.56148731708527,0.647971272468567,0.78922313451767,1.67974841594696,0.406065285205841,0.572562515735626,1.38591551780701,0.621886730194092,0.32401505112648,1.34269022941589,0.557717084884644,0.525501847267151,16_Aug_2023_13_14
11.0,12.0,6.0,15.0,9.0,0.0,1.0,0.0,17.0,1.0,23.0,8.0,1.0,0.0,4.0,8.0,0.0,6.0,2.0,18.0,12.0,9.0,59.0,20.0,6.0,93.0,6.0,8.0,18.0,0.0,0.0,1.56152009963989,0.647957623004913,0.789247453212738,1.67978155612946,0.40605241060257,0.572609782218933,1.38587272167206,0.621922254562378,0.324041724205017,1.34266781806946,0.557727813720703,0.52555251121521,16_Aug_2023_13_14
13.0,2.0,7.0,17.0,1.0,1.0,5.0,0.0,21.0,2.0,23.0,9.0,0.0,0.0,1.0,9.0,1.0,4.0,3.0,19.0,11.0,6.0,62.0,26.0,2.0,92.0,7.0,9.0,26.0,0.0,1.0,1.56152009963989,0.647957623004913,0.789247453212738,1.67978155612946,0.40605241060257,0.572609782218933,1.38587272167206,0.621922254562378,0.324041724205017,1.34266781806946,0.557727813720703,0.52555251121521,16_Aug_2023_13_14
10.0,0.0,9.0,15.0,0.0,0.0,4.0,0.0,21.0,14.0,24.0,6.0,0.0,0.0,1.0,13.0,0.0,3.0,0.0,26.0,10.0,6.0,61.0,23.0,2.0,91.0,5.0,16.0,24.0,0.0,1.0,1.56155216693878,0.647936046123505,0.789270281791687,1.67982649803162,0.406046032905579,0.572639942169189,1.38583850860596,0.621912002563477,0.324068039655685,1.34265792369843,0.557701408863068,0.525591194629669,16_Aug_2023_13_14
13.0,0.0,7.0,13.0,2.0,0.0,4.0,2.0,20.0,1.0,26.0,11.0,1.0,0.0,10.0,10.0,1.0,4.0,6.0,19.0,11.0,7.0,57.0,25.0,4.0,91.0,4.0,11.0,27.0,0.0,0.0,1.56155216693878,0.647936046123505,0.789270281791687,1.67982649803162,0.406046032905579,0.572639942169189,1.38583850860596,0.621912002563477,0.324068039655685,1.34265792369843,0.557701408863068,0.525591194629669,16_Aug_2023_13_14
11.0,0.0,6.0,17.0,0.0,0.0,7.0,0.0,20.0,6.0,25.0,6.0,0.0,0.0,0.0,9.0,3.0,1.0,3.0,18.0,11.0,4.0,58.0,22.0,2.0,87.0,7.0,9.0,29.0,0.0,1.0,1.56158483028412,0.647916257381439,0.789285361766815,1.67987549304962,0.406027644872665,0.572673201560974,1.38580167293549,0.6219202876091,0.324099034070969,1.34262371063232,0.557699918746948,0.525646507740021,16_Aug_2023_13_14
11.0,1.0,6.0,17.0,1.0,1.0,5.0,0.0,21.0,1.0,27.0,7.0,0.0,0.0,0.0,9.0,1.0,6.0,1.0,18.0,12.0,4.0,56.0,24.0,3.0,89.0,1.0,8.0,27.0,0.0,3.0,1.56158483028412,0.647916257381439,0.789285361766815,1.67987549304962,0.406027644872665,0.572673201560974,1.38580167293549,0.6219202876091,0.324099034070969,1.34262371063232,0.557699918746948,0.525646507740021,16_Aug_2023_13_14
11.0,0.0,10.0,14.0,6.0,1.0,5.0,0.0,17.0,1.0,26.0,8.0,2.0,0.0,0.0,5.0,3.0,5.0,3.0,21.0,14.0,3.0,57.0,25.0,2.0,85.0,5.0,9.0,28.0,0.0,0.0,1.56158483028412,0.647916257381439,0.789285361766815,1.67987549304962,0.406027644872665,0.572673201560974,1.38580167293549,0.6219202876091,0.324099034070969,1.34262371063232,0.557699918746948,0.525646507740021,16_Aug_2023_13_14
13.0,0.0,3.0,16.0,1.0,1.0,6.0,0.0,18.0,0.0,26.0,5.0,0.0,0.0,0.0,9.0,1.0,3.0,3.0,17.0,12.0,6.0,58.0,25.0,1.0,89.0,5.0,10.0,28.0,0.0,1.0,1.56161117553711,0.647915720939636,0.789309084415436,1.67991542816162,0.406035989522934,0.572762906551361,1.38575744628906,0.621937692165375,0.32414722442627,1.34263741970062,0.557660937309265,0.525679469108582,16_Aug_2023_13_14
11.0,13.0,8.0,13.0,3.0,0.0,5.0,0.0,21.0,0.0,27.0,6.0,1.0,0.0,2.0,10.0,0.0,0.0,3.0,20.0,12.0,3.0,58.0,27.0,6.0,85.0,6.0,5.0,29.0,0.0,1.0,1.56161117553711,0.647915720939636,0.789309084415436,1.67991542816162,0.406035989522934,0.572762906551361,1.38575744628906,0.621937692165375,0.32414722442627,1.34263741970062,0.557660937309265,0.525679469108582,16_Aug_2023_13_14
12.0,10.0,7.0,12.0,3.0,0.0,5.0,0.0,19.0,0.0,29.0,9.0,1.0,0.0,1.0,16.0,1.0,4.0,3.0,20.0,11.0,0.0,56.0,25.0,1.0,84.0,3.0,10.0,27.0,0.0,1.0,1.56165051460266,0.64790266752243,0.789349436759949,1.67994773387909,0.406016677618027,0.572816431522369,1.38573682308197,0.621941149234772,0.324207931756973,1.34265065193176,0.557631313800812,0.525728642940521,16_Aug_2023_13_14
10.0,0.0,7.0,10.0,3.0,0.0,5.0,1.0,21.0,1.0,27.0,13.0,11.0,0.0,1.0,10.0,1.0,4.0,3.0,20.0,13.0,2.0,58.0,27.0,2.0,83.0,5.0,7.0,27.0,0.0,0.0,1.56165051460266,0.64790266752243,0.789349436759949,1.67994773387909,0.406016677618027,0.572816431522369,1.38573682308197,0.621941149234772,0.324207931756973,1.34265065193176,0.557631313800812,0.525728642940521,16_Aug_2023_13_14
11.0,7.0,9.0,16.0,2.0,0.0,6.0,0.0,19.0,0.0,23.0,8.0,1.0,0.0,0.0,5.0,1.0,5.0,6.0,23.0,12.0,3.0,58.0,25.0,3.0,82.0,8.0,10.0,26.0,0.0,0.0,1.56167566776276,0.647883296012878,0.789385735988617,1.67997360229492,0.4059978723526,0.572864711284637,1.38566970825195,0.621957182884216,0.32425320148468,1.34275054931641,0.557558715343475,0.525725245475769,16_Aug_2023_13_14
12.0,0.0,7.0,17.0,2.0,4.0,1.0,13.0,20.0,1.0,26.0,4.0,0.0,0.0,1.0,5.0,0.0,4.0,11.0,18.0,12.0,4.0,56.0,19.0,1.0,75.0,6.0,10.0,24.0,0.0,1.0,1.56167566776276,0.647883296012878,0.789385735988617,1.67997360229492,0.4059978723526,0.572864711284637,1.38566970825195,0.621957182884216,0.32425320148468,1.34275054931641,0.557558715343475,0.525725245475769,16_Aug_2023_13_14
13.0,1.0,7.0,13.0,1.0,0.0,5.0,0.0,15.0,1.0,28.0,7.0,2.0,0.0,12.0,8.0,12.0,1.0,6.0,20.0,18.0,3.0,55.0,25.0,2.0,75.0,5.0,11.0,26.0,0.0,0.0,1.56170773506165,0.64786285161972,0.789414167404175,1.68000257015228,0.405981928110123,0.572918117046356,1.38566017150879,0.621971845626831,0.324303984642029,1.34270560741425,0.557580709457397,0.525797784328461,16_Aug_2023_13_14
10.0,0.0,9.0,16.0,3.0,0.0,6.0,2.0,19.0,14.0,25.0,7.0,1.0,0.0,0.0,12.0,1.0,2.0,5.0,20.0,14.0,12.0,53.0,25.0,3.0,77.0,5.0,11.0,27.0,0.0,0.0,1.56170773506165,0.64786285161972,0.789414167404175,1.68000257015228,0.405981928110123,0.572918117046356,1.38566017150879,0.621971845626831,0.324303984642029,1.34270560741425,0.557580709457397,0.525797784328461,16_Aug_2023_13_14
14.0,0.0,6.0,16.0,2.0,0.0,3.0,1.0,20.0,2.0,25.0,5.0,0.0,0.0,5.0,14.0,1.0,5.0,3.0,18.0,11.0,7.0,57.0,24.0,3.0,76.0,5.0,8.0,27.0,0.0,0.0,1.56173610687256,0.647855758666992,0.789453625679016,1.68003618717194,0.405976802110672,0.572925746440887,1.38565945625305,0.621993601322174,0.324359089136124,1.34273362159729,0.55755889415741,0.52584433555603,16_Aug_2023_13_14
10.0,0.0,6.0,18.0,2.0,13.0,6.0,0.0,19.0,3.0,30.0,13.0,0.0,0.0,1.0,14.0,1.0,4.0,3.0,18.0,13.0,5.0,56.0,27.0,3.0,78.0,6.0,11.0,26.0,0.0,0.0,1.56179666519165,0.647840678691864,0.789480328559876,1.68006944656372,0.405956298112869,0.572961747646332,1.38566505908966,0.622046649456024,0.32442444562912,1.34275376796722,0.557549715042114,0.525892615318298,16_Aug_2023_13_14
10.0,0.0,14.0,16.0,2.0,1.0,3.0,0.0,17.0,1.0,28.0,8.0,0.0,0.0,0.0,11.0,2.0,2.0,3.0,19.0,15.0,7.0,56.0,25.0,2.0,79.0,6.0,0.0,23.0,0.0,0.0,1.56179666519165,0.647840678691864,0.789480328559876,1.68006944656372,0.405956298112869,0.572961747646332,1.38566505908966,0.622046649456024,0.32442444562912,1.34275376796722,0.557549715042114,0.525892615318298,16_Aug_2023_13_14
9.0,0.0,14.0,17.0,0.0,9.0,14.0,0.0,22.0,2.0,23.0,5.0,0.0,0.0,0.0,10.0,0.0,2.0,6.0,18.0,13.0,7.0,57.0,23.0,5.0,78.0,6.0,0.0,25.0,0.0,0.0,1.56183052062988,0.647826194763184,0.789513349533081,1.68010187149048,0.405934154987335,0.572989165782928,1.38565146923065,0.622030019760132,0.324512273073196,1.34281015396118,0.557504296302795,0.525952398777008,16_Aug_2023_13_14
11.0,0.0,5.0,18.0,0.0,1.0,6.0,0.0,21.0,0.0,27.0,9.0,0.0,0.0,4.0,12.0,1.0,5.0,1.0,22.0,12.0,12.0,51.0,26.0,7.0,80.0,4.0,4.0,23.0,0.0,0.0,1.56183052062988,0.647826194763184,0.789513349533081,1.68010187149048,0.405934154987335,0.572989165782928,1.38565146923065,0.622030019760132,0.324512273073196,1.34281015396118,0.557504296302795,0.525952398777008,16_Aug_2023_13_14
9.0,0.0,9.0,11.0,1.0,2.0,7.0,14.0,21.0,2.0,22.0,4.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,22.0,13.0,9.0,57.0,23.0,11.0,77.0,6.0,1.0,20.0,0.0,7.0,1.56183052062988,0.647826194763184,0.789513349533081,1.68010187149048,0.405934154987335,0.572989165782928,1.38565146923065,0.622030019760132,0.324512273073196,1.34281015396118,0.557504296302795,0.525952398777008,16_Aug_2023_13_14
11.0,0.0,9.0,14.0,1.0,1.0,6.0,0.0,20.0,2.0,26.0,7.0,1.0,0.0,7.0,11.0,0.0,7.0,2.0,21.0,11.0,5.0,57.0,23.0,5.0,81.0,4.0,0.0,23.0,0.0,1.0,1.5618724822998,0.647817671298981,0.789537608623505,1.68013477325439,0.405924499034882,0.573009192943573,1.3857433795929,0.622031688690185,0.324586391448975,1.34286856651306,0.557470619678497,0.525987029075623,16_Aug_2023_13_14
9.0,0.0,7.0,13.0,0.0,10.0,8.0,1.0,18.0,2.0,26.0,7.0,0.0,0.0,1.0,6.0,1.0,3.0,3.0,19.0,13.0,11.0,64.0,24.0,6.0,77.0,5.0,1.0,20.0,0.0,0.0,1.5618724822998,0.647817671298981,0.789537608623505,1.68013477325439,0.405924499034882,0.573009192943573,1.3857433795929,0.622031688690185,0.324586391448975,1.34286856651306,0.557470619678497,0.525987029075623,16_Aug_2023_13_14
11.0,0.0,7.0,18.0,12.0,0.0,7.0,0.0,21.0,5.0,26.0,6.0,1.0,0.0,0.0,10.0,1.0,6.0,3.0,16.0,8.0,13.0,63.0,24.0,6.0,83.0,5.0,0.0,26.0,0.0,0.0,1.56190252304077,0.647801041603088,0.789584696292877,1.68017256259918,0.405923932790756,0.573021709918976,1.38565409183502,0.622061192989349,0.324686408042908,1.34290444850922,0.557460844516754,0.526031017303467,16_Aug_2023_13_14
10.0,0.0,9.0,16.0,2.0,2.0,5.0,1.0,22.0,1.0,26.0,7.0,0.0,0.0,14.0,9.0,1.0,2.0,11.0,18.0,8.0,8.0,65.0,20.0,6.0,83.0,8.0,3.0,26.0,0.0,0.0,1.56193721294403,0.647793114185333,0.789622724056244,1.68023729324341,0.405907034873962,0.573017954826355,1.38572430610657,0.622059047222137,0.324690967798233,1.34289383888245,0.557455658912659,0.526093363761902,16_Aug_2023_13_14
10.0,0.0,6.0,17.0,1.0,1.0,7.0,0.0,14.0,1.0,27.0,12.0,1.0,0.0,0.0,12.0,2.0,1.0,3.0,21.0,10.0,8.0,55.0,22.0,5.0,86.0,6.0,1.0,31.0,0.0,0.0,1.56193721294403,0.647793114185333,0.789622724056244,1.68023729324341,0.405907034873962,0.573017954826355,1.38572430610657,0.622059047222137,0.324690967798233,1.34289383888245,0.557455658912659,0.526093363761902,16_Aug_2023_13_14
11.0,0.0,5.0,19.0,0.0,5.0,7.0,1.0,21.0,0.0,25.0,11.0,2.0,0.0,0.0,13.0,2.0,3.0,3.0,22.0,9.0,10.0,58.0,26.0,3.0,87.0,7.0,1.0,32.0,0.0,1.0,1.56197285652161,0.64778071641922,0.789652466773987,1.68023896217346,0.405903577804565,0.573031187057495,1.38573563098907,0.622131168842316,0.324749380350113,1.34293305873871,0.557483792304993,0.52617472410202,16_Aug_2023_13_14
