S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,MWx,MWy,MWz,MSx,MSy,MSz,MCx,MCy,MCz,MEx,MEy,MEz,session_time_stamp
23,57,6,0,8,2,2,0,9,4,1,11,5,2,2,0,9,13,38,3,15,36,7,19,22,0,1,0,0.0769509226083755,-0.17183843255043,0.126779332756996,-0.186941012740135,-0.331676483154297,0.576404511928558,0.0102591468021273,-0.457249045372009,0.308107137680054,-0.0903127193450927,-0.143334493041039,0.241771399974823,29_Jan_2024_11_15
24,61,13,0,11,1,2,0,9,0,0,2,2,1,6,4,6,17,34,5,17,40,7,20,24,0,1,0,0.0769509226083755,-0.17183843255043,0.126779332756996,-0.186941012740135,-0.331676483154297,0.576404511928558,0.0102591468021273,-0.457249045372009,0.308107137680054,-0.0903127193450927,-0.143334493041039,0.241771399974823,29_Jan_2024_11_15
25,61,12,0,10,9,4,0,7,0,0,2,1,3,3,0,6,16,34,5,16,39,8,22,26,0,4,0,0.0769416317343711,-0.171814173460007,0.126788347959518,-0.186974614858627,-0.331665247678757,0.576394140720367,0.0102418176829814,-0.457243770360947,0.308111697435379,-0.0903204232454299,-0.143336832523346,0.241767704486847,29_Jan_2024_11_15
22,59,12,0,9,0,1,0,10,5,4,2,1,11,1,1,6,13,39,8,13,39,8,25,22,0,0,1,0.0769416317343711,-0.171814173460007,0.126788347959518,-0.186974614858627,-0.331665247678757,0.576394140720367,0.0102418176829814,-0.457243770360947,0.308111697435379,-0.0903204232454299,-0.143336832523346,0.241767704486847,29_Jan_2024_11_15
23,62,13,14,5,0,1,1,11,4,5,3,1,9,0,0,8,18,32,6,16,43,6,18,24,0,5,0,0.0769416317343711,-0.171814173460007,0.126788347959518,-0.186974614858627,-0.331665247678757,0.576394140720367,0.0102418176829814,-0.457243770360947,0.308111697435379,-0.0903204232454299,-0.143336832523346,0.241767704486847,29_Jan_2024_11_15
24,62,13,0,9,1,3,0,10,5,1,1,2,1,1,0,8,15,36,3,17,44,8,21,25,0,1,1,0.0769416317343711,-0.171814173460007,0.126788347959518,-0.186974614858627,-0.331665247678757,0.576394140720367,0.0102418176829814,-0.457243770360947,0.308111697435379,-0.0903204232454299,-0.143336832523346,0.241767704486847,29_Jan_2024_11_15
24,58,19,1,9,7,0,0,6,2,3,2,2,8,4,1,6,13,37,7,15,36,8,25,23,0,0,2,0.0769416317343711,-0.171814173460007,0.126788347959518,-0.186974614858627,-0.331665247678757,0.576394140720367,0.0102418176829814,-0.457243770360947,0.308111697435379,-0.0903204232454299,-0.143336832523346,0.241767704486847,29_Jan_2024_11_15
25,62,15,0,11,0,3,0,9,1,0,0,0,0,2,0,7,16,35,6,17,41,10,21,21,0,1,3,0.0769440233707428,-0.17181508243084,0.126793280243874,-0.187007233500481,-0.331653863191605,0.576383233070374,0.0102246096357703,-0.457238435745239,0.30811670422554,-0.0903282687067985,-0.143339946866035,0.241764813661575,29_Jan_2024_11_15
23,61,13,0,8,0,6,0,9,4,1,3,1,2,1,0,12,13,35,6,19,42,8,24,23,0,0,2,0.0769440233707428,-0.17181508243084,0.126793280243874,-0.187007233500481,-0.331653863191605,0.576383233070374,0.0102246096357703,-0.457238435745239,0.30811670422554,-0.0903282687067985,-0.143339946866035,0.241764813661575,29_Jan_2024_11_15
21,58,12,0,5,0,2,0,9,6,1,2,3,5,4,0,14,14,38,5,17,36,8,23,23,0,1,0,0.0769440233707428,-0.17181508243084,0.126793280243874,-0.187007233500481,-0.331653863191605,0.576383233070374,0.0102246096357703,-0.457238435745239,0.30811670422554,-0.0903282687067985,-0.143339946866035,0.241764813661575,29_Jan_2024_11_15
25,60,15,0,10,1,4,0,7,2,2,3,5,7,4,1,12,19,35,4,20,34,6,22,26,2,0,4,0.0769372060894966,-0.171815156936646,0.126795470714569,-0.187038987874985,-0.331642329692841,0.576373219490051,0.0102078691124916,-0.457233756780624,0.308118939399719,-0.090336799621582,-0.143343314528465,0.241761803627014,29_Jan_2024_11_15
25,59,13,0,11,2,4,1,10,4,1,3,3,0,2,1,10,19,36,5,17,33,5,22,25,1,0,0,0.0769372060894966,-0.171815156936646,0.126795470714569,-0.187038987874985,-0.331642329692841,0.576373219490051,0.0102078691124916,-0.457233756780624,0.308118939399719,-0.090336799621582,-0.143343314528465,0.241761803627014,29_Jan_2024_11_15
27,57,11,14,6,0,2,3,14,3,3,0,2,3,2,1,12,18,31,1,18,33,5,22,26,1,12,0,0.0769295319914817,-0.171817481517792,0.126796901226044,-0.187069341540337,-0.33163133263588,0.576364994049072,0.0101865148171782,-0.457228183746338,0.308121979236603,-0.0903459042310714,-0.143347471952438,0.241758972406387,29_Jan_2024_11_15
28,57,12,0,10,4,2,0,7,5,10,1,1,7,7,0,9,19,37,5,20,35,9,23,24,0,0,0,0.0769295319914817,-0.171817481517792,0.126796901226044,-0.187069341540337,-0.33163133263588,0.576364994049072,0.0101865148171782,-0.457228183746338,0.308121979236603,-0.0903459042310714,-0.143347471952438,0.241758972406387,29_Jan_2024_11_15
29,59,11,13,7,0,0,0,11,3,4,3,1,8,5,2,8,22,35,3,15,29,8,22,28,6,0,0,0.0769295319914817,-0.171817481517792,0.126796901226044,-0.187069341540337,-0.33163133263588,0.576364994049072,0.0101865148171782,-0.457228183746338,0.308121979236603,-0.0903459042310714,-0.143347471952438,0.241758972406387,29_Jan_2024_11_15
31,57,14,2,10,0,1,0,11,2,1,9,4,1,2,0,9,22,32,3,14,34,9,23,25,0,0,0,0.0769295319914817,-0.171817481517792,0.126796901226044,-0.187069341540337,-0.33163133263588,0.576364994049072,0.0101865148171782,-0.457228183746338,0.308121979236603,-0.0903459042310714,-0.143347471952438,0.241758972406387,29_Jan_2024_11_15
30,56,11,0,9,0,6,3,14,4,1,5,3,1,4,0,2,20,28,2,17,32,9,20,27,14,1,5,0.0769295319914817,-0.171817481517792,0.126796901226044,-0.187069341540337,-0.33163133263588,0.576364994049072,0.0101865148171782,-0.457228183746338,0.308121979236603,-0.0903459042310714,-0.143347471952438,0.241758972406387,29_Jan_2024_11_15
31,53,7,1,8,0,0,0,8,5,5,3,3,3,3,1,8,19,28,2,19,31,3,22,22,9,8,0,0.0769295319914817,-0.171817481517792,0.126796901226044,-0.187069341540337,-0.33163133263588,0.576364994049072,0.0101865148171782,-0.457228183746338,0.308121979236603,-0.0903459042310714,-0.143347471952438,0.241758972406387,29_Jan_2024_11_15
27,55,10,0,10,0,5,0,11,2,2,0,1,3,3,1,9,22,23,6,17,32,5,24,26,0,0,0,0.0769295319914817,-0.171817481517792,0.126796901226044,-0.187069341540337,-0.33163133263588,0.576364994049072,0.0101865148171782,-0.457228183746338,0.308121979236603,-0.0903459042310714,-0.143347471952438,0.241758972406387,29_Jan_2024_11_15
