S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S15,S16,S17,S18,S21,S22,S23,S24,S25,S26,S27,S28,S29,S31,M2x,M2y,M2z,M1x,M1y,M1z,M4x,M4y,M4z,M3x,M3y,M3z,sesion_time_stamp
2,9,9,8,18,4,3,2,27,1,20,11,2,5,5,7,2,16,7,29,20,2,35,15,3,42,3,1.637158155,0.640354395,0.715741992,1.637926459,0.350655943,0.622827232,1.369438291,0.241631806,0.564414799,1.353458881,0.393032312,0.670975626,11_Sep_2023_13_59
11,5,6,8,15,0,4,1,17,2,20,10,3,8,3,5,2,20,7,29,20,1,36,5,6,45,0,1.637158155,0.640354395,0.715741992,1.637926459,0.350655943,0.622827232,1.369438291,0.241631806,0.564414799,1.353458881,0.393032312,0.670975626,11_Sep_2023_13_59
4,9,10,8,18,0,11,0,21,1,19,7,0,6,6,8,0,21,7,29,22,3,42,13,0,39,0,1.637182355,0.640356779,0.71583271,1.637969494,0.350659877,0.622970581,1.369651556,0.241546199,0.564405322,1.353543997,0.393048674,0.670859933,11_Sep_2023_13_59
3,2,8,6,21,0,2,0,23,9,18,12,3,9,3,7,0,23,7,26,20,1,39,5,12,41,0,1.637182355,0.640356779,0.71583271,1.637969494,0.350659877,0.622970581,1.369651556,0.241546199,0.564405322,1.353543997,0.393048674,0.670859933,11_Sep_2023_13_59
2,4,10,10,19,0,0,1,23,1,16,11,8,7,10,12,0,23,9,25,17,10,38,5,4,40,1,1.63719666,0.640354931,0.715893865,1.638015866,0.350666285,0.623146892,1.369871736,0.241443634,0.564395308,1.353662968,0.392966479,0.670769155,11_Sep_2023_13_59
2,4,8,7,14,0,5,1,22,1,17,16,1,8,4,10,1,22,8,19,21,1,43,7,0,41,0,1.63719666,0.640354931,0.715893865,1.638015866,0.350666285,0.623146892,1.369871736,0.241443634,0.564395308,1.353662968,0.392966479,0.670769155,11_Sep_2023_13_59
0,5,7,9,19,2,3,0,20,1,18,8,3,6,4,8,2,22,4,19,21,6,48,6,0,43,0,1.637151957,0.640372396,0.715889037,1.638059855,0.350670308,0.623268843,1.370095134,0.241188526,0.564113319,1.353775978,0.392899275,0.670668721,11_Sep_2023_13_59
0,4,11,4,19,0,3,0,23,0,21,13,7,7,4,10,0,23,7,25,20,4,42,5,0,41,1,1.637151957,0.640372396,0.715889037,1.638059855,0.350670308,0.623268843,1.370095134,0.241188526,0.564113319,1.353775978,0.392899275,0.670668721,11_Sep_2023_13_59
0,0,9,7,25,0,4,0,20,5,19,10,1,8,2,9,0,19,6,23,21,7,41,2,7,52,0,1.637096882,0.640400767,0.715885878,1.638117194,0.350631714,0.623350322,1.370389938,0.241007656,0.564075589,1.353934765,0.3928532,0.670559764,11_Sep_2023_13_59
3,3,10,4,21,1,5,1,19,1,16,7,2,8,4,7,0,20,8,23,16,1,36,8,1,56,1,1.637096882,0.640400767,0.715885878,1.638117194,0.350631714,0.623350322,1.370389938,0.241007656,0.564075589,1.353934765,0.3928532,0.670559764,11_Sep_2023_13_59
3,2,16,7,20,1,4,2,19,3,15,11,0,7,4,12,3,17,14,20,14,3,36,6,0,66,9,1.637069225,0.640415013,0.715934753,1.638175249,0.350646049,0.623463213,1.370671511,0.240874991,0.56433636,1.35405159,0.392765701,0.670432627,11_Sep_2023_13_59
3,5,17,7,21,0,4,3,21,0,15,10,2,7,1,8,0,15,10,29,17,1,37,6,0,59,14,1.637069225,0.640415013,0.715934753,1.638175249,0.350646049,0.623463213,1.370671511,0.240874991,0.56433636,1.35405159,0.392765701,0.670432627,11_Sep_2023_13_59
3,8,23,3,18,0,5,0,17,1,14,12,0,7,4,9,1,15,5,24,20,3,36,6,4,64,0,1.637093782,0.640436888,0.71601361,1.638216972,0.35065183,0.623654604,1.371057987,0.240750745,0.564298451,1.3541466,0.392695844,0.670343518,11_Sep_2023_13_59
