time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,F1,F2,B1,B2,S1,S2,S3,S4,S5,class
741.62,2.59,-1.85,3.73,0.48,0.44,0.71,-0.07,0.13,-0.49,0,0,0,0,218,618,109,244,0,1
741.72,3.95,-0.3,1.13,0.47,0.44,0.71,-0.06,0.13,-0.49,0,0,0,0,218,620,109,235,0,1
741.83,2.91,-0.83,1.64,0.48,0.41,0.73,-0.06,0.13,-0.5,0,0,0,0,217,619,108,238,0,1
741.93,2.38,-0.42,3.73,0.46,0.45,0.7,-0.06,0.13,-0.49,0,0,0,1,217,618,106,243,0,1
742.04,4.22,0.83,1.5,0.47,0.44,0.71,-0.07,0.13,-0.5,0,0,0,0,214,619,105,238,0,1
742.15,4.26,0.79,1.46,0.47,0.43,0.71,-0.07,0.14,-0.5,0,0,0,0,214,619,105,248,0,1
742.25,4.66,0.55,1.39,0.46,0.44,0.71,-0.06,0.14,-0.49,0,0,0,0,213,620,106,256,0,1
742.36,4.49,0.92,0.92,0.47,0.44,0.72,-0.07,0.14,-0.49,0,0,0,0,215,622,107,263,0,1
742.46,4.09,0.25,0.47,0.47,0.43,0.72,-0.06,0.14,-0.49,0,0,0,0,216,623,107,273,0,1
742.57,3.13,0.65,0.22,0.47,0.44,0.71,-0.06,0.14,-0.5,0,0,0,0,235,625,110,283,0,1
742.67,4.14,1.3,0.08,0.48,0.42,0.72,-0.06,0.14,-0.5,0,0,0,0,240,626,109,290,0,1
742.78,3.44,0.67,0.88,0.48,0.43,0.71,-0.06,0.14,-0.49,0,0,0,1,242,628,110,291,0,1
742.88,2.88,0.52,1,0.48,0.42,0.71,-0.06,0.14,-0.5,0,0,0,0,240,626,109,288,0,1
742.99,2.2,-0.23,1.58,0.48,0.43,0.72,-0.06,0.14,-0.49,0,0,0,0,230,624,107,281,0,1
743.09,2.69,-0.54,1.51,0.48,0.43,0.71,-0.06,0.13,-0.5,0,0,1,0,215,618,105,265,0,1
743.2,3.59,-0.61,1.5,0.47,0.43,0.71,-0.06,0.14,-0.5,0,0,1,0,214,618,105,264,0,1
743.31,3.05,-0.6,2.02,0.47,0.43,0.71,-0.06,0.13,-0.5,0,0,0,0,214,617,105,263,0,1
743.41,2.9,-0.35,1.16,0.48,0.44,0.71,-0.07,0.13,-0.5,0,0,0,0,214,616,105,260,0,1
743.52,4.28,0.15,1.13,0.47,0.44,0.71,-0.06,0.13,-0.49,0,0,0,0,214,615,105,261,0,1
