time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,F1,F2,B1,B2,S1,S2,S3,S4,S5,class
1148.9,3.6,0.04,1.44,0.37,0.21,0.87,-0.13,0.27,-0.49,0,0,0,0,107,386,49,210,0,2
1149.01,3.67,0.05,1.3,0.37,0.2,0.86,-0.13,0.27,-0.49,0,0,1,0,106,385,47,210,0,2
1149.11,3.76,0.03,1.24,0.37,0.2,0.86,-0.13,0.27,-0.48,0,0,0,0,107,384,45,211,0,2
1149.22,3.46,-0.16,1.41,0.36,0.21,0.86,-0.14,0.27,-0.49,1,0,0,0,106,384,44,209,0,2
1149.32,3.7,-0.04,1.37,0.36,0.21,0.86,-0.14,0.27,-0.48,0,0,0,1,106,385,48,211,0,2
1149.43,3.48,0.19,1.49,0.36,0.2,0.86,-0.14,0.26,-0.49,0,0,0,0,106,386,50,211,0,2
1149.53,3.41,-0.04,1.05,0.36,0.21,0.86,-0.14,0.27,-0.48,0,0,0,0,105,385,47,209,0,2
1149.64,3.55,0.02,1.32,0.36,0.2,0.86,-0.14,0.26,-0.48,0,0,0,0,106,385,48,211,0,2
1149.74,3.83,-0.11,1.45,0.37,0.21,0.86,-0.14,0.27,-0.49,0,0,0,0,105,384,46,211,1,2
1149.85,3.39,0.02,1.23,0.37,0.2,0.86,-0.14,0.27,-0.48,0,0,0,0,105,385,44,211,1,2
1149.96,3.64,0.06,1.27,0.37,0.21,0.86,-0.13,0.27,-0.48,0,0,0,0,106,386,45,212,0,2
1150.06,3.36,0.31,1.21,0.37,0.21,0.87,-0.14,0.27,-0.48,0,0,0,0,107,388,44,214,0,2
1150.17,3.93,-0.38,1.29,0.36,0.21,0.87,-0.14,0.26,-0.49,0,0,0,0,109,391,52,214,0,2
1150.27,3.11,0.14,1.44,0.37,0.2,0.87,-0.14,0.27,-0.48,0,1,0,0,109,390,51,215,0,2
1150.38,3.25,0.28,1.27,0.36,0.21,0.86,-0.14,0.27,-0.49,0,0,0,0,108,389,45,215,0,2
1150.48,3.07,-0.04,1.31,0.36,0.21,0.86,-0.14,0.27,-0.49,0,0,0,0,106,387,44,214,0,2
1150.59,2.97,-0.72,0.95,0.37,0.21,0.87,-0.13,0.27,-0.48,0,0,0,1,104,384,38,210,0,2
1150.69,8.26,-3.73,0.35,0.38,0.23,0.87,-0.14,0.27,-0.49,0,0,1,1,79,377,52,209,0,2
1150.8,7.39,-2.35,-0.99,0.35,0.17,0.89,-0.14,0.27,-0.48,0,0,0,0,77,367,60,210,0,2
1150.91,34.45,-22.5,-15.01,0.34,0.18,0.89,-0.15,0.29,-0.48,0,0,0,0,73,365,76,213,0,2
1151.01,88.51,-66.27,-3.51,0.28,0.12,1.09,-0.19,0.33,-0.45,0,0,0,0,61,365,96,236,0,2
1151.12,50.53,-118.04,43.99,0.16,-0.11,1.21,-0.26,0.39,-0.38,0,0,0,0,22,374,86,249,0,2
1151.22,116.2,-105.07,-14.73,-0.11,-0.29,0.88,-0.31,0.46,-0.3,0,0,0,0,0,387,79,263,0,2
1151.33,106.79,-106.22,-68.34,0.07,-0.31,0.81,-0.37,0.47,-0.19,0,0,0,0,0,409,78,275,0,2
1151.43,101.05,-79.33,-39.8,-0.54,-0.53,0.82,-0.44,0.47,-0.08,0,0,0,0,0,435,79,305,0,2
1151.54,-47.18,-58.81,-37.98,-0.52,-0.39,0.59,-0.45,0.44,0,0,0,1,0,0,444,62,332,0,2
1151.64,-20.75,-43.17,20.38,-0.74,-0.53,0.54,-0.44,0.45,0.02,0,0,0,0,0,457,42,367,0,2
1151.75,-52.55,-45.41,46.2,-0.57,-0.62,0.58,-0.42,0.47,0.03,0,0,0,0,0,457,25,363,0,2
1151.85,-104.4,-65.21,39.11,-0.55,-0.55,0.54,-0.38,0.52,0.02,0,0,0,0,0,456,0,290,0,2
1151.96,-111.48,-62.78,76.43,-0.59,-0.43,0.48,-0.35,0.57,-0.02,0,0,0,0,0,446,0,240,0,2
1152.07,-91.86,-42.45,98.11,-0.58,-0.41,0.49,-0.29,0.6,-0.06,0,0,0,0,0,426,0,228,0,2
1152.17,-69.84,-28.07,107.84,-0.49,-0.44,0.53,-0.22,0.63,-0.12,0,0,0,0,0,420,0,213,0,2
1152.28,-62.77,-35.37,120.64,-0.5,-0.45,0.57,-0.14,0.64,-0.17,0,0,0,0,0,420,0,201,0,2
1152.38,-68.74,-42.75,139.98,-0.46,-0.52,0.63,-0.05,0.63,-0.23,0,0,0,0,34,420,0,177,0,2
1152.49,-32.48,-7.65,152.84,-0.19,-0.56,0.77,0.06,0.6,-0.27,0,0,0,0,49,414,0,130,0,2
1152.59,16.09,-13.74,58.68,-0.39,-0.86,0.72,0.14,0.56,-0.29,0,0,0,0,0,408,16,81,0,2
1152.7,-62.12,-30.5,10.75,-0.26,-0.77,0.75,0.15,0.54,-0.31,0,0,0,0,1,385,21,79,0,2
1152.81,-3.13,-20.14,21.45,-0.33,-0.6,0.7,0.13,0.52,-0.35,0,0,0,0,46,361,25,72,0,2
1152.91,3.95,-10.68,16.12,-0.33,-0.61,0.67,0.14,0.51,-0.35,0,0,0,0,26,349,30,59,0,2
1153.02,17.23,-1.89,12.03,-0.31,-0.55,0.68,0.14,0.52,-0.34,0,0,0,0,0,350,33,45,0,2
1153.12,-9.38,-3.07,26.7,-0.29,-0.58,0.7,0.15,0.52,-0.34,0,0,0,0,0,358,68,63,0,2
1153.23,9.21,5.19,20.87,-0.25,-0.68,0.68,0.17,0.51,-0.34,0,0,0,0,40,353,73,65,0,2
1153.33,2.5,5.39,5.9,-0.25,-0.73,0.71,0.18,0.5,-0.33,0,0,0,0,49,360,64,68,0,2
1153.44,7.83,1.57,0.65,-0.22,-0.67,0.71,0.19,0.5,-0.33,0,0,0,0,67,359,65,66,1,2
1153.54,30.37,4.94,0.25,-0.21,-0.69,0.67,0.19,0.51,-0.31,0,0,1,1,68,361,62,69,0,2
1153.65,1.78,-0.92,0.71,-0.22,-0.7,0.65,0.18,0.52,-0.31,0,0,0,0,70,364,58,72,0,2
1153.75,0.74,3.29,-1.55,-0.22,-0.72,0.68,0.18,0.52,-0.32,0,0,0,0,66,365,49,73,0,2
1153.86,3.32,3.11,-2.95,-0.22,-0.7,0.71,0.19,0.52,-0.31,0,0,0,0,69,367,48,83,0,2
1153.96,3.61,-3.48,-7.2,-0.22,-0.69,0.72,0.18,0.52,-0.31,0,0,0,0,96,366,12,110,0,2
1154.07,1.43,0,-5.49,-0.23,-0.66,0.64,0.17,0.53,-0.31,0,0,0,0,96,352,15,125,1,2
1154.18,5.4,5.01,3.02,-0.2,-0.64,0.69,0.17,0.52,-0.31,0,0,0,0,82,355,0,133,0,2
1154.28,5.48,3.86,4.42,-0.23,-0.71,0.71,0.18,0.52,-0.32,0,0,0,0,68,358,23,138,0,2
1154.39,3.91,-3.27,-6.6,-0.25,-0.69,0.73,0.18,0.52,-0.31,0,0,0,0,68,365,44,149,0,2
1154.49,1.78,-2.67,-5.08,-0.24,-0.65,0.68,0.17,0.52,-0.32,0,0,0,0,67,371,57,186,0,2
1154.6,1.65,0.86,-4.67,-0.24,-0.62,0.7,0.17,0.53,-0.31,0,0,0,0,84,373,68,248,0,2
1154.7,0.7,2.09,-4.85,-0.26,-0.65,0.73,0.16,0.53,-0.32,0,0,0,0,107,377,78,276,0,2
1154.81,1.9,-3.07,-0.58,-0.26,-0.6,0.69,0.16,0.53,-0.32,0,0,0,0,138,375,95,303,0,2
1154.91,15.9,-0.98,10.21,-0.26,-0.66,0.66,0.17,0.53,-0.31,0,0,0,0,170,371,120,315,0,2
1155.02,10.47,2.27,7.43,-0.25,-0.68,0.66,0.16,0.53,-0.31,0,0,0,0,187,373,132,316,0,2
1155.12,5.18,2.7,5.73,-0.26,-0.71,0.67,0.17,0.53,-0.31,0,0,0,0,193,374,137,316,0,2
1155.23,1.12,-0.17,0.52,-0.26,-0.71,0.69,0.18,0.53,-0.31,1,0,0,0,206,376,139,307,0,2
1155.34,4.19,-1.14,-1.79,-0.25,-0.67,0.68,0.17,0.53,-0.31,0,0,0,0,211,375,137,307,0,2
1155.44,4.15,-0.09,1.44,-0.24,-0.66,0.67,0.17,0.53,-0.3,0,0,0,0,223,374,141,304,0,2
1155.55,1.23,-0.43,2.21,-0.25,-0.67,0.67,0.17,0.53,-0.31,0,0,1,0,225,376,143,304,0,2
1155.65,-0.23,-0.91,3.59,-0.25,-0.69,0.66,0.17,0.53,-0.31,0,0,0,0,226,376,145,304,0,2
1155.76,3.68,0.19,3.62,-0.25,-0.7,0.67,0.17,0.53,-0.31,0,0,0,0,228,377,150,302,0,2
1155.86,2.93,-1.03,1.19,-0.24,-0.69,0.67,0.17,0.53,-0.31,0,0,1,0,230,377,153,301,0,2
1155.97,3.06,0.58,1.74,-0.25,-0.67,0.67,0.17,0.53,-0.3,0,0,0,0,230,378,150,299,0,2
1159.57,7.29,1.78,-0.61,-0.25,-0.65,0.7,0.17,0.52,-0.31,0,0,0,0,267,391,192,262,0,2
1159.68,2.9,1.51,-2.29,-0.24,-0.65,0.69,0.17,0.52,-0.31,0,0,1,0,277,392,197,269,0,2
1159.78,0.3,1.95,1.39,-0.25,-0.66,0.69,0.17,0.52,-0.32,1,0,0,0,272,392,194,271,0,2
1159.89,4.11,4.07,-0.62,-0.24,-0.64,0.7,0.17,0.52,-0.32,0,0,1,0,272,391,176,278,0,2
1159.99,40.48,11.67,-10.28,-0.28,-0.67,0.63,0.17,0.53,-0.31,0,0,0,0,278,391,171,278,0,2
1160.1,16.55,3.99,-8.05,-0.22,-0.75,0.7,0.17,0.55,-0.29,0,0,0,0,282,384,158,266,0,2
1160.2,9.62,0.15,0.65,-0.24,-0.71,0.59,0.16,0.56,-0.28,0,0,0,0,249,374,116,271,0,2
1160.31,5.89,7.59,-3.82,-0.24,-0.7,0.64,0.17,0.55,-0.28,0,0,0,0,229,368,80,276,0,2
1160.42,-2.68,2.73,5.28,-0.25,-0.73,0.66,0.16,0.56,-0.28,0,0,0,0,205,370,82,292,0,2
1160.52,-5.99,3.96,6.17,-0.24,-0.75,0.65,0.17,0.55,-0.28,0,0,0,0,167,369,115,301,0,2
1160.63,-1.23,6.97,-8.56,-0.24,-0.72,0.63,0.17,0.55,-0.28,0,0,1,0,148,371,106,292,0,2
1160.73,8.47,2.21,-5.49,-0.24,-0.64,0.71,0.17,0.56,-0.29,0,0,0,1,187,372,82,291,0,2
1160.84,10.67,-4.13,14.88,-0.25,-0.7,0.7,0.17,0.56,-0.28,0,0,0,0,190,373,72,298,0,2
1160.94,-1.76,-7.17,-5.03,-0.25,-0.76,0.69,0.17,0.56,-0.28,0,0,0,0,189,373,70,301,0,2
1161.05,-7.91,-5.51,-10.43,-0.24,-0.67,0.65,0.16,0.55,-0.28,0,0,0,0,184,368,56,298,0,2
