time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,F1,F2,B1,B2,S1,S2,S3,S4,S5,class
1096.15,0.23,-1.45,2.21,-0.38,-0.53,0.75,-0.17,0.63,-0.11,0,0,0,0,274,242,345,529,0,0
1096.26,3.89,-1.25,3.06,-0.38,-0.55,0.75,-0.17,0.63,-0.11,0,0,0,0,276,249,346,537,0,0
1096.36,4.05,-1.42,0.58,-0.38,-0.52,0.74,-0.17,0.63,-0.11,1,0,0,0,278,252,347,539,0,0
1096.47,1.74,-1.26,1.36,-0.38,-0.54,0.74,-0.17,0.63,-0.11,0,0,0,0,280,267,348,539,0,0
1096.58,3.32,-0.17,2.2,-0.36,-0.54,0.74,-0.16,0.64,-0.11,0,0,0,0,282,269,347,538,0,0
1096.68,5.84,0.71,2.25,-0.37,-0.52,0.73,-0.16,0.63,-0.11,0,0,0,0,282,274,348,539,0,0
1096.79,5.24,1,1.47,-0.39,-0.54,0.75,-0.17,0.63,-0.11,0,0,0,0,282,276,347,539,0,0
1096.89,2.16,-1.12,-0.99,-0.37,-0.55,0.75,-0.17,0.63,-0.1,0,0,0,0,283,274,348,539,0,0
1097,2.46,-0.67,1.45,-0.36,-0.53,0.74,-0.17,0.63,-0.1,0,0,0,0,283,264,346,539,0,0
1097.1,3.08,1.09,4.52,-0.37,-0.53,0.73,-0.17,0.63,-0.11,0,0,0,0,284,275,347,539,0,0
1097.21,3.4,1.36,1.32,-0.37,-0.57,0.75,-0.16,0.63,-0.11,0,0,0,0,285,274,348,537,0,0
1097.31,4.45,1.15,0.6,-0.37,-0.55,0.75,-0.17,0.63,-0.11,0,0,0,0,285,277,347,524,0,0
1097.42,4.71,1.13,-0.57,-0.36,-0.54,0.74,-0.17,0.63,-0.1,0,0,0,0,285,278,347,523,0,0
1097.53,3.12,2.77,-6.13,-0.32,-0.53,0.71,-0.17,0.63,-0.09,0,0,0,0,285,279,344,490,0,0
1097.63,43.12,3.39,-49.26,-0.25,-0.66,0.59,-0.18,0.63,-0.09,0,0,0,0,267,293,345,501,0,0
1097.74,75.5,-12.25,-74.44,-0.33,-0.67,0.64,-0.24,0.61,-0.04,0,0,0,0,249,303,344,485,0,0
1097.84,79.5,-23.5,-44.01,-0.39,-0.43,0.63,-0.29,0.57,0.01,0,0,0,0,228,321,364,468,0,0
1097.95,50.92,3.46,-32.21,-0.57,-0.62,0.49,-0.33,0.54,0.07,0,0,1,0,194,332,406,446,0,0
