time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,F1,F2,B1,B2,S1,S2,S3,S4,S5,class
1205.15,2.22,-0.34,2.02,-0.18,-0.74,0.63,0.19,0.54,-0.26,0,0,0,0,281,372,141,179,0,3
1205.25,3.21,0,2.65,-0.2,-0.75,0.63,0.19,0.54,-0.27,0,0,0,0,281,371,142,185,0,3
1205.36,3.6,-0.38,0.82,-0.19,-0.74,0.63,0.19,0.54,-0.27,0,0,0,0,284,372,146,172,0,3
1205.46,4.55,0.68,1.78,-0.21,-0.74,0.63,0.19,0.55,-0.26,0,0,0,0,284,371,146,166,0,3
1205.57,6.34,0.94,2.87,-0.18,-0.74,0.64,0.19,0.54,-0.27,0,0,0,0,285,372,148,180,0,3
1205.67,2.14,-1.48,0.2,-0.19,-0.73,0.62,0.19,0.54,-0.26,0,0,0,0,283,372,144,181,0,3
1205.78,2.06,1.3,-0.74,-0.17,-0.73,0.6,0.19,0.54,-0.26,0,0,0,0,277,371,132,184,0,3
1205.88,4.58,2.9,-6.88,-0.19,-0.75,0.62,0.2,0.54,-0.26,0,0,0,0,269,368,89,202,0,3
1205.99,23.62,7.3,-10.29,-0.23,-0.79,0.6,0.19,0.55,-0.25,0,0,0,0,269,368,85,200,0,3
1206.09,45.94,15.76,-58.42,-0.17,-0.92,0.5,0.18,0.57,-0.23,0,0,0,0,254,369,94,213,0,3
1206.2,28.25,21.01,-103.68,-0.22,-0.93,0.56,0.13,0.6,-0.2,0,0,0,0,249,372,85,197,0,3
1206.31,54.3,31.24,-133.62,-0.37,-0.86,0.46,0.04,0.64,-0.17,0,0,0,0,239,376,84,193,0,3
1206.41,83.54,51.14,-134.19,-0.49,-0.66,0.43,-0.07,0.66,-0.12,0,0,0,0,202,381,75,243,0,3
1206.52,90.98,31.79,-112.55,-0.6,-0.53,0.37,-0.19,0.65,-0.05,0,0,0,0,144,381,67,269,0,3
1206.62,120.92,28.1,-92.25,-0.7,0.35,0.56,-0.27,0.61,0.03,0,0,0,0,158,385,56,278,0,3
1206.73,110.37,48.62,-112.31,-0.96,-0.52,0.4,-0.33,0.55,0.09,0,0,0,0,198,395,53,278,0,3
1206.83,64.71,52.11,-120.65,-0.89,-0.21,0.35,-0.41,0.45,0.11,0,0,0,0,190,399,35,294,0,3
1206.94,137.51,72.44,-74.1,-0.74,-0.12,0.74,-0.46,0.37,0.09,0,0,0,1,221,394,45,328,0,3
1207.04,118.3,42.55,-49.31,-0.72,-0.07,0.65,-0.48,0.28,0.07,0,0,0,0,237,390,61,351,1,3
1207.15,76.89,6.76,15.9,-0.83,-0.15,0.5,-0.48,0.25,0.06,0,0,0,0,262,392,149,359,0,3
