time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
385.59,4.22,0.05,1.29,0.38,0.77,0.46,-0.10,-0.00,-0.49,384,678,469,0,230,69,505,287,75,110,333,1
385.60,4.32,0.10,1.28,0.38,0.77,0.45,-0.10,-0.00,-0.49,384,678,470,0,229,69,505,287,75,110,332,1
385.60,4.53,0.21,1.46,0.38,0.77,0.46,-0.10,-0.00,-0.49,383,678,469,0,230,68,504,287,75,110,333,1
385.61,4.18,0.23,1.21,0.36,0.77,0.46,-0.10,-0.00,-0.49,384,678,470,0,230,69,505,287,75,110,334,1
385.61,4.36,0.11,1.46,0.38,0.77,0.46,-0.10,-0.00,-0.49,384,679,469,0,229,69,505,288,75,108,333,1
385.62,4.24,0.08,1.38,0.38,0.76,0.46,-0.10,-0.00,-0.49,384,678,470,0,230,68,505,287,75,110,333,1
385.62,3.97,0.00,1.26,0.37,0.76,0.47,-0.10,-0.00,-0.49,384,679,470,0,230,69,505,288,75,109,333,1
385.63,3.99,0.10,1.27,0.37,0.76,0.47,-0.10,-0.00,-0.49,384,678,469,0,229,69,505,287,74,110,333,1
385.63,3.37,0.31,1.11,0.37,0.76,0.47,-0.10,-0.00,-0.49,383,678,470,0,229,68,505,287,75,110,333,1
385.64,3.02,0.25,1.06,0.37,0.76,0.47,-0.10,-0.00,-0.50,384,679,469,0,229,69,505,287,75,110,333,1
385.64,3.14,0.06,1.17,0.38,0.77,0.47,-0.10,-0.00,-0.50,384,678,469,0,229,69,505,287,74,110,333,1
385.65,2.88,0.24,1.09,0.38,0.77,0.46,-0.10,-0.00,-0.50,384,678,469,0,228,69,505,287,75,109,334,1
385.65,2.66,0.09,1.12,0.38,0.76,0.47,-0.10,-0.00,-0.49,384,678,469,0,229,68,505,288,75,110,333,1
385.66,2.80,0.07,1.41,0.38,0.77,0.46,-0.10,-0.00,-0.49,383,678,469,0,227,69,505,287,74,110,333,1
385.67,2.67,-0.08,1.22,0.38,0.77,0.45,-0.10,-0.00,-0.49,384,679,469,0,227,69,505,287,74,109,333,1
385.67,2.95,-0.11,1.01,0.38,0.77,0.46,-0.10,-0.00,-0.49,383,678,469,0,228,68,505,287,74,109,333,1
385.67,3.31,-0.22,1.19,0.38,0.77,0.45,-0.10,-0.00,-0.49,383,678,470,0,228,69,504,287,74,110,333,1
385.68,2.90,-0.08,1.29,0.38,0.77,0.45,-0.10,-0.00,-0.49,384,678,470,0,228,68,505,287,74,110,333,1
385.68,3.39,-0.18,1.30,0.38,0.77,0.46,-0.10,-0.00,-0.49,384,678,469,0,228,68,505,288,74,110,333,1
385.69,3.56,0.10,1.41,0.38,0.76,0.45,-0.10,-0.00,-0.50,384,677,470,0,228,69,505,288,75,109,333,1
385.70,3.84,-0.22,1.32,0.38,0.76,0.45,-0.10,-0.00,-0.50,383,678,469,0,228,69,504,287,74,109,333,1
385.70,3.98,-0.20,1.35,0.38,0.76,0.46,-0.10,-0.00,-0.50,383,677,469,0,227,68,504,287,75,109,333,1
385.70,4.07,-0.34,1.44,0.38,0.76,0.46,-0.10,-0.00,-0.49,383,678,470,0,228,68,505,287,75,109,333,1
385.71,4.04,-0.12,1.60,0.38,0.76,0.46,-0.10,-0.00,-0.49,384,677,470,0,227,68,504,287,75,109,333,1
385.71,3.94,0.18,1.64,0.39,0.76,0.47,-0.10,-0.00,-0.49,384,678,469,0,227,68,504,287,74,110,333,1
385.72,3.89,0.28,1.68,0.38,0.77,0.46,-0.10,-0.00,-0.49,383,678,470,0,227,68,504,287,74,110,333,1
385.73,3.82,-0.11,1.58,0.38,0.76,0.46,-0.10,-0.00,-0.49,383,677,469,0,226,69,504,287,74,109,332,1
385.73,3.92,0.15,1.68,0.38,0.76,0.46,-0.10,-0.00,-0.49,384,678,469,0,226,67,505,287,74,109,332,1
385.73,3.91,-0.17,1.65,0.38,0.76,0.46,-0.10,-0.00,-0.49,383,677,469,0,226,65,504,287,74,109,333,1
385.74,3.57,0.29,1.60,0.38,0.76,0.46,-0.10,-0.00,-0.49,383,678,468,0,226,65,505,287,74,109,332,1
385.74,3.20,-0.10,1.52,0.38,0.76,0.46,-0.10,-0.00,-0.49,383,678,469,0,226,65,504,287,74,109,332,1
385.75,3.55,0.11,1.62,0.38,0.77,0.45,-0.10,-0.00,-0.49,383,677,469,0,226,65,504,287,74,110,332,1
385.76,3.77,-0.18,1.69,0.38,0.77,0.46,-0.10,-0.00,-0.49,383,677,469,0,225,65,504,287,74,109,332,1
385.76,3.80,-0.08,1.71,0.39,0.77,0.45,-0.10,-0.00,-0.49,382,678,468,0,226,65,504,286,73,109,333,1
385.77,4.04,-0.15,1.78,0.39,0.77,0.46,-0.10,-0.00,-0.49,383,678,468,0,225,65,504,287,73,109,332,1
385.77,3.99,0.04,2.04,0.38,0.77,0.46,-0.10,-0.00,-0.49,383,679,468,0,225,65,505,286,73,109,333,1
385.77,4.09,0.18,1.90,0.38,0.77,0.46,-0.10,-0.00,-0.49,383,677,469,0,226,65,504,287,73,108,332,1
385.78,4.20,0.00,2.13,0.38,0.77,0.46,-0.10,-0.00,-0.49,382,677,468,0,225,65,504,286,73,108,332,1
385.79,4.49,0.27,2.09,0.38,0.76,0.47,-0.10,-0.00,-0.49,382,676,468,0,225,65,504,287,73,109,332,1
