time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
1231.24,3.30,-0.61,2.14,-0.28,0.86,0.39,-0.22,0.12,-0.41,546,606,272,89,418,180,389,212,0,81,336,2
1231.25,3.05,-0.67,1.99,-0.29,0.86,0.38,-0.22,0.11,-0.41,546,607,273,89,418,180,390,212,0,81,337,2
1231.25,2.87,-0.57,1.86,-0.29,0.86,0.39,-0.22,0.11,-0.41,546,607,274,89,418,180,389,212,0,82,337,2
1231.26,3.20,-0.65,1.76,-0.28,0.86,0.38,-0.22,0.11,-0.41,546,607,275,88,418,180,390,213,0,81,337,2
1231.26,3.38,-0.84,1.59,-0.28,0.86,0.39,-0.22,0.11,-0.41,546,608,275,88,419,180,391,213,0,81,337,2
1231.27,3.67,-1.20,1.29,-0.28,0.86,0.38,-0.22,0.11,-0.41,546,608,275,89,418,180,391,213,0,81,337,2
1231.27,3.45,-0.87,1.19,-0.27,0.86,0.38,-0.22,0.11,-0.40,546,608,275,89,418,179,391,212,0,81,338,2
1231.28,3.46,-1.24,0.96,-0.27,0.86,0.38,-0.22,0.11,-0.40,546,607,275,89,418,181,391,213,0,81,337,2
1231.28,3.93,-1.13,1.08,-0.27,0.86,0.38,-0.22,0.11,-0.40,546,608,276,89,417,180,391,214,0,82,337,2
1231.29,4.23,-1.18,1.20,-0.28,0.86,0.38,-0.22,0.12,-0.41,547,608,275,89,418,180,391,213,0,81,337,2
1231.29,4.03,-1.34,1.24,-0.26,0.85,0.38,-0.22,0.12,-0.41,546,608,276,89,417,181,392,214,0,81,337,2
1231.30,3.84,-1.57,1.22,-0.27,0.86,0.38,-0.22,0.11,-0.40,546,608,274,88,417,181,391,214,0,81,338,2
1231.30,3.57,-1.41,1.36,-0.27,0.86,0.38,-0.22,0.11,-0.40,546,607,274,88,417,181,391,214,0,82,337,2
1231.31,3.39,-1.50,1.29,-0.27,0.86,0.38,-0.22,0.11,-0.40,546,607,274,89,417,181,392,213,0,82,337,2
1231.31,3.26,-1.38,1.41,-0.27,0.86,0.38,-0.21,0.12,-0.40,547,607,274,89,418,180,393,213,0,82,338,2
