time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
1174.38,3.75,0.15,1.72,0.35,0.63,0.65,-0.13,0.10,-0.49,358,590,467,65,180,0,568,250,0,238,298,0
1174.39,4.31,-0.02,1.64,0.35,0.63,0.65,-0.13,0.10,-0.49,358,590,468,66,181,0,568,250,0,239,298,0
1174.39,4.16,-0.04,1.75,0.35,0.63,0.64,-0.13,0.10,-0.49,358,589,468,66,180,0,569,250,0,239,299,0
1174.40,4.45,-0.23,1.90,0.35,0.63,0.64,-0.13,0.10,-0.49,359,591,468,65,180,0,568,250,0,239,298,0
1174.40,4.27,-0.07,2.00,0.35,0.62,0.65,-0.13,0.10,-0.49,358,589,467,66,180,1,568,249,0,240,299,0
1174.41,3.95,-0.04,1.82,0.35,0.63,0.65,-0.13,0.10,-0.48,359,590,468,66,180,0,569,250,0,239,298,0
1174.41,4.15,0.17,1.98,0.35,0.62,0.65,-0.13,0.10,-0.48,358,590,467,66,180,0,569,249,0,239,298,0
1174.42,3.99,0.19,2.20,0.35,0.62,0.65,-0.13,0.10,-0.48,358,590,467,66,179,0,569,250,0,239,298,0
1174.42,3.87,0.22,2.20,0.34,0.62,0.64,-0.13,0.10,-0.48,358,590,467,65,179,0,569,250,0,240,299,0
1174.43,3.71,0.14,2.05,0.34,0.62,0.65,-0.13,0.10,-0.48,358,590,467,66,179,0,568,250,0,239,298,0
1174.43,3.47,0.25,2.04,0.34,0.62,0.65,-0.13,0.10,-0.49,359,590,468,65,180,0,569,250,0,240,298,0
1174.44,3.40,0.09,2.06,0.34,0.62,0.65,-0.13,0.10,-0.49,359,589,467,65,180,0,570,250,0,239,298,0
1174.44,3.46,0.25,1.95,0.34,0.64,0.65,-0.13,0.10,-0.49,358,590,467,66,180,0,568,249,0,239,298,0
1174.45,3.11,0.30,1.78,0.34,0.63,0.65,-0.13,0.10,-0.49,358,589,467,66,180,0,569,249,0,239,298,0
1174.45,3.17,0.05,2.02,0.34,0.63,0.65,-0.13,0.10,-0.49,358,590,467,65,180,0,569,249,0,239,298,0
1174.46,3.49,0.17,2.04,0.34,0.63,0.65,-0.13,0.10,-0.48,359,589,467,66,179,1,568,250,0,239,298,0
1174.46,3.54,0.05,2.00,0.34,0.63,0.65,-0.13,0.10,-0.48,358,590,467,65,180,0,568,249,0,239,298,0
1174.47,3.65,-0.13,2.00,0.34,0.63,0.64,-0.13,0.10,-0.48,358,590,467,65,179,1,568,250,0,239,298,0
1174.47,3.81,0.04,2.05,0.34,0.63,0.64,-0.13,0.10,-0.48,358,590,467,65,179,0,568,249,0,238,297,0
1174.48,3.78,0.11,2.08,0.34,0.63,0.64,-0.13,0.10,-0.48,358,589,467,65,179,0,568,249,0,238,298,0
1174.48,4.20,-0.05,1.81,0.34,0.63,0.64,-0.13,0.10,-0.48,357,590,467,65,178,0,568,249,0,239,298,0
1174.49,4.54,-0.08,1.86,0.34,0.64,0.64,-0.13,0.10,-0.48,358,590,467,66,179,0,568,249,0,237,297,0
1174.49,4.83,0.09,1.82,0.34,0.64,0.64,-0.13,0.10,-0.48,357,590,467,65,179,0,568,249,0,238,298,0
1174.50,4.87,0.09,1.58,0.34,0.63,0.65,-0.14,0.10,-0.48,358,591,468,65,178,0,568,251,0,238,298,0
1174.50,5.04,-0.15,1.66,0.34,0.64,0.64,-0.14,0.10,-0.48,357,589,467,65,178,0,568,250,0,239,298,0
1174.51,5.03,-0.09,1.59,0.34,0.63,0.65,-0.14,0.10,-0.48,358,590,468,65,179,0,567,249,0,238,298,0
