time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
1027.78,3.12,-0.19,1.27,-0.37,0.75,0.52,0.13,-0.10,-0.33,67,563,342,99,66,200,619,0,0,105,354,3
1027.79,2.78,-0.11,1.40,-0.37,0.75,0.52,0.13,-0.10,-0.33,66,562,342,99,66,200,620,0,0,105,355,3
1027.79,3.36,0.30,1.49,-0.37,0.75,0.52,0.14,-0.10,-0.33,66,563,342,100,66,200,620,0,0,105,355,3
1027.80,3.47,0.27,1.63,-0.37,0.75,0.52,0.14,-0.10,-0.33,66,563,343,99,66,200,619,0,0,105,354,3
1027.80,3.30,0.60,1.69,-0.38,0.74,0.52,0.14,-0.10,-0.33,67,563,343,99,66,200,621,0,0,105,355,3
1027.81,3.66,0.34,1.69,-0.37,0.75,0.52,0.14,-0.10,-0.33,66,562,343,99,66,200,620,0,0,103,354,3
1027.81,3.81,0.59,1.70,-0.37,0.75,0.52,0.14,-0.10,-0.33,67,563,342,99,66,199,619,0,0,105,354,3
1027.82,3.52,0.59,1.58,-0.37,0.75,0.52,0.14,-0.10,-0.33,67,563,343,100,67,200,620,0,0,105,354,3
1027.82,3.63,0.58,1.64,-0.37,0.75,0.52,0.14,-0.10,-0.33,67,563,342,99,67,200,620,0,0,105,354,3
1027.83,3.85,0.25,1.58,-0.38,0.75,0.53,0.14,-0.10,-0.33,67,563,342,99,66,200,620,0,0,105,355,3
1027.83,3.70,0.18,1.52,-0.37,0.75,0.52,0.14,-0.10,-0.33,66,563,342,99,66,200,619,1,0,104,354,3
1027.84,3.61,0.18,1.32,-0.37,0.75,0.53,0.14,-0.10,-0.33,66,563,342,99,67,200,619,0,0,105,354,3
1027.84,3.68,0.28,1.45,-0.37,0.75,0.53,0.14,-0.10,-0.33,67,563,343,99,66,201,619,0,0,104,354,3
1027.85,3.39,-2.17,1.68,-0.37,0.75,0.52,0.14,-0.10,-0.33,66,563,342,99,66,200,619,0,0,104,354,3
1027.85,3.75,-0.18,1.64,-0.37,0.75,0.53,0.14,-0.10,-0.32,66,563,342,99,66,200,620,0,0,104,354,3
1027.86,3.54,-0.02,1.71,-0.37,0.75,0.52,0.14,-0.10,-0.32,66,563,342,99,66,200,620,0,0,104,354,3
1027.86,3.73,-0.13,2.00,-0.37,0.75,0.52,0.14,-0.10,-0.32,65,562,342,99,66,200,619,0,0,105,354,3
1027.87,3.66,0.16,1.97,-0.37,0.75,0.52,0.14,-0.10,-0.33,65,563,342,99,66,200,619,0,0,104,354,3
1027.87,3.73,0.02,1.73,-0.37,0.73,0.52,0.14,-0.10,-0.33,66,563,343,99,66,200,619,0,0,104,354,3
1027.88,3.92,0.42,1.86,-0.38,0.75,0.52,0.14,-0.10,-0.33,65,562,342,99,66,200,619,0,0,104,354,3
