time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,F1,F2,F3,F4,B1,B2,S1,S2,S3,S4,class
1681.54,2.95,2.52,3.23,-0.33,0.42,0.84,-0.16,0.37,-0.45,0,0,0,0,0,0,559,360,589,242,3
1681.65,2.30,-2.35,0.65,-0.34,0.46,0.83,-0.16,0.37,-0.45,0,0,0,0,0,0,556,360,588,242,3
1681.75,0.21,-0.22,3.09,-0.33,0.41,0.80,-0.16,0.37,-0.44,0,1,0,0,0,0,557,360,586,243,3
1681.86,0.33,0.51,-0.74,-0.31,0.41,0.81,-0.16,0.37,-0.45,0,0,0,0,0,0,558,361,587,241,3
1681.96,2.80,-1.20,-4.59,-0.34,0.44,0.82,-0.16,0.37,-0.45,0,0,0,0,0,0,556,360,588,242,3
1682.07,2.56,-0.65,1.09,-0.34,0.45,0.82,-0.17,0.38,-0.46,0,0,0,0,0,0,555,360,589,243,3
1682.18,1.87,0.82,2.36,-0.32,0.41,0.83,-0.16,0.37,-0.46,0,0,0,0,0,0,554,361,587,242,3
1682.28,0.31,-0.94,0.03,-0.33,0.45,0.79,-0.17,0.37,-0.45,0,0,0,0,0,0,557,360,587,243,3
1682.39,-0.74,1.25,1.62,-0.33,0.45,0.79,-0.17,0.37,-0.45,0,0,0,0,0,0,554,359,585,242,3
1682.49,2.00,0.48,0.92,-0.33,0.46,0.79,-0.17,0.37,-0.45,0,0,0,0,0,0,551,359,582,242,3
1682.60,12.73,-1.39,0.67,-0.33,0.47,0.82,-0.17,0.37,-0.45,0,0,0,0,0,0,555,357,579,241,3
1682.70,5.57,-16.12,-5.88,-0.35,0.48,0.89,-0.17,0.38,-0.44,0,0,0,0,0,0,543,356,580,241,3
1682.81,119.88,-61.50,32.38,-0.48,0.41,1.24,-0.19,0.42,-0.42,1,0,0,0,0,0,506,354,583,260,3
1682.91,12.98,-109.20,42.94,-0.62,0.39,0.97,-0.25,0.47,-0.36,0,0,0,0,0,0,433,337,571,248,3
1683.02,-54.86,-95.46,64.96,-0.63,0.10,0.79,-0.27,0.48,-0.33,0,0,0,0,0,0,385,294,434,169,3
1683.12,-34.32,-98.39,61.04,-0.48,0.06,0.45,-0.29,0.48,-0.32,0,0,0,0,0,0,350,239,391,142,3
1683.23,-18.98,-125.35,23.27,-0.77,-0.09,0.27,-0.34,0.49,-0.26,0,0,0,0,0,0,330,121,256,106,3
1683.34,-101.41,-111.91,-20.90,-0.94,-0.10,0.08,-0.38,0.48,-0.21,0,0,0,0,0,0,193,0,16,87,3
1683.44,-75.79,-48.64,-22.69,-0.87,-0.03,-0.25,-0.42,0.43,-0.19,0,0,0,0,0,0,176,4,0,86,3
1683.55,-25.84,-0.70,-22.69,-0.93,-0.10,-0.17,-0.43,0.40,-0.20,0,0,0,0,0,0,0,0,0,87,3
1683.65,-34.09,-11.59,-37.43,-0.91,0.27,-0.27,-0.44,0.36,-0.21,0,0,0,0,0,0,0,2,0,97,3
1683.76,6.31,6.60,6.30,-1.01,0.20,-0.09,-0.44,0.35,-0.21,0,0,0,0,0,0,0,25,0,145,3
1683.86,-4.17,20.31,15.49,-1.02,0.24,-0.12,-0.44,0.35,-0.23,0,0,0,0,0,0,0,64,0,180,3
1683.97,-29.35,29.19,11.94,-0.93,0.16,0.03,-0.42,0.36,-0.25,0,0,0,0,0,0,0,50,0,190,3
1684.07,19.50,-8.73,4.93,-0.97,0.15,0.02,-0.41,0.35,-0.27,0,0,0,0,0,0,0,44,0,181,3
1684.18,25.39,-7.83,1.41,-1.03,0.18,-0.06,-0.42,0.36,-0.25,0,0,0,0,0,0,0,55,0,172,3
1684.29,28.36,4.58,5.32,-0.98,0.18,-0.07,-0.42,0.37,-0.24,0,0,0,0,0,0,0,66,0,170,3
1684.39,21.31,2.57,2.63,-0.97,0.17,-0.03,-0.42,0.37,-0.25,1,0,0,0,0,0,0,85,0,171,3
1684.50,2.51,1.59,-1.55,-1.00,0.22,-0.06,-0.42,0.37,-0.24,0,0,0,0,0,0,0,119,0,165,3
1684.60,3.75,7.41,2.68,-0.98,0.19,0.01,-0.42,0.37,-0.25,0,0,0,0,0,1,0,130,0,166,3
1684.71,2.35,5.09,2.57,-1.00,0.15,-0.01,-0.41,0.38,-0.25,0,0,0,0,0,0,0,144,0,167,3
1684.81,3.63,9.23,6.33,-0.99,0.18,0.04,-0.41,0.38,-0.25,0,0,0,0,0,0,0,140,0,170,3
1684.92,8.49,-10.03,-3.24,-0.99,0.17,-0.03,-0.41,0.38,-0.25,0,0,0,0,0,0,0,134,1,172,3
