time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,F1,F2,F3,F4,B1,B2,S1,S2,S3,S4,class
172.66,2.27,0.03,1.78,0.02,0.30,0.92,-0.20,0.37,-0.46,0,0,0,0,0,0,350,420,189,489,0
172.77,2.35,-0.57,1.85,0.01,0.31,0.90,-0.20,0.37,-0.46,0,0,0,0,0,0,348,420,188,489,0
172.87,2.92,-0.28,0.54,0.02,0.31,0.92,-0.20,0.37,-0.45,0,0,0,0,0,0,349,419,189,489,0
172.98,2.41,0.62,1.39,0.02,0.31,0.92,-0.21,0.37,-0.45,0,0,0,0,0,0,348,420,188,489,0
173.08,3.67,-0.22,1.43,0.02,0.30,0.91,-0.20,0.37,-0.46,0,0,0,0,0,0,349,419,186,489,0
173.19,3.32,-0.59,0.24,0.03,0.32,0.92,-0.20,0.37,-0.45,0,0,0,0,0,0,348,420,186,489,0
173.29,3.63,-0.20,2.62,0.02,0.31,0.92,-0.20,0.37,-0.45,0,0,0,0,0,0,348,419,187,489,0
173.40,3.51,0.07,0.34,0.02,0.31,0.92,-0.20,0.37,-0.46,0,0,0,0,0,0,346,420,187,489,0
173.51,4.24,0.29,1.24,0.02,0.31,0.92,-0.21,0.37,-0.45,0,0,0,0,0,0,348,420,188,489,0
173.61,3.16,-0.07,1.21,0.02,0.30,0.91,-0.20,0.37,-0.45,0,0,0,0,0,0,348,420,187,489,0
173.72,2.80,0.22,1.35,0.02,0.31,0.92,-0.20,0.37,-0.45,0,0,0,0,0,0,348,419,188,490,0
173.82,3.15,0.04,1.22,0.02,0.31,0.91,-0.20,0.37,-0.46,0,0,0,0,0,0,349,419,188,490,0
173.93,3.28,-0.51,1.05,0.02,0.31,0.91,-0.20,0.37,-0.45,0,0,0,0,0,0,350,419,188,489,0
174.03,3.32,-0.02,1.20,0.02,0.32,0.91,-0.21,0.37,-0.45,0,0,0,0,0,0,350,419,190,491,0
174.14,3.13,-0.27,1.50,0.02,0.31,0.91,-0.20,0.37,-0.45,0,0,0,0,0,0,350,420,191,490,0
174.24,3.41,-1.18,0.99,0.03,0.32,0.93,-0.20,0.37,-0.45,0,0,0,0,0,0,350,421,196,490,0
174.35,7.79,0.12,2.10,-0.03,0.29,0.85,-0.20,0.37,-0.45,0,0,0,0,0,0,356,422,194,488,0
174.46,6.38,8.93,-8.30,0.04,0.29,0.96,-0.20,0.37,-0.45,0,0,0,0,0,0,359,424,196,491,0
174.56,0.20,5.62,2.67,0.07,0.36,0.91,-0.20,0.36,-0.46,0,0,0,0,0,0,358,436,214,495,0
174.67,-17.33,-7.70,70.17,0.15,0.66,0.99,-0.20,0.36,-0.47,0,0,0,0,0,0,367,449,260,555,0
174.77,112.79,-21.57,95.78,-0.05,0.34,0.94,-0.17,0.41,-0.45,0,0,0,0,0,0,399,463,274,565,0
174.88,31.92,-53.48,45.88,-0.09,0.02,1.16,-0.15,0.49,-0.40,1,0,0,0,0,0,418,463,260,554,0
174.98,24.16,-48.68,21.91,-0.20,-0.07,0.88,-0.16,0.52,-0.38,0,0,0,0,0,0,442,459,220,482,0
175.09,-77.43,-41.73,7.16,-0.32,0.02,0.93,-0.18,0.51,-0.38,0,0,0,0,0,1,393,442,189,492,0
175.20,-123.93,-23.78,15.36,-0.54,0.31,0.78,-0.20,0.45,-0.42,0,0,0,0,0,0,413,426,206,510,0
175.30,7.02,53.80,100.69,-0.38,0.46,0.53,-0.17,0.41,-0.44,0,0,0,0,0,0,421,412,210,496,0
