time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,P1,P2,P3,P4,P5,F1,F2,F3,F4,B1,B2,B3,S1,S2,class
69.82,7.35,-5.83,0.38,-0.26,0.66,0.58,0.15,-0.02,-0.39,0,0,0,0,0,671,888,672,681,0,72,631,471,208,1
69.93,1.23,2.46,-6.99,-0.26,0.77,0.54,0.15,-0.02,-0.39,0,0,1,0,0,672,888,672,682,0,72,626,473,209,1
70.03,6.81,2.54,0.1,-0.25,0.86,0.51,0.15,-0.02,-0.39,0,0,0,0,0,673,888,672,682,0,72,628,471,208,1
70.14,14.53,5.99,5.99,-0.25,0.79,0.6,0.15,-0.02,-0.4,0,0,0,0,0,673,888,673,683,0,71,629,468,208,1
70.24,2.31,-0.61,3.76,-0.25,0.72,0.63,0.16,-0.01,-0.39,0,0,0,0,0,673,889,673,683,0,71,627,463,210,1
70.35,9.79,-9.61,0.06,-0.22,0.71,0.59,0.15,0,-0.4,0,0,0,0,0,670,888,673,682,0,71,624,461,211,1
70.45,9.58,-1.57,-2.16,-0.25,0.72,0.58,0.16,0,-0.4,0,0,0,0,0,671,887,673,682,0,72,624,462,215,1
70.56,5.41,-1.47,-2.79,-0.23,0.78,0.54,0.15,0,-0.39,0,0,0,0,0,670,888,673,682,0,71,628,463,216,1
70.66,16.36,-29.55,-1.81,-0.24,0.72,0.63,0.14,0.01,-0.4,0,0,0,0,0,674,891,677,699,0,76,638,470,221,1
70.77,-0.09,-23.7,-4.33,-0.3,0.76,0.57,0.12,0.02,-0.42,0,0,0,0,0,670,889,675,701,0,82,643,480,230,1
70.88,4.48,0.9,0.14,-0.32,0.75,0.53,0.12,0.02,-0.42,0,0,0,0,0,667,889,671,698,0,84,649,482,229,1
70.98,6.68,15.31,-1.11,-0.29,0.73,0.56,0.12,0.02,-0.42,0,0,0,0,0,665,886,671,696,0,79,646,481,224,1
71.09,16.67,12.62,-0.94,-0.23,0.75,0.64,0.13,0.02,-0.42,0,0,0,0,0,668,888,673,697,1,74,645,481,222,1
71.19,62.73,-10.11,6.12,-0.25,0.69,0.73,0.14,0.04,-0.43,0,0,0,0,0,669,893,673,696,0,76,649,482,224,1
71.3,51.78,-59.58,-12.26,-0.22,0.45,1,0.12,0.08,-0.45,0,0,0,0,0,669,906,674,699,0,85,663,490,228,1
71.4,-24.44,-167.84,-86.62,-0.36,0.49,0.76,0.04,0.09,-0.47,0,0,0,0,0,644,853,637,674,0,45,682,578,236,1
71.51,62.59,-165.97,-66.94,-0.43,0.61,0.44,-0.07,0.1,-0.47,0,0,0,0,0,617,809,581,652,0,0,684,598,239,1
71.61,118.19,-111.24,-80.5,-0.46,0.31,0.72,-0.16,0.17,-0.47,0,0,0,0,0,600,794,556,645,0,11,682,600,237,1
71.72,5.99,-75.19,-112.01,-0.65,0.64,0.57,-0.23,0.21,-0.45,0,0,0,0,0,608,798,558,634,0,13,650,596,185,1
71.83,-2.86,26.18,-65.42,-0.18,0.98,0.29,-0.23,0.16,-0.43,0,0,0,0,0,623,822,592,641,0,0,602,550,139,1
71.93,10.26,56.75,-4.46,0.09,0.92,0.37,-0.18,0.16,-0.45,0,0,0,0,0,649,829,630,651,0,0,586,330,122,1
72.04,-2.2,-15.7,-14.5,-0.08,1.08,0.22,-0.15,0.16,-0.46,0,0,0,0,0,666,857,648,657,0,0,586,309,129,1
72.14,-15.58,2.12,-10.18,-0.2,0.83,0.45,-0.17,0.18,-0.46,0,0,0,0,0,663,861,651,668,0,0,592,309,126,1
72.25,4.29,13.85,-2.72,-0.23,0.79,0.55,-0.16,0.18,-0.46,0,0,0,0,0,666,866,655,662,0,28,591,314,134,1
72.35,12.55,10.38,9.85,-0.19,0.98,0.42,-0.15,0.17,-0.47,0,0,0,0,0,666,870,659,665,0,44,594,329,136,1
72.46,-17.97,2.14,0.49,-0.23,0.81,0.57,-0.15,0.18,-0.47,0,0,0,0,0,664,874,659,665,0,52,595,327,138,1
72.57,0.83,-14.17,3.86,-0.2,0.8,0.63,-0.15,0.18,-0.47,0,0,0,0,0,665,872,658,664,0,57,594,318,138,1
72.67,14.65,-15.51,8.7,-0.26,0.76,0.61,-0.16,0.18,-0.45,0,0,0,0,0,665,874,658,664,0,59,594,317,142,1
72.78,13.48,-17.78,2,-0.25,0.6,0.48,-0.19,0.18,-0.45,0,0,0,0,0,664,871,653,668,0,46,592,309,141,1
72.88,20.89,9.96,-7.08,-0.32,0.77,0.55,-0.19,0.18,-0.45,0,0,0,0,0,665,872,658,667,0,45,590,317,138,1
72.99,17.67,-7.1,-4.77,-0.26,0.81,0.56,-0.19,0.18,-0.45,0,0,0,0,0,665,875,659,668,0,50,592,320,143,1
73.09,10.8,-3.52,-0.36,-0.24,0.82,0.5,-0.19,0.18,-0.45,0,1,0,0,0,669,876,660,668,0,49,593,321,144,1
73.2,6.63,0.31,0.77,-0.24,0.8,0.52,-0.2,0.19,-0.45,0,0,0,0,0,666,876,660,666,0,48,592,317,145,1
73.3,-4.52,3.43,2.63,-0.24,0.81,0.52,-0.2,0.19,-0.45,0,0,0,0,0,667,877,662,666,0,50,593,318,144,1
73.41,-0.94,-2.8,0.07,-0.27,0.72,0.57,-0.2,0.18,-0.44,0,0,0,0,0,666,876,662,669,0,50,594,317,145,1
73.51,1.79,-9.53,-6.4,-0.21,0.78,0.53,-0.2,0.18,-0.45,0,0,0,0,0,667,877,661,667,0,52,592,316,146,1
73.62,12.48,-6.12,-2.15,-0.26,0.83,0.5,-0.2,0.18,-0.44,0,0,0,0,0,667,878,658,664,0,48,593,318,146,1
73.73,1.97,4.17,4.53,-0.27,0.8,0.56,-0.21,0.19,-0.44,0,0,0,0,0,667,876,660,664,0,49,593,319,149,1
73.83,2.51,4.94,4.91,-0.25,0.74,0.59,-0.2,0.18,-0.44,0,0,0,0,0,668,877,663,668,0,49,594,318,148,1
73.94,-2,-8.65,0.3,-0.23,0.76,0.59,-0.2,0.19,-0.44,0,0,0,0,0,666,878,663,669,0,51,594,318,151,1
74.04,-3.17,-3.71,-1.09,-0.27,0.75,0.5,-0.21,0.19,-0.44,0,0,0,0,0,667,877,660,665,0,50,593,318,152,1
74.15,-8.45,20.62,-2.84,-0.24,0.82,0.38,-0.21,0.18,-0.43,0,0,0,0,0,663,875,661,667,0,51,595,317,146,1
74.25,3.3,12.92,2.9,-0.2,0.8,0.64,-0.19,0.18,-0.45,0,0,0,0,0,668,880,668,675,0,54,597,318,145,1
74.36,-0.43,-2.26,0.6,-0.24,0.78,0.62,-0.18,0.18,-0.45,0,0,0,0,0,666,880,666,674,0,54,599,318,146,1
74.46,1.89,-1.57,2.18,-0.2,0.81,0.54,-0.19,0.18,-0.45,0,0,0,0,0,664,878,665,667,0,50,597,318,147,1
74.57,15.3,-11.31,2.13,-0.23,0.74,0.52,-0.2,0.18,-0.44,0,0,0,0,0,661,877,664,666,0,46,596,318,148,1
74.68,5.17,-0.33,-3.17,-0.23,0.81,0.53,-0.2,0.18,-0.45,0,0,0,0,0,665,879,667,670,0,47,598,321,149,1
74.78,10.61,-4.57,-0.17,-0.25,0.8,0.54,-0.2,0.18,-0.44,0,0,0,0,0,668,878,669,673,0,48,598,322,148,1
74.89,1.54,11.7,4.16,-0.25,0.79,0.52,-0.2,0.18,-0.45,0,0,0,0,0,666,880,669,674,0,49,598,322,149,1
74.99,3.53,10.32,4.54,-0.22,0.75,0.58,-0.19,0.18,-0.46,0,0,0,0,0,665,881,672,675,0,50,598,319,148,1
75.1,-2.58,-1.32,2.69,-0.23,0.78,0.6,-0.18,0.18,-0.45,0,0,0,0,0,665,880,670,670,0,50,596,320,152,1
75.21,-3.37,-1.23,3.06,-0.18,0.83,0.52,-0.18,0.17,-0.45,0,0,0,0,0,663,878,667,668,1,50,597,318,152,1
75.31,11.95,-7.96,3.4,-0.23,0.8,0.46,-0.2,0.17,-0.45,0,0,0,0,0,662,877,666,665,0,46,593,318,152,1
75.42,-3.42,13.69,0.6,-0.24,0.81,0.48,-0.19,0.17,-0.44,0,0,0,0,0,662,877,667,668,1,47,595,318,149,1
75.52,15.97,-7.4,-0.36,-0.22,0.82,0.58,-0.19,0.16,-0.45,0,0,0,0,0,667,879,670,669,0,48,597,318,151,1
75.63,5.97,-2.36,1.47,-0.25,0.8,0.49,-0.19,0.17,-0.45,0,0,0,0,0,664,878,668,670,0,51,595,321,153,1
75.73,-4.03,2.76,0.04,-0.17,0.86,0.5,-0.19,0.16,-0.45,0,0,0,0,0,663,878,670,669,0,51,597,320,151,1
