time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,F1,F2,F3,F4,B1,B2,S1,S2,S3,S4,class
1335.49,2.17,0.57,1.55,0.48,-0.14,0.82,0.11,0.59,-0.32,0,0,0,0,0,0,608,350,36,106,1
1335.59,3.83,0.61,1.37,0.49,-0.15,0.82,0.11,0.59,-0.32,0,0,0,0,0,0,609,351,37,107,1
1335.70,2.95,-0.04,1.03,0.48,-0.15,0.82,0.11,0.58,-0.31,0,0,0,0,0,0,610,353,39,106,1
1335.81,4.24,-0.30,1.63,0.48,-0.15,0.81,0.12,0.59,-0.31,0,0,0,0,0,0,610,353,40,106,1
1335.91,4.23,-0.04,1.72,0.49,-0.15,0.81,0.12,0.58,-0.32,0,0,0,0,0,0,610,353,40,106,1
1336.02,3.50,-0.07,1.28,0.49,-0.17,0.82,0.11,0.58,-0.31,0,0,0,0,0,0,610,354,41,107,1
1336.12,2.91,-0.11,1.23,0.49,-0.15,0.82,0.11,0.59,-0.31,0,0,0,0,0,0,609,353,40,106,1
1336.23,2.44,0.34,1.33,0.49,-0.15,0.81,0.11,0.59,-0.32,0,0,0,0,0,0,609,352,40,107,1
1336.33,3.21,-0.46,1.91,0.50,-0.16,0.82,0.11,0.59,-0.32,0,0,0,0,0,0,608,351,41,106,1
1336.44,5.68,0.63,2.00,0.48,-0.15,0.82,0.11,0.59,-0.31,0,0,0,0,0,0,607,353,41,107,1
1336.54,3.13,0.15,0.95,0.49,-0.16,0.82,0.12,0.59,-0.31,0,0,0,0,0,0,607,353,41,107,1
1336.65,4.94,-0.28,1.74,0.49,-0.15,0.81,0.11,0.59,-0.31,0,0,0,0,0,0,606,353,41,104,1
1336.76,3.45,0.41,1.46,0.49,-0.15,0.81,0.11,0.58,-0.31,0,0,0,0,0,0,607,353,41,107,1
1336.86,2.98,0.38,1.39,0.49,-0.16,0.82,0.11,0.58,-0.31,0,0,0,0,0,0,606,353,41,108,1
1336.97,3.26,0.21,1.21,0.49,-0.15,0.82,0.11,0.58,-0.31,0,0,0,0,0,0,605,353,42,107,1
1337.07,3.58,0.04,1.53,0.49,-0.16,0.82,0.12,0.59,-0.31,0,0,0,0,0,0,605,353,40,107,1
1337.18,3.47,0.08,1.33,0.50,-0.15,0.82,0.11,0.58,-0.31,0,0,0,0,0,0,605,352,41,108,1
1337.28,4.69,-0.02,1.72,0.49,-0.15,0.82,0.11,0.58,-0.31,0,0,0,0,0,0,605,353,42,106,1
1337.39,4.24,-0.38,1.64,0.49,-0.15,0.80,0.11,0.59,-0.31,0,1,0,0,0,0,606,353,42,107,1
1337.49,4.19,-0.32,1.40,0.49,-0.15,0.82,0.11,0.58,-0.31,0,0,0,0,0,0,605,353,41,106,1
1337.60,3.67,-0.05,1.65,0.49,-0.15,0.82,0.11,0.59,-0.31,0,0,0,0,0,0,606,352,42,106,1
1337.70,3.94,0.21,1.18,0.49,-0.15,0.81,0.11,0.58,-0.31,0,0,0,0,0,0,606,352,42,105,1
1337.81,3.32,0.28,1.50,0.48,-0.15,0.82,0.11,0.58,-0.31,0,0,0,0,0,0,606,352,42,106,1
1337.92,3.06,0.08,1.30,0.49,-0.15,0.81,0.11,0.59,-0.31,0,0,0,0,0,0,605,353,42,107,1
1338.02,1.60,-0.26,1.10,0.49,-0.15,0.82,0.11,0.59,-0.31,0,0,0,0,0,0,604,352,42,107,1
1338.13,3.33,0.09,1.28,0.48,-0.14,0.82,0.11,0.59,-0.31,0,0,1,1,0,0,603,351,43,108,1
1338.23,2.96,0.39,0.90,0.49,-0.16,0.83,0.11,0.59,-0.32,0,0,0,0,0,0,605,353,43,108,1
