time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,F1,F2,B1,B2,S1,S2,S3,S4,S5,class
1202.25,6.94,4.94,-1.14,0.20,-0.72,0.64,-0.20,0.66,-0.14,0,0,596,658,143,260,417,141,0,1
1202.35,3.62,-0.23,0.72,0.17,-0.74,0.63,-0.20,0.66,-0.14,0,0,595,653,141,254,415,140,0,1
1202.46,-0.09,-4.16,0.18,0.18,-0.73,0.63,-0.20,0.66,-0.15,0,0,594,650,139,251,410,139,0,1
1202.56,-2.49,-4.22,2.39,0.17,-0.71,0.64,-0.20,0.66,-0.15,0,0,592,648,138,249,409,139,0,1
1202.67,2.00,1.86,3.25,0.16,-0.70,0.65,-0.20,0.66,-0.15,0,0,595,648,140,253,410,140,0,1
1202.77,1.47,2.07,4.02,0.19,-0.71,0.64,-0.20,0.66,-0.14,0,0,596,650,142,259,410,140,0,1
1202.88,1.31,-0.11,2.13,0.18,-0.71,0.65,-0.20,0.66,-0.15,0,0,597,650,147,261,410,140,0,1
1202.98,3.46,0.73,1.73,0.18,-0.71,0.65,-0.19,0.66,-0.15,0,0,598,650,155,262,410,141,0,1
1203.09,4.09,0.19,0.75,0.19,-0.71,0.65,-0.19,0.67,-0.15,0,0,597,650,156,264,410,140,0,1
1203.20,4.25,-0.06,1.03,0.18,-0.71,0.65,-0.19,0.66,-0.14,0,0,597,649,151,261,410,140,0,1
1203.30,3.77,-0.55,1.07,0.18,-0.70,0.66,-0.20,0.66,-0.15,0,0,596,648,144,262,409,140,0,1
1203.41,3.43,0.27,1.31,0.18,-0.73,0.65,-0.20,0.66,-0.15,0,0,598,648,156,266,411,141,0,1
1203.51,3.05,-0.84,1.12,0.18,-0.71,0.65,-0.19,0.67,-0.16,0,0,599,649,157,266,410,140,1,1
1203.62,1.74,0.18,1.84,0.18,-0.71,0.66,-0.20,0.66,-0.15,0,0,599,648,155,265,409,142,0,1
1203.72,0.03,0.32,2.71,0.18,-0.70,0.66,-0.19,0.66,-0.16,0,0,600,647,156,265,410,141,0,1
1203.83,2.59,0.76,2.55,0.18,-0.71,0.65,-0.19,0.66,-0.15,0,0,599,647,157,265,409,141,0,1
1203.93,-0.82,0.74,3.17,0.20,-0.70,0.65,-0.19,0.66,-0.16,0,0,601,648,157,267,410,141,0,1
1204.04,0.61,2.17,3.28,0.19,-0.71,0.66,-0.19,0.66,-0.15,0,0,602,647,157,270,411,142,0,1
1204.15,-1.24,-0.29,3.61,0.20,-0.69,0.66,-0.18,0.66,-0.16,0,0,605,649,158,273,414,141,0,1
1204.25,-4.75,-1.61,1.64,0.19,-0.69,0.67,-0.19,0.66,-0.17,1,0,608,649,161,278,416,142,0,1
