time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
865.51,2.98,-0.13,1.15,0.50,0.82,0.21,0.02,-0.06,-0.41,0,407,551,0,80,0,162,673,449,366,378,1
865.62,3.75,0.06,1.29,0.50,0.82,0.20,0.03,-0.06,-0.41,0,407,551,0,80,0,163,672,448,367,377,1
865.72,3.65,0.03,1.28,0.50,0.81,0.20,0.03,-0.06,-0.41,1,407,551,0,80,0,162,672,449,367,377,1
865.83,3.54,-2.19,1.45,0.50,0.81,0.20,0.02,-0.06,-0.41,0,406,551,0,80,0,163,673,449,367,376,1
865.93,3.45,0.05,1.45,0.50,0.82,0.20,0.02,-0.06,-0.41,0,407,551,0,80,0,162,672,449,366,375,1
866.04,3.50,0.17,1.53,0.50,0.82,0.21,0.02,-0.06,-0.41,0,406,551,1,79,0,163,672,448,366,376,1
866.15,3.50,-0.18,1.13,0.50,0.81,0.21,0.03,-0.06,-0.41,0,407,552,0,80,0,163,672,449,366,375,1
866.25,3.75,0.18,1.92,0.50,0.81,0.20,0.02,-0.06,-0.41,0,408,552,0,80,0,163,672,448,367,378,1
866.36,3.31,-0.12,1.23,0.49,0.82,0.20,0.02,-0.06,-0.41,0,407,552,0,79,0,163,672,449,366,377,1
866.46,3.74,-0.04,1.39,0.50,0.82,0.21,0.02,-0.06,-0.41,0,406,551,0,78,0,162,672,448,366,378,1
866.57,3.17,0.33,1.17,0.50,0.82,0.21,0.02,-0.06,-0.41,0,405,552,0,80,0,163,673,448,366,377,1
866.67,3.35,0.25,1.15,0.49,0.82,0.21,0.03,-0.06,-0.40,0,406,552,0,77,0,163,672,448,365,376,1
866.78,3.66,-0.12,1.14,0.50,0.81,0.21,0.03,-0.06,-0.41,0,407,551,0,77,0,164,671,449,366,377,1
866.89,3.68,-0.04,1.22,0.50,0.82,0.21,0.03,-0.06,-0.40,0,405,552,0,77,0,163,672,448,366,376,1
866.99,3.60,0.06,1.28,0.49,0.82,0.22,0.02,-0.06,-0.41,0,407,552,0,78,0,163,672,448,366,377,1
867.10,3.42,-0.09,1.37,0.50,0.81,0.20,0.02,-0.06,-0.41,0,406,551,0,79,0,163,673,449,366,377,1
867.20,4.11,-0.17,1.41,0.50,0.82,0.20,0.03,-0.06,-0.41,0,406,552,0,79,0,163,673,448,366,376,1
867.31,3.66,0.31,1.15,0.50,0.82,0.20,0.02,-0.06,-0.40,0,406,551,0,78,0,163,673,448,367,377,1
867.41,3.28,0.36,1.29,0.50,0.82,0.21,0.02,-0.06,-0.40,0,406,551,1,77,0,164,672,448,366,377,1
867.52,3.67,-0.31,1.36,0.50,0.82,0.21,0.02,-0.06,-0.40,0,406,552,0,78,0,164,672,448,366,376,1
867.62,3.38,0.10,1.19,0.50,0.82,0.21,0.02,-0.06,-0.41,0,405,551,1,79,0,164,673,448,365,376,1
867.73,3.13,-0.18,1.26,0.50,0.82,0.20,0.02,-0.05,-0.41,0,403,552,0,78,0,163,672,448,365,375,1
867.83,3.22,0.41,1.30,0.50,0.81,0.21,0.02,-0.06,-0.40,0,407,551,0,80,0,164,672,449,365,377,1
867.94,3.06,-0.17,1.12,0.50,0.82,0.20,0.02,-0.06,-0.41,0,404,552,0,78,0,163,672,449,365,377,1
868.04,4.13,0.46,1.36,0.50,0.81,0.21,0.03,-0.06,-0.41,0,404,552,0,78,0,163,672,448,366,376,1
868.15,3.97,-0.04,1.11,0.50,0.81,0.21,0.02,-0.06,-0.40,0,406,551,0,78,0,163,672,448,365,376,1
868.26,3.39,0.36,1.37,0.50,0.82,0.20,0.03,-0.06,-0.41,0,406,551,0,78,0,163,672,448,365,376,1
868.36,3.49,0.18,1.45,0.50,0.82,0.20,0.02,-0.06,-0.40,0,405,551,1,79,0,164,671,448,364,376,1
868.47,3.56,0.07,1.22,0.50,0.82,0.20,0.03,-0.06,-0.41,0,404,551,0,77,0,163,671,448,365,375,1
868.57,3.90,0.25,1.20,0.50,0.82,0.20,0.02,-0.06,-0.40,0,402,551,0,77,0,163,671,448,364,374,1
868.68,3.50,0.42,1.11,0.50,0.82,0.21,0.02,-0.06,-0.41,0,405,551,0,77,0,163,672,448,365,376,1
868.78,2.94,0.07,1.15,0.50,0.82,0.20,0.02,-0.06,-0.40,0,404,552,0,77,0,163,673,448,365,376,1
868.89,3.89,-0.06,1.35,0.50,0.81,0.21,0.03,-0.06,-0.40,0,405,552,0,78,0,163,673,448,365,376,1
868.99,3.89,-0.08,1.04,0.50,0.81,0.21,0.03,-0.06,-0.40,0,405,551,0,77,1,163,672,448,365,376,1
869.10,2.84,0.02,1.49,0.50,0.82,0.20,0.02,-0.06,-0.40,0,403,551,0,78,0,163,671,449,364,376,1
869.21,3.81,0.25,1.35,0.50,0.82,0.21,0.02,-0.05,-0.41,0,401,551,0,77,1,163,671,447,365,375,1
869.31,3.55,0.13,1.50,0.48,0.82,0.21,0.03,-0.06,-0.40,0,400,550,0,77,0,162,671,448,364,375,1
869.42,3.28,0.31,0.82,0.50,0.81,0.20,0.03,-0.06,-0.41,0,402,551,0,78,0,163,671,447,364,375,1
869.52,3.88,0.00,1.44,0.50,0.82,0.20,0.02,-0.06,-0.41,0,403,551,0,77,0,163,673,447,364,376,1
869.63,3.33,0.29,1.19,0.50,0.82,0.20,0.02,-0.06,-0.41,0,401,551,0,78,0,162,671,447,364,377,1
869.73,3.34,0.41,1.05,0.49,0.82,0.20,0.02,-0.06,-0.41,0,401,550,0,78,0,163,671,448,364,376,1
869.84,3.95,-0.19,1.40,0.50,0.81,0.21,0.02,-0.06,-0.40,0,401,551,0,77,0,163,672,448,365,375,1
869.95,3.45,0.08,1.06,0.49,0.82,0.20,0.02,-0.06,-0.41,0,401,552,0,76,0,163,671,447,365,375,1
870.05,3.54,0.08,1.32,0.50,0.81,0.21,0.02,-0.06,-0.41,0,400,551,0,76,0,162,672,447,364,374,1
870.16,3.28,-0.04,1.15,0.50,0.82,0.21,0.02,-0.06,-0.41,0,400,550,0,76,0,162,672,447,364,374,1
870.26,3.33,0.20,1.22,0.50,0.81,0.21,0.03,-0.06,-0.41,1,403,552,0,77,0,162,671,447,364,375,1
870.37,3.21,-0.08,0.84,0.50,0.82,0.21,0.02,-0.06,-0.41,0,401,551,0,78,0,162,672,448,365,376,1
870.47,3.87,-1.04,1.63,0.51,0.83,0.21,0.03,-0.06,-0.41,0,402,552,0,76,0,163,672,448,365,376,1
870.58,-1.15,-10.80,6.50,0.54,0.82,0.24,0.02,-0.06,-0.41,0,410,551,0,76,0,175,668,456,388,380,1
870.68,-2.68,-35.91,30.62,0.54,0.95,0.21,0.00,-0.06,-0.41,0,417,549,0,76,0,221,670,466,405,380,1
870.79,28.86,-21.93,29.05,0.27,0.74,0.27,-0.04,-0.04,-0.42,0,415,546,0,75,0,229,670,465,411,390,1
870.90,-12.92,-15.41,-1.19,0.31,0.78,0.33,-0.06,-0.03,-0.42,0,410,545,0,82,0,232,674,463,412,429,1
871.00,-1.92,-35.64,41.00,0.54,1.38,0.31,-0.08,-0.04,-0.42,0,420,547,0,80,0,276,686,468,422,434,1
871.11,38.67,-36.23,101.49,0.10,1.03,0.23,-0.15,0.00,-0.41,0,409,541,0,45,0,300,686,458,427,434,1
871.21,-23.48,-32.60,74.87,-0.08,0.85,0.35,-0.21,0.04,-0.40,0,394,505,0,0,0,315,690,440,425,435,1
871.32,-114.66,-26.19,57.90,-0.26,1.07,0.22,-0.25,0.02,-0.36,0,380,497,0,13,0,327,699,436,424,430,1
871.42,-109.58,-9.88,56.94,-0.43,0.85,0.02,-0.28,-0.01,-0.30,0,355,487,0,48,0,320,692,433,413,406,1
871.53,-47.75,47.35,16.41,-0.46,0.85,-0.31,-0.30,-0.04,-0.24,0,327,477,0,0,0,284,676,433,397,367,1
871.63,113.34,92.16,12.34,-0.21,0.87,0.00,-0.27,-0.02,-0.30,0,309,470,0,87,0,302,675,431,365,365,1
871.74,-0.81,81.09,10.74,-0.16,0.82,0.34,-0.21,0.02,-0.38,0,291,458,0,146,0,382,687,450,306,370,1
871.84,-65.57,38.72,9.50,0.02,0.99,0.16,-0.16,-0.01,-0.39,0,274,455,0,179,0,384,703,456,279,394,1
871.95,-4.43,-14.33,20.03,-0.29,0.86,-0.12,-0.15,-0.04,-0.37,0,263,452,0,195,0,370,710,461,304,385,1
872.06,42.72,27.08,7.20,-0.30,0.89,0.07,-0.15,-0.02,-0.39,0,262,455,0,209,0,380,720,464,292,382,1
876.61,1.70,-2.78,0.25,-0.28,0.96,0.08,-0.18,0.00,-0.37,0,369,491,0,248,0,446,726,467,285,437,1
876.71,8.08,1.42,0.75,-0.39,0.90,0.06,-0.18,0.00,-0.37,0,352,491,0,227,0,451,727,468,297,440,1
876.82,-0.23,2.15,-5.93,-0.23,0.92,0.19,-0.18,-0.00,-0.38,0,349,491,0,227,0,457,728,468,287,451,1
876.92,-1.61,-6.81,-4.29,-0.27,1.01,0.06,-0.18,-0.00,-0.37,0,347,488,0,227,0,453,726,467,296,441,1
877.03,3.50,2.72,0.00,-0.32,0.92,0.09,-0.18,-0.00,-0.37,0,330,477,0,228,0,449,726,468,295,439,1
877.14,-3.24,3.48,-2.86,-0.25,0.98,0.12,-0.17,-0.00,-0.37,0,312,471,0,218,0,450,726,468,282,441,1
877.24,3.81,-9.16,1.16,-0.22,0.98,0.05,-0.17,-0.02,-0.37,0,305,467,0,194,0,446,726,467,284,438,1
877.35,-2.75,0.41,0.42,-0.28,0.99,0.03,-0.18,-0.01,-0.37,0,301,469,0,181,0,444,725,467,291,436,1
877.45,3.15,-1.31,4.15,-0.27,0.96,0.02,-0.18,-0.02,-0.36,0,302,468,0,166,0,443,726,467,291,438,1
877.56,6.85,4.01,0.89,-0.25,0.93,0.10,-0.17,-0.01,-0.37,0,305,472,0,187,0,447,728,468,291,442,1
877.66,-1.06,-1.44,1.77,-0.29,0.99,0.04,-0.17,-0.02,-0.37,0,304,472,0,194,0,448,726,467,291,441,1
877.77,3.32,3.87,1.87,-0.26,0.94,0.09,-0.17,-0.02,-0.37,0,304,472,0,196,0,447,726,468,290,443,1
877.88,2.60,1.53,3.41,-0.29,0.98,0.05,-0.17,-0.02,-0.37,0,299,472,0,198,0,448,726,467,289,443,1
877.98,0.57,-2.84,1.63,-0.24,0.95,0.11,-0.17,-0.02,-0.37,0,301,473,1,202,0,448,726,467,288,444,1
878.09,4.86,0.82,2.10,-0.30,0.96,0.03,-0.18,-0.02,-0.37,0,298,472,0,203,0,446,725,467,291,442,1
878.19,2.13,-1.09,-2.55,-0.24,0.96,0.09,-0.17,-0.02,-0.37,0,304,473,0,205,0,449,725,468,290,444,1
878.30,5.70,2.56,1.23,-0.27,0.98,0.05,-0.18,-0.02,-0.37,0,301,473,0,207,0,449,726,468,290,444,1
878.40,0.52,-2.34,-1.37,-0.24,0.98,0.07,-0.17,-0.02,-0.36,0,304,472,0,209,0,447,726,467,289,444,1
878.51,11.47,-5.70,6.70,-0.29,0.93,0.02,-0.18,-0.02,-0.37,0,307,471,0,208,0,447,725,467,293,441,1
878.61,3.63,5.11,-4.38,-0.29,0.94,0.06,-0.18,-0.01,-0.37,0,299,473,0,205,0,449,725,467,293,443,1
878.72,5.57,0.45,1.91,-0.23,1.02,0.09,-0.17,-0.01,-0.38,0,302,478,0,217,0,450,725,467,288,444,1
878.82,1.87,6.68,7.03,-0.30,0.98,0.09,-0.17,-0.02,-0.37,0,299,485,0,221,0,450,728,467,289,444,1
878.93,6.50,-1.72,8.76,-0.27,0.92,0.11,-0.17,-0.01,-0.37,0,302,488,0,221,0,450,726,468,288,445,1
879.04,4.73,-1.50,3.57,-0.29,0.89,0.08,-0.18,-0.01,-0.38,0,307,492,0,229,0,450,727,468,290,444,1
879.14,8.19,5.90,0.96,-0.30,0.97,0.05,-0.17,-0.00,-0.37,0,316,497,0,234,0,446,726,468,288,444,1
879.25,12.48,4.32,-0.33,-0.28,0.93,0.16,-0.17,-0.00,-0.39,0,317,497,0,241,0,449,726,468,282,446,1
879.35,-1.23,0.52,-3.27,-0.27,1.00,0.15,-0.17,0.00,-0.39,0,318,497,0,239,0,446,726,468,278,447,1
879.46,1.78,-1.78,3.39,-0.26,0.97,0.11,-0.17,-0.00,-0.37,0,319,497,0,238,0,440,727,468,273,443,1
879.56,4.86,-0.38,3.61,-0.30,0.93,0.10,-0.16,-0.00,-0.38,0,317,497,0,238,0,440,726,468,276,442,1
879.67,0.94,-1.15,-0.63,-0.27,0.95,0.10,-0.18,-0.00,-0.38,0,322,497,0,238,0,442,727,468,277,444,1
879.77,6.20,-1.01,2.83,-0.27,0.95,0.10,-0.18,0.00,-0.38,0,323,497,0,238,0,440,727,468,277,443,1
879.88,4.86,-0.08,2.38,-0.28,0.97,0.07,-0.18,-0.00,-0.37,0,325,496,0,239,0,442,726,468,278,443,1
879.98,2.63,1.86,2.38,-0.28,0.95,0.09,-0.18,0.00,-0.37,0,325,497,0,240,0,442,727,467,280,443,1
