time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,F1,F2,B1,B2,S1,S2,S3,S4,S5,class
1330.23,4.04,0.11,1.33,0.06,-0.68,0.71,-0.26,0.62,-0.17,0,0,327,659,111,235,408,224,0,2
1330.33,3.85,0.40,1.18,0.06,-0.68,0.70,-0.26,0.62,-0.17,0,0,329,658,112,236,408,224,0,2
1330.44,3.46,0.09,1.35,0.06,-0.68,0.71,-0.25,0.62,-0.18,0,0,329,659,111,235,408,224,0,2
1330.54,3.48,0.20,1.44,0.06,-0.68,0.71,-0.25,0.62,-0.18,1,0,329,658,113,236,409,224,0,2
1330.65,3.26,-0.25,1.14,0.07,-0.68,0.71,-0.25,0.62,-0.17,0,0,328,659,111,236,409,224,0,2
1330.76,2.72,-0.30,0.97,0.06,-0.67,0.71,-0.25,0.62,-0.17,0,0,327,658,110,232,407,222,0,2
1330.86,2.66,-0.12,1.00,0.06,-0.69,0.70,-0.25,0.62,-0.17,0,0,326,657,111,231,407,221,0,2
1330.97,3.86,-0.22,1.01,0.06,-0.69,0.71,-0.25,0.62,-0.17,0,0,326,656,110,230,406,220,0,2
1331.07,3.74,-0.11,0.97,0.06,-0.67,0.71,-0.25,0.63,-0.18,0,0,325,654,112,229,404,219,0,2
1331.18,3.67,-1.29,0.14,0.08,-0.70,0.71,-0.25,0.62,-0.17,0,0,324,654,112,228,405,216,0,2
1331.28,15.63,-13.77,-20.04,0.09,-0.78,0.71,-0.25,0.62,-0.17,0,0,328,740,111,221,433,221,0,2
1331.39,169.67,83.12,-77.53,0.18,-1.22,0.67,-0.29,0.62,-0.12,1,0,330,742,103,228,427,211,0,2
1331.49,44.15,-12.70,-100.81,-0.18,-1.11,0.65,-0.36,0.57,-0.02,0,0,358,661,99,254,411,197,0,2
1331.60,57.19,-47.92,-103.09,-0.27,-0.62,0.40,-0.41,0.50,0.03,0,0,379,646,94,244,406,141,0,2
1331.70,-20.27,-46.75,-76.33,-0.45,-0.88,0.25,-0.43,0.43,0.08,0,0,394,656,154,232,413,119,0,2
1331.81,19.18,-72.84,-74.83,-0.61,-0.91,0.35,-0.44,0.39,0.11,0,0,553,663,261,247,426,49,0,2
1331.92,-67.65,-71.67,-50.89,-0.54,-0.71,-0.02,-0.42,0.34,0.16,0,0,552,642,290,221,418,46,0,2
1332.02,-57.22,-5.99,-33.18,-0.75,-0.64,0.23,-0.41,0.36,0.16,0,0,553,668,312,206,414,42,0,2
1332.13,-24.07,-51.76,-35.83,-0.78,-0.49,0.41,-0.40,0.36,0.19,0,0,569,659,324,204,419,0,0,2
1332.23,-60.75,-95.81,35.66,-0.78,-0.29,0.07,-0.37,0.38,0.22,0,0,559,592,287,231,430,0,0,2
1332.34,-82.41,-113.05,50.77,-0.81,-0.63,0.00,-0.31,0.44,0.25,0,0,534,551,246,260,429,0,0,2
1332.44,-125.65,-107.48,48.42,-0.68,-0.73,-0.09,-0.23,0.51,0.26,0,0,480,425,190,275,435,0,0,2
1332.55,-162.64,-81.17,73.48,-0.54,-0.87,-0.14,-0.13,0.60,0.17,1,0,388,411,100,294,435,0,0,2
1332.65,-149.35,-35.38,78.68,-0.46,-0.79,0.06,-0.07,0.66,0.04,0,0,292,431,70,301,431,0,0,2
1332.76,-118.57,-16.49,78.59,-0.41,-0.73,0.27,-0.00,0.67,-0.07,0,0,291,461,103,293,436,0,0,2
1332.86,-40.59,-26.99,105.77,-0.24,-0.72,0.44,0.06,0.65,-0.15,0,0,411,488,112,307,460,40,0,2
1332.97,7.53,-13.30,53.16,-0.40,-1.01,0.44,0.13,0.62,-0.16,0,1,450,333,94,315,478,0,0,2
1333.08,15.66,-9.06,29.25,-0.26,-0.92,0.44,0.15,0.61,-0.16,0,0,433,78,79,297,478,1,0,2
1333.18,7.20,-2.60,18.15,-0.28,-0.90,0.32,0.17,0.60,-0.15,0,0,417,17,71,267,479,0,0,2
1333.29,19.84,-0.04,0.23,-0.21,-0.91,0.35,0.18,0.60,-0.15,0,0,373,0,82,272,477,0,0,2
1333.39,9.28,-1.21,2.00,-0.25,-0.95,0.35,0.18,0.60,-0.15,0,0,369,0,95,287,479,0,0,2
1333.50,6.87,7.11,-6.85,-0.20,-0.97,0.39,0.17,0.61,-0.15,0,0,369,0,106,306,480,0,0,2
1333.60,-17.65,6.67,-3.44,-0.22,-0.90,0.41,0.17,0.61,-0.16,0,0,429,0,120,314,482,5,0,2
1333.71,-5.30,3.70,-0.84,-0.23,-0.83,0.38,0.17,0.60,-0.17,0,0,468,8,130,322,486,54,0,2
1333.81,-2.16,0.79,3.84,-0.25,-0.90,0.45,0.17,0.60,-0.17,0,0,497,14,144,327,488,60,0,2
1333.92,-15.23,-3.18,0.56,-0.24,-0.88,0.48,0.17,0.60,-0.17,0,0,499,13,151,304,488,59,0,2
1334.03,-11.80,-6.38,5.83,-0.20,-0.85,0.45,0.17,0.60,-0.20,0,0,485,16,101,293,482,0,0,2
1334.13,4.35,-5.88,12.69,-0.24,-0.84,0.48,0.18,0.59,-0.19,0,0,474,0,30,318,474,0,0,2
1334.24,7.77,1.01,-4.82,-0.33,-0.81,0.45,0.18,0.59,-0.19,0,0,481,0,0,326,468,0,0,2
1334.34,22.37,15.62,-28.54,-0.24,-0.76,0.53,0.17,0.60,-0.18,0,0,493,0,11,325,468,0,0,2
1334.45,46.59,12.18,-11.31,-0.19,-0.75,0.50,0.15,0.61,-0.15,0,0,510,0,88,329,473,0,0,2
1334.55,24.35,0.88,4.02,-0.26,-0.90,0.43,0.16,0.62,-0.12,0,0,463,9,166,287,484,56,0,2
1334.66,2.65,-1.77,6.06,-0.27,-0.92,0.40,0.15,0.62,-0.11,0,0,395,18,189,271,480,62,0,2
1334.76,-11.80,-6.44,10.04,-0.28,-0.98,0.37,0.16,0.61,-0.12,0,0,371,17,172,219,472,54,0,2
1334.87,-5.51,-4.65,-2.37,-0.27,-0.89,0.34,0.16,0.62,-0.14,0,0,370,16,160,184,466,46,0,2
1334.97,-3.94,-1.25,-2.65,-0.24,-0.81,0.37,0.15,0.61,-0.15,0,0,372,6,144,182,467,45,0,2
1335.08,11.13,-4.00,11.34,-0.23,-0.85,0.43,0.16,0.62,-0.14,0,0,392,14,155,188,466,52,0,2
1335.19,14.88,-12.04,16.34,-0.28,-0.95,0.45,0.17,0.61,-0.14,0,0,405,17,169,228,469,55,0,2
1335.29,7.18,-12.66,3.71,-0.29,-0.95,0.34,0.17,0.61,-0.13,0,0,383,18,172,241,468,57,0,2
1335.40,-1.73,-4.54,-4.87,-0.25,-0.93,0.27,0.17,0.61,-0.13,0,0,331,15,170,224,466,56,0,2
1335.50,4.91,1.24,-3.81,-0.28,-0.94,0.30,0.16,0.61,-0.13,0,0,263,1,169,221,458,55,0,2
1335.61,0.25,5.48,-12.76,-0.27,-0.87,0.36,0.15,0.62,-0.14,0,0,245,0,180,224,456,60,0,2
1335.71,3.83,-0.65,-0.04,-0.25,-0.83,0.37,0.15,0.62,-0.14,0,0,230,0,181,225,451,63,0,2
1335.82,12.33,-1.93,10.59,-0.26,-0.88,0.37,0.15,0.62,-0.14,0,0,224,1,185,225,445,67,0,2
1335.92,14.88,0.44,1.80,-0.28,-0.93,0.35,0.16,0.62,-0.13,0,0,231,0,194,230,448,70,0,2
1336.03,11.53,-0.68,-0.19,-0.26,-0.95,0.35,0.15,0.62,-0.12,0,0,246,0,200,239,449,72,0,2
1336.14,-0.57,2.95,-3.32,-0.26,-0.90,0.30,0.15,0.62,-0.11,0,0,264,0,202,247,452,78,0,2
1336.24,-3.27,4.38,2.18,-0.26,-0.87,0.33,0.15,0.62,-0.12,0,0,276,0,203,253,452,79,0,2
1336.35,0.33,1.56,6.22,-0.28,-0.90,0.34,0.16,0.62,-0.12,0,0,286,0,205,258,454,80,0,2
1336.45,-0.37,1.49,4.22,-0.26,-0.92,0.33,0.16,0.62,-0.12,0,0,293,0,207,259,457,81,0,2
1336.56,5.15,1.57,4.66,-0.27,-0.90,0.33,0.16,0.62,-0.13,0,0,298,0,212,261,456,82,0,2
1336.66,7.38,3.52,0.68,-0.27,-0.91,0.33,0.17,0.61,-0.12,0,0,305,0,219,261,455,83,0,2
1336.77,11.81,5.26,2.83,-0.24,-0.93,0.35,0.17,0.62,-0.12,0,0,306,0,228,263,453,82,0,2
1336.87,6.07,1.36,-3.71,-0.25,-0.94,0.34,0.17,0.62,-0.11,0,0,297,0,228,257,450,81,0,2
1336.98,3.05,0.33,1.21,-0.24,-0.88,0.29,0.16,0.62,-0.11,0,0,294,0,220,260,446,78,1,2
1337.08,8.49,3.51,4.84,-0.25,-0.90,0.34,0.16,0.62,-0.11,0,0,294,0,220,260,443,79,0,2
1337.19,8.69,2.35,2.80,-0.26,-0.91,0.35,0.16,0.62,-0.10,0,0,299,0,222,267,443,78,0,2
1337.30,-24.29,-10.94,0.98,-0.24,-1.00,0.36,0.17,0.61,-0.11,0,0,301,0,209,271,444,77,0,2
1337.40,10.00,2.16,3.71,-0.24,-0.90,0.35,0.16,0.62,-0.11,0,0,307,0,209,275,445,77,0,2
1337.51,4.20,-1.59,0.00,-0.24,-0.92,0.36,0.16,0.62,-0.11,0,0,315,0,210,276,445,77,0,2
1337.61,-1.31,-2.56,2.40,-0.24,-0.89,0.32,0.16,0.62,-0.12,0,0,305,0,208,272,446,77,0,2
1337.72,6.26,-0.09,3.59,-0.25,-0.92,0.33,0.17,0.61,-0.12,0,0,301,0,204,268,446,77,0,2
1337.82,4.27,0.91,-0.11,-0.24,-0.91,0.32,0.17,0.62,-0.12,0,0,294,0,202,254,444,76,0,2
1337.93,5.17,0.46,-0.07,-0.23,-0.93,0.34,0.17,0.62,-0.12,0,0,298,0,201,253,445,77,0,2
