time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
1257.40,3.78,0.24,0.22,-0.34,0.94,0.01,-0.23,-0.02,-0.35,0,411,401,0,335,552,538,844,151,188,735,2
1257.51,3.05,0.04,0.43,-0.32,0.96,0.01,-0.22,-0.02,-0.34,0,410,401,0,340,552,539,843,151,189,734,2
1257.61,2.10,-1.11,2.48,-0.33,0.96,-0.00,-0.22,-0.03,-0.35,0,410,404,0,340,551,538,844,151,189,734,2
1257.72,0.31,0.90,1.68,-0.33,0.93,0.00,-0.22,-0.02,-0.35,0,411,403,0,336,552,539,843,150,191,734,2
1257.82,3.61,0.70,0.43,-0.34,0.93,0.00,-0.22,-0.02,-0.34,1,411,403,0,336,552,538,843,151,190,734,2
1257.93,6.86,0.38,0.51,-0.34,0.95,0.00,-0.22,-0.02,-0.34,0,410,403,0,337,552,538,845,151,190,734,2
1258.03,4.86,0.50,1.53,-0.34,0.95,0.02,-0.23,-0.02,-0.34,0,411,401,0,337,550,540,843,150,190,734,2
1258.14,2.59,2.32,5.56,-0.31,0.96,-0.02,-0.22,-0.02,-0.35,0,408,400,0,337,548,541,844,150,192,733,2
1258.24,-34.40,-41.69,57.17,-0.04,0.77,0.41,-0.24,-0.00,-0.35,0,397,401,0,329,498,573,843,153,215,745,2
1258.35,-25.01,-82.24,48.12,-0.35,0.94,-0.39,-0.32,-0.03,-0.24,0,393,408,0,323,484,634,826,154,257,742,2
1258.45,43.78,-61.23,52.04,-0.35,0.84,-0.38,-0.37,0.00,-0.21,1,391,422,0,306,464,691,807,154,285,746,2
1258.56,76.01,-40.12,15.88,-0.48,0.87,-0.21,-0.41,0.05,-0.20,0,373,444,0,201,470,760,806,155,305,755,2
1258.67,95.17,8.34,-4.28,-0.62,0.72,-0.21,-0.42,0.08,-0.20,0,392,455,0,96,466,785,833,176,317,771,2
1258.77,121.46,120.47,-11.36,-0.60,0.78,-0.11,-0.40,0.11,-0.26,0,426,464,0,94,433,709,843,170,316,774,2
1258.88,112.41,158.19,15.79,-0.40,0.52,0.65,-0.31,0.18,-0.39,0,482,495,0,83,314,648,844,167,311,776,2
1258.98,-53.27,65.83,-91.26,-0.20,0.71,0.61,-0.23,0.17,-0.44,0,472,506,0,0,337,518,843,173,268,767,2
1259.09,-85.28,34.16,-102.77,0.04,0.82,0.40,-0.16,0.06,-0.44,0,469,526,0,0,340,478,842,162,256,754,2
1259.19,-54.82,24.43,-80.20,0.20,1.05,0.19,-0.09,-0.01,-0.42,0,482,545,0,0,280,468,842,161,253,748,2
1259.30,-43.11,21.12,-69.38,0.41,1.02,0.24,-0.04,-0.05,-0.42,0,487,549,0,0,279,464,842,159,249,747,2
1259.41,24.10,9.83,-18.64,0.46,1.47,0.18,0.00,-0.07,-0.40,0,480,554,1,0,272,457,842,158,246,744,2
1259.51,52.32,17.72,-37.47,0.49,0.66,0.23,0.02,-0.05,-0.42,0,458,551,23,0,247,454,833,154,239,742,2
