time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,F1,F2,F3,F4,B1,B2,S1,S2,S3,S4,class
221.00,6.27,-1.00,1.82,0.34,0.07,0.90,-0.08,0.46,-0.45,0,0,0,0,0,0,608,438,92,170,0
221.11,2.89,0.71,0.60,0.32,0.06,0.91,-0.08,0.46,-0.46,0,0,0,0,0,0,606,437,92,171,0
221.21,5.23,1.06,-0.74,0.33,0.06,0.90,-0.09,0.45,-0.46,0,0,0,0,0,0,608,437,96,171,0
221.32,4.34,0.04,-0.46,0.35,0.07,0.89,-0.09,0.46,-0.46,0,0,0,0,0,0,608,445,110,171,0
221.42,5.23,0.02,0.37,0.34,0.05,0.91,-0.08,0.46,-0.46,0,0,0,0,0,0,611,446,111,171,0
221.53,3.67,0.43,-1.10,0.33,0.05,0.90,-0.09,0.46,-0.46,0,0,0,0,0,0,615,440,109,171,0
221.63,6.62,-1.88,3.40,0.33,0.03,0.91,-0.08,0.46,-0.46,0,0,0,0,0,0,615,439,107,171,0
221.74,4.13,-0.67,2.07,0.33,0.05,0.90,-0.09,0.47,-0.46,0,0,0,0,0,0,615,436,97,171,0
221.85,5.57,-0.31,2.11,0.33,0.05,0.90,-0.08,0.47,-0.44,0,0,1,0,0,0,612,434,96,171,0
221.95,-0.24,1.64,0.31,0.31,0.05,0.89,-0.08,0.47,-0.45,0,0,0,0,0,0,613,434,90,172,0
222.06,-1.23,4.17,-1.78,0.35,0.08,0.88,-0.08,0.46,-0.46,0,0,0,0,0,0,615,441,95,172,0
222.16,5.23,-1.22,7.56,0.37,0.04,0.87,-0.09,0.46,-0.46,0,0,0,0,0,0,618,439,96,171,0
222.27,4.20,-0.09,-0.54,0.26,0.05,0.94,-0.08,0.46,-0.46,0,0,0,0,0,0,620,433,82,170,0
222.37,-3.82,4.18,-14.23,0.38,0.05,0.90,-0.08,0.46,-0.46,0,0,0,0,0,0,625,441,88,171,0
222.48,-4.63,5.59,-6.97,0.40,0.08,0.88,-0.09,0.45,-0.47,0,0,0,0,0,0,626,433,81,171,0
222.58,0.38,1.84,1.19,0.35,0.08,0.85,-0.09,0.44,-0.47,0,0,0,0,0,0,618,423,42,169,0
222.69,8.34,-2.98,16.78,0.41,0.11,0.87,-0.08,0.44,-0.47,0,0,0,0,0,0,616,425,40,169,0
222.79,30.34,-14.85,82.93,0.54,0.13,0.95,-0.07,0.45,-0.46,0,0,0,0,0,0,633,458,171,170,0
222.90,32.78,25.23,64.11,0.29,0.06,0.94,-0.04,0.48,-0.44,0,0,0,0,0,0,622,465,196,170,0
223.01,17.79,57.14,45.93,0.51,0.14,0.66,0.02,0.49,-0.43,1,0,0,0,0,0,617,457,159,172,0
223.11,121.39,59.96,40.09,0.53,-0.26,0.71,0.09,0.53,-0.37,0,0,0,0,0,0,617,450,132,171,0
223.22,-179.79,59.86,-91.49,1.02,0.37,0.65,0.14,0.53,-0.37,0,0,0,0,0,0,615,464,147,171,0
223.32,-176.37,13.53,6.22,0.38,0.26,0.53,0.13,0.46,-0.43,0,0,0,0,0,0,619,468,165,171,0
