time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,F1,F2,F3,F4,B1,B2,S1,S2,S3,S4,class
1509.63,1.91,0.99,0.70,0.45,-0.28,0.81,0.07,0.62,-0.29,0,0,0,0,0,0,373,344,388,177,0
1509.74,2.07,2.23,-1.44,0.43,-0.28,0.81,0.07,0.62,-0.29,0,0,0,0,0,0,371,342,388,176,0
1509.84,-2.88,12.36,-9.86,0.51,-0.27,0.85,0.07,0.62,-0.29,0,0,0,0,0,1,364,333,378,174,0
1509.95,1.00,-0.82,3.19,0.50,-0.25,0.76,0.06,0.61,-0.30,0,0,0,0,0,0,362,333,383,174,0
1510.05,3.91,-4.66,1.82,0.46,-0.26,0.82,0.07,0.61,-0.30,0,0,0,0,0,0,362,329,381,172,0
1510.16,-3.17,-0.87,-0.17,0.43,-0.24,0.80,0.06,0.61,-0.30,0,0,0,0,0,0,362,327,382,171,0
1510.26,-2.25,2.22,-0.25,0.48,-0.21,0.82,0.06,0.61,-0.31,0,0,0,0,0,0,361,326,385,172,0
1510.37,-5.59,1.93,-0.67,0.47,-0.21,0.81,0.06,0.61,-0.31,0,0,0,0,0,0,360,325,385,172,0
1510.47,5.31,-0.26,2.21,0.46,-0.23,0.82,0.06,0.61,-0.31,0,0,0,0,0,0,359,326,387,172,0
1510.58,3.72,0.15,1.99,0.46,-0.23,0.80,0.06,0.61,-0.32,0,0,0,0,0,0,359,328,386,174,0
1510.69,3.00,0.44,1.69,0.46,-0.23,0.82,0.07,0.61,-0.31,0,0,0,0,0,0,359,328,388,174,0
1510.79,4.09,-0.23,2.61,0.46,-0.23,0.81,0.06,0.61,-0.31,0,0,1,0,0,0,360,327,387,174,0
1510.90,3.57,-0.83,2.32,0.46,-0.23,0.81,0.06,0.61,-0.31,0,0,0,0,0,0,362,328,389,175,0
1511.00,4.34,0.35,1.79,0.46,-0.22,0.81,0.06,0.61,-0.31,0,0,0,0,0,0,361,329,388,176,0
1511.11,5.32,0.18,2.72,0.46,-0.22,0.81,0.06,0.61,-0.30,0,0,0,0,0,0,361,327,387,174,0
1511.21,3.26,-0.08,1.86,0.46,-0.23,0.82,0.06,0.61,-0.31,0,0,0,0,0,0,361,327,387,174,0
1511.32,3.83,-0.03,1.89,0.46,-0.23,0.82,0.06,0.61,-0.31,0,0,0,0,0,0,361,320,387,174,0
1511.42,3.30,-0.17,1.35,0.46,-0.24,0.81,0.07,0.61,-0.31,0,0,0,0,0,0,361,317,388,174,0
1511.53,0.02,2.04,1.55,0.44,-0.24,0.83,0.06,0.61,-0.31,0,0,0,0,0,0,362,317,388,175,0
1511.64,-5.02,5.62,-0.86,0.48,-0.23,0.83,0.07,0.60,-0.31,0,0,0,0,1,0,365,328,391,178,0
1511.74,0.55,0.23,3.63,0.49,-0.22,0.79,0.07,0.60,-0.32,0,0,0,0,0,0,365,333,398,178,0
1511.85,10.42,-3.24,8.53,0.46,-0.17,0.78,0.07,0.60,-0.32,0,0,0,0,0,0,365,336,398,180,0
1511.95,9.43,0.15,4.87,0.47,-0.22,0.82,0.07,0.61,-0.32,0,0,0,0,0,0,366,335,396,178,0
1512.06,2.92,-3.18,2.74,0.49,-0.24,0.80,0.07,0.60,-0.32,0,0,0,0,0,0,363,332,394,180,0
1512.16,10.11,-5.68,4.83,0.45,-0.21,0.83,0.07,0.61,-0.31,0,0,0,0,0,0,362,328,388,175,0
1512.27,4.18,0.33,-0.47,0.46,-0.22,0.82,0.07,0.61,-0.30,0,0,0,0,0,0,362,328,386,175,0
1512.37,2.57,1.12,0.44,0.47,-0.23,0.81,0.07,0.61,-0.31,0,0,0,0,0,1,363,328,389,175,0
1512.48,3.75,-0.85,1.38,0.46,-0.24,0.81,0.08,0.61,-0.30,0,0,0,0,0,0,364,329,388,176,0
1512.58,3.86,-0.52,1.89,0.47,-0.23,0.82,0.07,0.60,-0.30,1,0,0,0,0,0,364,330,388,175,0
1512.69,2.88,0.47,1.72,0.46,-0.22,0.81,0.07,0.60,-0.30,0,0,0,0,0,0,364,330,389,175,0
1512.80,1.32,1.58,0.69,0.47,-0.23,0.81,0.07,0.61,-0.31,0,0,0,0,0,0,364,330,388,176,0
1512.90,2.85,-0.22,1.03,0.48,-0.22,0.81,0.07,0.61,-0.31,0,0,0,0,0,0,365,330,387,175,0
1513.01,3.08,-0.65,2.12,0.47,-0.22,0.82,0.07,0.61,-0.31,0,1,0,0,0,0,363,329,388,175,0
1513.11,4.41,1.49,2.28,0.44,-0.22,0.84,0.07,0.61,-0.31,0,0,0,0,0,0,362,329,386,174,0
1513.22,-0.20,1.11,0.20,0.47,-0.24,0.82,0.08,0.61,-0.31,0,0,0,0,0,0,363,330,389,176,0
1513.32,3.69,-1.23,1.54,0.47,-0.22,0.82,0.07,0.61,-0.31,0,0,0,0,0,0,362,334,389,178,0
1513.43,2.87,-0.62,-2.44,0.47,-0.21,0.80,0.07,0.61,-0.31,0,0,0,0,0,0,364,336,391,179,0
1513.54,7.23,-1.79,-2.12,0.44,-0.21,0.82,0.07,0.61,-0.31,0,0,0,0,0,0,365,337,390,182,0
1513.64,10.11,-2.51,1.78,0.47,-0.25,0.84,0.06,0.62,-0.31,0,0,0,0,0,0,365,340,388,184,0
1513.75,5.33,-1.57,1.64,0.48,-0.23,0.83,0.06,0.62,-0.31,0,0,0,0,0,0,365,343,386,185,0
