time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,F1,F2,B1,B2,S1,S2,S3,S4,S5,class
1266.93,4.13,0.24,0.97,-0.40,-0.81,0.41,-0.21,0.60,0.09,0,0,180,397,324,607,505,352,0,0
1267.04,4.20,0.42,1.27,-0.39,-0.81,0.42,-0.21,0.60,0.09,0,0,181,396,324,608,506,353,0,0
1267.14,3.84,0.62,1.66,-0.40,-0.82,0.42,-0.21,0.60,0.10,0,0,181,393,322,606,505,351,0,0
1267.25,5.49,0.44,1.61,-0.39,-0.83,0.44,-0.20,0.60,0.10,0,0,181,392,323,607,504,352,0,0
1267.35,3.63,0.71,0.54,-0.38,-0.82,0.44,-0.21,0.61,0.10,0,0,183,391,323,609,505,354,0,0
1267.46,4.45,0.37,1.15,-0.39,-0.82,0.42,-0.21,0.60,0.10,0,0,184,391,322,609,505,356,0,0
1267.56,6.55,1.51,0.74,-0.38,-0.82,0.40,-0.20,0.60,0.10,0,0,187,387,319,603,505,357,0,0
1267.67,6.02,6.34,-0.59,-0.41,-0.85,0.43,-0.21,0.60,0.11,0,0,185,375,321,609,505,357,0,0
1267.77,4.24,-2.03,-0.98,-0.38,-0.81,0.42,-0.21,0.60,0.10,0,0,184,379,320,608,504,356,0,0
1267.88,7.68,0.02,-13.80,-0.36,-0.84,0.34,-0.22,0.60,0.11,0,0,200,365,315,598,503,355,0,0
1267.98,-43.31,-12.49,-116.35,-0.04,-0.81,0.21,-0.25,0.58,0.10,0,1,250,379,309,549,510,308,0,0
1268.09,81.46,16.96,-79.42,-0.41,-0.57,0.30,-0.34,0.52,0.09,0,0,282,458,326,544,542,258,0,0
1268.20,70.21,40.78,-7.18,-0.59,-0.49,0.36,-0.38,0.47,0.12,0,0,312,626,338,490,544,190,0,0
1268.30,30.23,50.14,86.13,-0.65,-0.62,0.44,-0.39,0.47,0.10,0,0,331,675,283,444,508,130,0,0
1268.41,-75.45,140.52,50.93,-0.43,-1.02,0.71,-0.37,0.53,0.05,0,0,315,699,226,296,472,123,0,0
1268.51,-10.29,113.01,34.04,-0.14,-0.91,0.87,-0.33,0.59,-0.09,0,0,298,676,138,231,433,131,0,0
1268.62,-15.85,140.91,48.33,-0.03,-1.08,0.79,-0.29,0.61,-0.15,1,1,287,622,106,205,416,166,0,0
1268.72,-15.48,-26.33,35.01,0.22,-0.44,0.86,-0.28,0.60,-0.19,0,0,297,559,123,215,421,216,0,0
1268.83,-16.50,-10.17,15.09,0.25,-0.80,0.76,-0.27,0.61,-0.18,0,0,299,568,124,216,413,231,0,0
1268.94,6.62,0.63,9.20,0.11,-0.83,0.82,-0.26,0.61,-0.20,1,0,308,596,128,242,416,239,0,0
1269.04,1.44,-10.11,8.53,0.08,-0.72,0.69,-0.26,0.62,-0.20,0,0,315,608,151,279,419,246,0,0
1269.15,11.41,-4.75,8.27,0.07,-0.71,0.72,-0.26,0.62,-0.18,0,0,316,616,144,277,424,248,0,0
1269.25,5.06,-6.79,4.53,0.08,-0.68,0.71,-0.25,0.62,-0.19,0,0,316,608,129,260,423,240,0,0
1269.36,-1.23,-4.34,4.69,0.06,-0.68,0.72,-0.25,0.63,-0.18,0,0,318,619,131,264,412,241,0,0
1269.46,2.02,1.68,0.92,0.08,-0.68,0.74,-0.25,0.62,-0.18,0,0,322,625,146,283,412,247,0,0
1269.57,6.14,3.78,5.94,0.05,-0.66,0.71,-0.25,0.62,-0.18,0,0,326,629,196,295,417,251,0,0
1269.67,9.38,4.19,2.09,0.10,-0.68,0.69,-0.25,0.62,-0.19,0,0,328,628,167,288,415,249,0,0
1269.78,-1.27,-4.13,-1.31,0.08,-0.68,0.72,-0.25,0.63,-0.18,0,0,324,620,147,270,412,241,0,0
1269.88,6.31,1.00,-0.84,0.07,-0.67,0.73,-0.25,0.62,-0.18,0,0,322,609,143,262,408,237,0,0
1269.99,5.46,0.37,-1.09,0.07,-0.68,0.74,-0.25,0.62,-0.18,0,0,320,606,130,254,409,235,0,0
1270.09,14.00,2.71,2.35,0.16,-0.75,0.72,-0.25,0.63,-0.18,0,0,316,595,121,239,410,235,0,0
1270.20,4.44,-7.79,3.27,0.08,-0.73,0.69,-0.25,0.63,-0.17,0,0,315,596,119,237,410,235,0,0
1270.31,-0.28,-3.19,1.45,0.05,-0.66,0.69,-0.25,0.63,-0.17,0,0,314,585,117,229,408,230,0,0
1270.41,11.11,3.78,3.21,0.08,-0.70,0.69,-0.25,0.63,-0.16,0,0,308,574,79,229,403,215,0,0
1270.52,9.29,-3.54,2.80,0.10,-0.72,0.67,-0.25,0.63,-0.16,0,0,306,573,63,228,403,210,0,0
1270.62,2.19,-9.29,2.01,0.08,-0.69,0.68,-0.25,0.63,-0.16,0,0,305,579,59,229,405,212,0,0
1270.73,26.90,-16.20,21.66,0.05,-0.47,0.75,-0.25,0.64,-0.15,0,0,307,580,55,226,415,220,0,0
1270.83,38.40,1.12,15.60,0.08,-0.88,0.61,-0.24,0.65,-0.11,0,0,308,590,61,221,420,230,0,0
1270.94,1.26,3.12,0.26,0.12,-0.81,0.58,-0.23,0.65,-0.10,1,0,310,595,72,223,422,234,0,0
1271.05,8.00,1.29,1.84,0.11,-0.78,0.59,-0.23,0.65,-0.10,0,0,312,600,90,228,422,236,0,0
1271.15,-0.29,-0.39,2.00,0.08,-0.79,0.58,-0.23,0.66,-0.09,0,0,313,594,103,228,422,238,0,0
1271.26,1.83,7.49,0.56,0.09,-0.81,0.60,-0.23,0.66,-0.10,0,0,313,568,108,225,420,236,0,0
1271.36,19.42,31.23,8.82,0.04,-0.81,0.57,-0.22,0.65,-0.11,0,0,314,647,93,229,440,227,0,0
1271.47,122.65,-51.40,-135.82,0.34,-1.45,1.03,-0.26,0.64,-0.03,0,0,351,673,135,255,464,241,0,0
1271.57,9.84,-98.06,-162.18,-0.13,-0.99,0.53,-0.34,0.57,0.02,0,0,372,660,188,251,463,244,0,0
1271.68,-104.01,-91.19,-132.15,-0.17,-0.46,-0.05,-0.39,0.47,0.08,0,0,327,609,192,210,437,224,0,0
1271.78,-17.47,15.05,0.70,-0.11,-0.48,-0.07,-0.41,0.45,0.08,0,0,302,609,197,201,430,212,0,0
1271.89,42.30,30.57,70.56,-0.44,-0.61,0.18,-0.41,0.46,0.08,0,0,310,650,198,243,441,227,0,0
1271.99,-94.36,94.19,109.87,-0.35,-0.30,-0.02,-0.39,0.52,0.03,1,0,297,670,166,216,441,243,0,0
1272.10,-5.99,103.50,151.40,-0.00,-0.82,1.05,-0.32,0.60,-0.10,0,0,304,703,119,263,466,244,0,0
1272.20,79.32,33.41,2.09,-0.11,-1.01,0.50,-0.25,0.63,-0.16,0,1,309,682,119,248,464,262,0,0
1272.31,21.73,7.95,16.11,0.19,-0.91,0.53,-0.24,0.65,-0.12,0,0,309,652,142,255,444,268,0,0
1272.42,-7.11,-0.42,-5.17,0.17,-0.62,0.64,-0.23,0.64,-0.14,0,0,310,626,147,276,441,256,0,0
1272.52,9.76,-2.78,1.89,0.07,-0.79,0.60,-0.23,0.65,-0.13,0,0,310,600,131,243,426,242,0,0
1272.63,8.21,1.42,1.99,0.13,-0.82,0.59,-0.23,0.65,-0.13,0,0,311,575,127,246,424,241,0,0
1272.73,1.44,1.86,2.46,0.17,-0.77,0.60,-0.23,0.64,-0.13,0,0,311,573,129,248,422,240,0,0
1272.84,-1.13,-3.26,-0.60,0.16,-0.83,0.61,-0.23,0.64,-0.13,0,0,312,574,132,247,417,240,0,0
1272.94,-54.30,-28.78,-38.08,0.16,-0.87,0.62,-0.24,0.63,-0.15,0,0,313,632,132,244,425,239,0,0
1273.05,-21.39,30.44,-4.12,0.19,-0.59,0.53,-0.27,0.61,-0.18,0,0,315,675,134,240,436,240,0,0
1273.15,9.14,-9.34,15.49,-0.01,-0.72,0.73,-0.26,0.61,-0.19,0,0,313,651,125,226,434,238,0,0
1273.26,-1.08,-5.39,15.78,0.13,-0.73,0.77,-0.25,0.62,-0.18,0,0,314,627,126,228,426,239,0,0
1273.36,3.98,0.55,0.60,0.08,-0.69,0.75,-0.25,0.62,-0.18,1,0,314,618,120,229,423,240,0,0
1273.47,4.63,-4.35,5.14,0.03,-0.65,0.70,-0.25,0.62,-0.18,0,0,315,616,131,231,416,241,0,0
1273.58,4.28,-3.50,1.99,0.06,-0.64,0.72,-0.25,0.62,-0.18,0,0,315,615,134,232,417,242,0,0
1273.68,9.79,-1.70,5.29,0.06,-0.70,0.73,-0.25,0.62,-0.17,0,0,316,616,137,249,419,245,0,0
1273.79,1.78,-1.58,1.93,0.05,-0.65,0.72,-0.25,0.62,-0.18,0,0,318,611,138,257,417,246,0,0
1273.89,-11.06,0.33,-6.95,0.08,-0.66,0.72,-0.25,0.62,-0.18,0,0,316,606,127,233,416,243,0,0
1274.00,15.80,-0.79,3.08,0.05,-0.60,0.75,-0.25,0.62,-0.18,0,0,313,596,122,232,415,242,0,0
1274.10,7.20,3.26,3.78,0.07,-0.73,0.72,-0.24,0.63,-0.17,0,0,314,599,128,233,415,242,0,0
1274.21,-14.66,-4.58,-1.74,0.02,-0.67,0.71,-0.25,0.63,-0.17,0,0,316,607,127,237,416,242,0,0
1274.31,10.00,1.82,2.19,0.08,-0.66,0.73,-0.25,0.62,-0.18,0,0,318,609,116,234,416,239,0,0
1274.42,-0.86,2.20,1.48,0.07,-0.69,0.71,-0.25,0.63,-0.18,0,0,316,604,113,231,412,234,0,0
1274.53,4.05,-0.24,2.96,0.07,-0.67,0.72,-0.24,0.63,-0.18,0,0,315,594,111,230,412,232,0,0
1274.63,1.18,0.37,1.86,0.07,-0.64,0.73,-0.24,0.63,-0.19,0,0,316,595,117,234,410,234,0,0
1274.74,5.69,2.74,2.28,0.05,-0.67,0.72,-0.24,0.63,-0.18,0,0,316,601,122,238,411,235,0,0
1274.84,2.19,3.04,1.97,0.09,-0.67,0.72,-0.24,0.62,-0.17,0,0,317,597,124,247,410,237,0,0
1274.95,1.46,-3.28,1.90,0.08,-0.66,0.72,-0.24,0.63,-0.18,0,0,320,595,111,228,407,231,0,0
1275.05,2.15,-3.28,-0.41,0.04,-0.63,0.73,-0.24,0.63,-0.18,0,0,319,601,105,218,404,223,0,0
1275.16,5.77,2.67,2.20,0.07,-0.67,0.71,-0.24,0.63,-0.17,1,0,320,616,103,217,405,219,0,0
1275.26,2.88,1.64,2.18,0.09,-0.67,0.71,-0.24,0.62,-0.18,0,0,320,621,113,222,405,221,0,0
1275.37,0.61,0.63,1.39,0.08,-0.66,0.72,-0.24,0.62,-0.18,0,0,323,619,124,226,406,226,0,0
1275.47,2.20,-0.44,1.48,0.07,-0.65,0.72,-0.24,0.63,-0.19,0,0,322,612,126,226,403,227,0,0
1275.58,3.37,0.33,0.76,0.07,-0.65,0.73,-0.24,0.62,-0.18,0,0,324,607,119,224,405,225,0,0
1275.69,3.10,0.16,1.06,0.09,-0.66,0.72,-0.24,0.62,-0.18,0,0,324,617,118,223,407,225,0,0
1275.79,5.22,-1.12,2.13,0.08,-0.66,0.72,-0.24,0.63,-0.18,0,0,324,616,130,226,404,227,0,0
1275.90,1.84,-1.21,0.94,0.08,-0.64,0.73,-0.24,0.63,-0.19,0,1,323,608,130,227,400,227,0,0
1276.00,2.94,0.83,1.03,0.08,-0.64,0.72,-0.24,0.63,-0.19,0,0,324,601,126,226,398,227,0,0
1276.11,3.82,-2.85,1.06,0.08,-0.65,0.72,-0.24,0.63,-0.18,0,0,319,598,115,222,395,224,0,0
1276.21,4.30,0.22,1.20,0.07,-0.64,0.73,-0.25,0.63,-0.18,0,0,316,596,113,220,397,223,0,0
1276.32,3.90,-0.66,1.12,0.08,-0.66,0.73,-0.24,0.63,-0.19,0,0,317,599,113,222,397,225,0,0
1276.43,7.18,3.32,0.82,0.16,-0.73,0.82,-0.24,0.62,-0.19,0,0,317,591,111,219,397,225,0,0
1276.53,0.45,-0.35,1.81,0.02,-0.67,0.72,-0.24,0.62,-0.18,1,0,319,596,112,221,400,225,0,0
1276.64,6.03,2.10,1.80,0.08,-0.65,0.71,-0.25,0.62,-0.19,0,0,320,598,121,224,401,226,0,0
1276.74,1.57,-1.01,1.43,0.07,-0.66,0.72,-0.24,0.62,-0.19,0,0,319,595,114,222,400,222,0,0
1276.85,3.84,0.28,1.48,0.07,-0.64,0.73,-0.25,0.62,-0.19,0,0,318,592,110,222,399,221,0,0
1276.95,3.70,-0.08,1.02,0.07,-0.65,0.72,-0.24,0.63,-0.19,0,0,319,596,112,221,396,221,0,0
1277.06,4.07,-0.73,0.79,0.07,-0.66,0.73,-0.24,0.62,-0.18,0,0,320,595,119,223,398,223,0,0
1277.16,3.95,-1.14,0.74,0.06,-0.66,0.72,-0.24,0.63,-0.19,0,0,319,594,117,222,397,224,0,0
1277.27,5.00,-0.11,1.14,0.07,-0.65,0.72,-0.24,0.62,-0.19,0,0,318,595,108,220,397,223,0,0
1277.37,3.79,0.05,1.35,0.06,-0.66,0.73,-0.24,0.63,-0.19,0,0,320,597,109,220,398,222,0,0
1277.48,3.39,-0.04,1.44,0.07,-0.65,0.73,-0.25,0.63,-0.18,0,0,318,598,109,219,398,222,0,0
1277.58,3.37,-0.23,1.00,0.07,-0.65,0.72,-0.25,0.62,-0.18,0,0,317,599,109,220,398,222,0,0
1277.69,3.17,-0.17,0.93,0.06,-0.65,0.73,-0.24,0.63,-0.18,0,0,317,600,108,220,399,222,1,0
1277.80,3.88,0.23,1.15,0.07,-0.66,0.72,-0.24,0.62,-0.18,0,0,319,603,108,222,400,226,0,0
1277.90,3.48,-0.21,1.04,0.07,-0.66,0.73,-0.24,0.62,-0.18,0,0,318,606,108,223,400,226,0,0
1278.01,4.30,-0.18,1.21,0.07,-0.66,0.72,-0.24,0.62,-0.18,0,1,318,608,107,221,402,227,0,0
1278.11,4.19,0.25,1.11,0.07,-0.66,0.72,-0.24,0.62,-0.19,0,0,318,611,108,222,401,226,0,0
1278.22,3.91,0.08,1.30,0.07,-0.66,0.72,-0.24,0.63,-0.18,0,0,319,612,108,222,402,226,0,0
1278.32,4.10,0.14,1.51,0.06,-0.66,0.72,-0.25,0.63,-0.18,0,0,317,618,108,222,401,226,0,0
1278.43,4.30,2.22,1.64,0.07,-0.66,0.72,-0.24,0.63,-0.18,0,0,317,618,108,223,401,226,0,0
1278.54,3.73,0.09,1.78,0.06,-0.66,0.72,-0.24,0.62,-0.19,0,0,319,621,114,224,403,229,0,0
1278.64,3.32,0.12,0.99,0.07,-0.66,0.73,-0.24,0.62,-0.18,0,0,319,623,115,224,404,230,0,0
1278.75,3.95,0.60,1.54,0.07,-0.66,0.73,-0.24,0.63,-0.18,0,0,320,625,116,224,405,231,0,0
1278.85,4.05,0.28,1.58,0.07,-0.66,0.72,-0.25,0.63,-0.18,0,0,321,629,120,225,405,233,0,0
1278.96,4.34,0.60,1.59,0.07,-0.66,0.72,-0.24,0.63,-0.18,0,0,321,631,121,227,406,235,1,0
1279.06,4.08,1.00,1.26,0.08,-0.67,0.71,-0.24,0.63,-0.18,0,0,321,632,124,228,408,235,0,0
1279.17,2.56,-0.63,0.84,0.07,-0.67,0.71,-0.24,0.63,-0.18,0,0,322,632,123,229,407,235,0,0
1279.27,3.03,-0.25,0.81,0.07,-0.66,0.72,-0.24,0.63,-0.18,0,0,321,632,112,228,405,232,0,0
1279.38,3.29,-0.26,0.63,0.07,-0.66,0.72,-0.24,0.62,-0.18,0,0,318,626,109,226,405,227,0,0
1279.48,3.47,-0.54,1.00,0.07,-0.67,0.73,-0.24,0.62,-0.18,0,0,316,623,108,223,404,225,0,0
1279.59,3.64,-0.09,0.82,0.07,-0.66,0.72,-0.24,0.62,-0.18,0,0,314,623,107,223,400,221,0,0
1279.69,3.01,-0.60,0.91,0.06,-0.66,0.72,-0.25,0.62,-0.18,0,0,313,623,106,222,400,222,0,0
1279.80,2.91,0.22,1.02,0.06,-0.66,0.72,-0.24,0.62,-0.18,0,1,313,622,109,221,401,221,0,0
1279.91,3.98,0.16,1.11,0.06,-0.66,0.72,-0.24,0.62,-0.18,0,0,312,623,110,223,402,222,0,0
1280.01,3.31,-0.17,0.91,0.06,-0.66,0.72,-0.24,0.63,-0.19,0,0,314,622,110,223,402,222,0,0
1280.12,3.21,-0.06,1.14,0.07,-0.66,0.73,-0.24,0.62,-0.19,0,0,314,620,109,223,401,222,0,0
1280.22,3.84,0.51,1.49,0.07,-0.66,0.72,-0.24,0.62,-0.19,1,0,313,620,111,224,402,222,0,0
1280.33,3.33,0.06,0.99,0.07,-0.66,0.72,-0.24,0.62,-0.18,0,0,313,622,110,223,401,221,0,0
1280.43,3.96,-0.19,0.98,0.06,-0.66,0.72,-0.24,0.62,-0.18,0,0,314,621,109,223,401,220,0,0
1280.54,4.20,-0.08,1.16,0.06,-0.66,0.72,-0.24,0.62,-0.19,0,0,314,620,108,224,401,221,0,0
1280.65,3.72,-0.14,1.41,0.07,-0.66,0.72,-0.24,0.63,-0.19,0,0,313,622,109,224,401,221,0,0
1280.75,3.86,-0.44,1.02,0.07,-0.66,0.73,-0.24,0.63,-0.18,0,0,315,623,110,224,402,222,0,0
