time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
3725.57,0.74,-0.12,0.28,-1.03,-0.00,0.13,-0.34,0.12,0.15,163,218,199,0,125,66,440,0,0,136,95,0
3725.58,-0.30,-0.03,0.13,-1.03,0.00,0.12,-0.34,0.12,0.15,162,218,197,0,125,66,439,0,0,135,95,0
3725.58,-1.12,0.07,0.03,-1.03,0.02,0.11,-0.34,0.12,0.15,163,218,197,0,126,67,439,0,0,135,95,0
3725.59,-2.01,0.28,0.03,-1.03,0.03,0.10,-0.34,0.12,0.15,163,218,197,0,126,66,438,0,0,135,95,0
3731.22,7.29,0.76,4.05,0.89,0.40,-0.09,0.27,0.13,0.24,162,304,501,370,100,0,200,0,57,140,339,0
3731.22,7.56,0.75,3.85,0.90,0.40,-0.10,0.27,0.13,0.24,162,303,500,369,100,0,200,0,57,140,339,0
3731.23,7.92,1.16,3.75,0.89,0.41,-0.09,0.27,0.13,0.24,162,303,500,369,100,0,200,0,57,139,340,0
3731.23,9.28,1.59,3.77,0.90,0.41,-0.09,0.27,0.13,0.23,162,303,501,370,100,0,200,0,57,140,341,0
3731.24,11.11,1.33,3.46,0.90,0.40,-0.09,0.27,0.13,0.23,162,303,501,370,100,0,200,0,57,140,339,0
3731.24,12.30,1.00,2.98,0.90,0.41,-0.09,0.27,0.13,0.23,162,304,501,370,100,0,200,0,57,138,340,0
3731.25,14.57,0.73,2.65,0.90,0.41,-0.08,0.27,0.13,0.23,162,303,501,370,100,0,200,0,57,140,341,0
3731.25,15.95,0.55,2.39,0.90,0.41,-0.08,0.27,0.13,0.23,163,303,502,370,100,0,200,0,57,140,341,0
3731.26,17.18,0.73,2.28,0.89,0.42,-0.09,0.27,0.13,0.24,162,303,502,370,100,0,200,0,57,140,342,0
3731.26,19.56,0.62,2.36,0.89,0.42,-0.09,0.27,0.13,0.24,162,302,502,371,100,0,200,0,57,140,342,0
3731.27,20.89,0.62,2.02,0.88,0.42,-0.08,0.27,0.13,0.24,163,303,501,371,100,0,200,0,58,140,342,0
3731.27,23.14,1.04,1.79,0.89,0.42,-0.10,0.27,0.13,0.24,162,303,502,371,100,0,200,0,57,140,343,0
3731.28,24.99,1.26,1.41,0.88,0.42,-0.09,0.27,0.13,0.24,162,302,501,371,100,0,200,0,57,139,344,0
3731.28,27.02,1.32,0.77,0.88,0.43,-0.10,0.27,0.13,0.24,162,303,502,371,100,0,199,0,58,140,343,0
3731.29,29.92,1.88,0.17,0.87,0.44,-0.11,0.27,0.13,0.24,162,303,502,370,100,0,200,0,57,140,343,0
3731.29,32.38,1.87,-0.79,0.86,0.45,-0.11,0.27,0.13,0.24,162,303,501,370,100,0,200,0,58,140,343,0
3731.30,35.34,2.40,-1.86,0.85,0.46,-0.12,0.27,0.13,0.24,162,301,502,370,100,0,200,0,58,140,344,0
3731.30,40.91,2.74,-2.92,0.85,0.47,-0.13,0.27,0.13,0.24,162,302,502,370,99,0,200,0,58,140,343,0
3731.31,44.92,2.39,-4.00,0.86,0.46,-0.13,0.27,0.12,0.24,162,302,503,371,100,0,200,0,58,140,344,0
3731.31,50.25,3.27,-6.19,0.85,0.46,-0.13,0.27,0.12,0.24,162,302,502,370,100,0,200,0,58,140,344,0
3731.32,56.26,3.84,-7.68,0.86,0.46,-0.12,0.27,0.12,0.24,163,302,503,370,100,0,200,0,59,140,344,0
3731.32,61.59,4.70,-9.50,0.84,0.45,-0.11,0.27,0.12,0.24,162,302,503,371,100,0,200,0,58,140,345,0
3731.33,71.59,6.88,-11.46,0.86,0.44,-0.09,0.27,0.12,0.24,163,302,503,371,100,0,199,0,59,140,345,0
