time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,P1,P2,P3,P4,P5,F1,F2,F3,F4,B1,B2,B3,S1,S2,class
501.50,-1.37,-0.19,-3.53,-0.29,0.93,0.25,-0.05,-0.00,-0.44,0,0,0,0,582,342,655,630,0,678,348,0,514,479,0
501.61,4.80,0.97,1.53,-0.30,0.95,0.27,-0.05,-0.00,-0.44,0,0,0,0,582,343,656,631,0,678,349,0,528,481,0
501.71,8.30,2.54,4.11,-0.30,0.88,0.27,-0.05,-0.00,-0.44,0,0,0,0,583,343,656,631,0,678,350,0,527,477,0
501.82,4.06,0.96,0.54,-0.29,0.88,0.28,-0.05,-0.00,-0.44,0,0,0,0,582,343,656,631,0,678,349,0,521,476,0
501.92,4.83,1.26,1.44,-0.29,0.91,0.28,-0.05,-0.00,-0.43,0,0,0,0,582,343,655,632,0,677,352,0,528,474,0
502.03,3.04,0.88,1.10,-0.29,0.91,0.28,-0.05,-0.00,-0.44,0,0,0,0,582,343,656,631,0,677,349,0,535,473,0
502.13,5.80,0.99,2.52,-0.30,0.91,0.28,-0.06,-0.00,-0.43,0,0,0,0,582,342,656,631,0,678,351,0,522,470,0
502.24,-0.22,-2.25,1.11,-0.28,0.90,0.25,-0.06,-0.00,-0.44,0,0,0,0,582,341,655,630,0,678,350,0,515,470,0
502.34,2.49,0.33,0.60,-0.28,0.91,0.25,-0.05,-0.00,-0.43,0,0,0,0,582,342,656,631,0,678,350,0,516,470,0
502.45,6.73,-1.67,-0.34,-0.27,0.91,0.27,-0.05,0.00,-0.43,0,0,0,0,582,341,656,630,0,677,350,0,522,462,0
502.56,20.86,-20.03,-3.24,-0.25,0.89,0.30,-0.06,-0.00,-0.44,0,0,0,0,582,338,655,629,0,686,355,0,516,434,0
502.66,49.88,-43.46,-13.71,-0.23,0.82,0.40,-0.08,0.03,-0.45,0,0,0,0,580,337,654,625,0,705,362,0,507,281,0
502.77,58.85,-72.49,-18.93,-0.08,0.75,0.41,-0.13,0.06,-0.46,0,0,0,0,578,335,646,612,0,717,370,243,490,217,0
502.87,198.57,-78.73,9.12,-0.16,0.42,0.64,-0.19,0.16,-0.46,0,0,0,0,574,464,648,614,0,726,357,237,307,179,0
502.98,124.01,-24.25,-45.62,-0.69,0.45,0.77,-0.25,0.27,-0.44,0,0,0,0,581,508,655,616,0,723,341,0,224,190,0
503.08,94.84,14.57,-20.86,-0.46,0.65,0.87,-0.27,0.32,-0.43,0,0,0,0,582,568,657,618,0,748,359,133,203,279,0
503.19,56.13,5.73,-13.31,-0.36,0.60,0.71,-0.27,0.35,-0.42,0,0,0,0,583,593,664,625,0,749,453,0,206,321,0
503.30,2.56,37.84,-33.07,-0.15,0.43,0.76,-0.27,0.38,-0.41,0,0,0,0,584,589,669,628,0,735,480,0,216,222,0
503.40,0.62,61.53,-13.48,-0.21,0.54,0.78,-0.25,0.36,-0.42,0,0,0,0,589,593,685,633,0,729,502,0,210,174,0
503.51,30.69,66.35,-9.77,-0.07,0.81,0.86,-0.22,0.34,-0.46,0,0,0,0,594,534,693,637,0,715,490,0,146,170,0
503.61,79.48,104.36,19.82,-0.16,0.40,0.91,-0.17,0.36,-0.48,0,0,0,0,594,473,692,636,0,721,460,0,97,142,0
503.72,110.13,132.95,4.80,0.26,0.25,0.60,-0.07,0.40,-0.49,0,0,0,0,584,386,669,631,0,714,449,0,94,165,0
503.82,79.89,131.24,67.65,0.57,-0.34,1.27,0.06,0.49,-0.44,0,0,0,0,582,337,663,635,0,717,452,195,138,202,0
503.93,34.23,72.19,44.75,0.86,-0.09,1.19,0.12,0.51,-0.40,0,0,0,0,577,406,668,637,0,714,452,0,204,217,0
504.03,1.71,1.30,-50.45,0.63,0.46,0.57,0.12,0.51,-0.40,0,0,0,0,570,472,673,637,0,711,461,0,219,229,0
504.14,147.24,4.51,-64.08,0.56,-0.63,0.80,0.11,0.60,-0.30,0,0,0,0,577,546,690,643,0,710,488,0,231,230,0
504.24,39.29,-94.85,29.26,-0.24,-0.26,0.54,0.09,0.64,-0.24,0,0,0,0,577,501,690,639,0,706,544,0,261,262,0
504.35,-49.03,17.49,-8.08,0.50,-0.22,0.69,0.10,0.62,-0.28,0,0,0,0,570,432,659,622,0,698,461,0,269,257,0
504.46,4.29,1.90,6.86,0.62,-0.31,0.72,0.10,0.61,-0.29,0,0,0,0,568,423,647,615,0,694,449,0,271,269,0
504.56,10.18,-1.50,2.97,0.53,-0.22,0.81,0.10,0.61,-0.29,0,0,0,0,568,423,648,617,0,693,454,0,272,273,0
504.67,-2.53,-0.38,0.81,0.56,-0.20,0.73,0.10,0.61,-0.30,0,0,0,0,567,422,648,618,0,694,444,0,270,272,0
504.77,2.11,-1.74,3.05,0.55,-0.24,0.77,0.10,0.61,-0.30,1,0,0,0,567,422,649,618,0,694,436,0,266,259,0
504.88,2.28,0.97,0.77,0.53,-0.23,0.79,0.10,0.61,-0.29,0,0,0,0,568,423,649,621,0,695,433,0,261,250,0
504.98,1.52,1.75,0.10,0.53,-0.22,0.76,0.10,0.61,-0.29,0,0,0,0,568,422,649,621,0,693,428,0,258,248,0
505.09,3.83,1.10,1.23,0.53,-0.22,0.77,0.10,0.61,-0.30,0,0,0,1,568,423,650,621,0,694,428,0,259,245,0
505.20,4.62,0.09,-0.31,0.54,-0.21,0.77,0.09,0.61,-0.30,0,0,0,0,569,423,650,622,0,695,431,0,265,247,0
505.30,4.79,-0.47,0.22,0.53,-0.23,0.75,0.09,0.61,-0.30,0,0,0,0,569,425,652,623,0,694,430,0,266,246,0
505.41,5.30,1.57,1.78,0.53,-0.25,0.78,0.09,0.61,-0.29,0,0,1,0,569,425,653,623,0,694,432,0,261,245,0
505.51,-6.02,3.61,-0.48,0.55,-0.23,0.80,0.10,0.61,-0.30,0,0,0,0,569,426,656,624,0,695,440,0,261,245,0
505.62,1.09,1.89,2.66,0.57,-0.21,0.75,0.09,0.60,-0.30,0,0,0,0,569,424,655,624,0,695,439,0,269,247,0
505.72,5.24,-0.66,5.20,0.54,-0.23,0.78,0.10,0.60,-0.30,0,0,0,0,569,425,656,625,1,696,439,0,270,248,0
505.83,1.97,1.35,1.51,0.53,-0.22,0.78,0.10,0.60,-0.30,0,0,0,0,569,424,656,626,0,697,439,0,271,248,0
505.93,0.59,2.67,0.33,0.56,-0.21,0.76,0.10,0.60,-0.31,0,0,0,0,570,424,656,626,0,697,444,0,275,245,0
506.04,2.35,2.02,2.34,0.56,-0.20,0.77,0.10,0.60,-0.31,0,0,0,0,570,425,656,627,0,698,448,0,278,246,0
506.15,4.73,-0.39,2.77,0.56,-0.21,0.75,0.11,0.60,-0.31,0,0,0,0,570,424,656,626,0,698,446,0,279,247,0
506.25,4.66,-0.52,1.66,0.55,-0.20,0.78,0.11,0.60,-0.31,0,0,0,0,571,425,656,628,0,698,449,0,298,249,0
506.36,2.69,-0.18,0.18,0.55,-0.20,0.74,0.11,0.60,-0.31,0,0,0,0,571,424,656,628,0,698,447,0,298,249,0
506.46,4.67,-0.69,0.66,0.55,-0.21,0.78,0.11,0.60,-0.30,0,0,0,0,570,424,657,626,0,698,448,0,300,249,0
506.57,1.03,1.55,-0.13,0.57,-0.21,0.75,0.11,0.60,-0.31,0,0,0,0,570,424,656,627,0,698,446,0,301,249,0
506.67,5.35,-0.22,1.63,0.56,-0.21,0.76,0.10,0.60,-0.30,0,0,0,0,571,423,656,626,0,697,442,0,292,247,0
506.78,3.83,-0.61,1.55,0.57,-0.22,0.76,0.10,0.60,-0.31,0,0,0,0,571,426,656,628,0,697,442,0,286,246,0
506.89,5.01,-1.04,2.31,0.56,-0.21,0.76,0.10,0.60,-0.31,0,0,0,0,571,426,656,629,0,697,436,0,285,246,0
506.99,3.67,-0.14,1.24,0.54,-0.21,0.77,0.10,0.60,-0.30,0,0,0,0,571,426,657,628,0,697,432,0,286,246,0
507.10,2.97,0.08,1.04,0.55,-0.21,0.77,0.11,0.60,-0.31,0,0,0,0,571,426,656,628,0,697,431,0,288,246,0
507.20,3.40,-1.23,1.35,0.55,-0.20,0.76,0.10,0.61,-0.30,0,0,0,0,570,427,656,627,0,698,429,0,286,246,0
507.31,3.89,-0.91,1.18,0.54,-0.21,0.77,0.10,0.61,-0.30,0,0,0,0,571,428,657,628,0,698,429,0,281,246,0
507.41,3.99,-0.24,1.32,0.55,-0.21,0.77,0.11,0.61,-0.31,0,0,0,0,571,428,656,628,0,698,430,0,280,247,0
507.52,3.43,-0.17,1.86,0.55,-0.21,0.75,0.10,0.61,-0.30,0,0,0,0,572,429,656,628,0,697,432,0,286,247,0
507.62,2.95,-0.21,1.86,0.55,-0.21,0.76,0.10,0.61,-0.30,0,0,0,0,572,429,657,628,0,697,433,0,288,246,0
507.73,2.83,0.40,1.52,0.54,-0.21,0.76,0.10,0.61,-0.31,0,0,0,0,572,429,657,629,0,698,433,0,287,247,0
507.83,1.79,0.78,0.82,0.55,-0.20,0.76,0.10,0.60,-0.31,0,0,0,0,572,429,657,629,0,698,432,0,287,246,0
507.94,3.85,0.10,1.41,0.55,-0.20,0.76,0.10,0.60,-0.31,0,0,0,0,572,429,657,630,0,698,432,0,286,247,0
508.05,4.26,-0.46,1.48,0.55,-0.20,0.76,0.11,0.60,-0.31,0,0,0,0,572,429,658,629,0,697,428,0,277,248,0
508.15,3.33,-0.07,1.00,0.55,-0.20,0.75,0.10,0.60,-0.31,0,0,0,0,572,429,657,630,0,698,429,0,276,247,0
508.26,3.82,0.17,1.60,0.55,-0.20,0.76,0.10,0.60,-0.31,0,0,0,0,572,430,657,630,0,698,430,0,277,247,0
508.36,3.66,-0.13,1.53,0.56,-0.21,0.76,0.11,0.61,-0.31,0,0,0,0,572,431,658,630,0,698,428,0,274,247,0
508.47,2.88,0.22,1.08,0.55,-0.20,0.76,0.10,0.61,-0.31,0,0,0,0,572,432,657,631,0,698,429,0,272,248,0
508.57,3.57,0.31,1.29,0.55,-0.20,0.76,0.10,0.60,-0.31,0,0,0,0,572,430,658,630,0,698,428,0,275,248,0
508.68,2.81,0.10,1.31,0.55,-0.20,0.77,0.11,0.60,-0.31,0,0,0,0,573,431,658,631,0,698,430,0,277,248,0
508.79,2.77,0.26,1.10,0.55,-0.21,0.76,0.11,0.60,-0.31,0,0,0,1,573,431,659,630,1,698,430,0,286,249,0
508.89,2.84,0.71,1.22,0.55,-0.20,0.77,0.11,0.61,-0.31,0,0,0,0,572,431,658,631,0,699,430,0,290,250,0
509.00,2.13,0.37,1.00,0.55,-0.20,0.76,0.11,0.61,-0.31,0,0,0,0,573,432,658,630,0,698,440,0,295,251,0
509.10,2.50,0.79,0.92,0.55,-0.20,0.76,0.11,0.61,-0.31,0,0,0,0,572,432,658,631,0,699,444,0,298,253,0
509.21,3.00,0.18,0.95,0.55,-0.20,0.76,0.11,0.61,-0.31,0,0,0,0,573,432,659,630,0,699,447,0,303,254,0
