time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,F1,F2,B1,B2,S1,S2,S3,S4,S5,class
365.37,6.91,2.09,0.71,-0.32,0.02,0.95,0.13,0.29,-0.46,0,0,681,277,21,282,409,83,0,3
365.47,5.42,-0.59,0.03,-0.32,0.04,0.92,0.13,0.29,-0.46,0,0,685,280,29,283,410,84,0,3
365.58,3.27,-0.41,0.54,-0.32,0.03,0.92,0.13,0.30,-0.46,0,0,687,281,28,282,409,84,0,3
365.68,2.58,1.05,1.82,-0.32,0.04,0.91,0.12,0.29,-0.46,1,0,687,283,37,281,410,84,0,3
365.79,2.89,0.64,2.40,-0.32,0.02,0.94,0.13,0.30,-0.46,0,0,688,285,40,282,410,85,0,3
365.89,3.73,0.02,0.60,-0.33,0.03,0.92,0.13,0.30,-0.46,0,0,689,287,41,281,410,84,0,3
366.00,4.34,-0.56,0.74,-0.32,0.04,0.90,0.13,0.29,-0.47,0,0,689,290,41,281,410,84,0,3
366.11,4.07,1.18,0.18,-0.32,0.02,0.89,0.13,0.30,-0.47,0,0,695,290,41,282,411,85,0,3
366.21,8.80,0.17,-6.41,-0.32,-0.02,0.96,0.13,0.30,-0.46,0,0,695,292,43,281,408,85,0,3
366.32,5.52,-5.84,-8.36,-0.35,0.00,0.91,0.12,0.31,-0.46,0,0,696,293,41,281,405,84,0,3
366.42,-1.46,0.78,-3.99,-0.33,0.05,0.90,0.12,0.30,-0.46,0,0,697,300,42,281,404,84,0,3
366.53,16.79,-2.84,-7.93,-0.34,0.03,0.97,0.12,0.30,-0.47,0,0,697,303,42,282,404,85,0,3
366.63,71.65,-34.41,-33.53,-0.36,-0.24,1.12,0.11,0.34,-0.46,0,0,694,268,42,281,405,85,0,3
366.74,44.76,-90.53,-88.62,-0.49,-0.30,1.11,0.05,0.39,-0.45,0,0,686,242,102,255,404,55,0,3
366.85,42.09,-117.04,-88.23,-0.62,-0.18,0.94,-0.10,0.43,-0.43,0,0,607,220,161,196,408,0,0,3
366.95,11.53,-108.82,-76.91,-0.68,0.05,0.54,-0.20,0.44,-0.40,0,1,436,156,132,194,400,0,0,3
367.06,22.41,-65.21,-43.67,-0.71,0.15,0.36,-0.28,0.43,-0.36,0,0,239,53,12,196,371,0,0,3
367.16,57.97,-28.15,-17.54,-0.84,0.18,0.29,-0.32,0.44,-0.32,0,0,102,0,37,197,279,0,0,3
367.27,79.70,-26.50,-10.69,-0.87,0.12,0.43,-0.33,0.47,-0.28,0,0,11,0,52,218,141,56,0,3
367.37,27.09,-43.21,-17.72,-0.88,0.20,0.36,-0.34,0.49,-0.24,0,0,0,35,73,222,140,70,0,3
367.48,26.21,-45.04,-15.99,-0.92,0.04,0.32,-0.37,0.49,-0.19,0,0,0,127,96,226,275,78,0,3
367.58,29.92,-31.46,-22.69,-0.92,0.13,0.15,-0.39,0.48,-0.16,0,0,0,251,146,227,365,86,0,3
367.69,-6.76,-22.43,-34.82,-0.92,0.10,0.15,-0.40,0.46,-0.14,0,0,0,303,200,221,453,144,0,3
367.79,6.44,-28.09,-25.18,-0.96,0.27,0.05,-0.43,0.44,-0.13,1,0,0,356,242,225,474,186,0,3
367.90,3.44,-14.39,-17.65,-0.91,0.35,0.00,-0.44,0.43,-0.12,0,0,0,377,252,235,480,231,0,3
368.01,3.16,9.84,-6.51,-0.91,0.34,0.05,-0.44,0.42,-0.11,0,0,0,382,258,241,478,244,1,3
