time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
996.60,1.01,3.45,4.03,-0.20,0.95,0.16,0.20,-0.15,-0.22,0,296,480,0,125,0,506,733,469,205,568,3
996.71,1.57,2.34,0.74,-0.22,0.95,0.17,0.20,-0.15,-0.22,0,295,479,0,125,0,505,732,470,204,565,3
996.81,2.28,0.80,1.73,-0.21,0.97,0.18,0.21,-0.15,-0.22,0,296,480,0,125,0,505,732,469,209,566,3
996.92,2.92,-1.98,3.39,-0.22,0.95,0.16,0.20,-0.15,-0.22,0,295,479,0,124,0,506,732,469,202,560,3
997.02,5.57,-0.21,1.37,-0.23,0.95,0.16,0.20,-0.15,-0.22,0,295,479,0,124,0,506,732,469,203,558,3
997.13,4.99,-0.47,0.53,-0.22,0.94,0.16,0.20,-0.15,-0.21,0,296,480,0,124,0,506,731,468,203,559,3
997.23,0.04,-1.99,-0.33,-0.21,0.96,0.16,0.20,-0.15,-0.21,0,296,479,0,124,0,505,732,469,202,559,3
997.34,3.05,1.40,0.29,-0.22,0.98,0.14,0.20,-0.15,-0.21,0,296,479,0,124,0,506,731,469,208,567,3
997.44,5.04,1.07,1.68,-0.21,0.98,0.16,0.20,-0.15,-0.22,0,296,480,0,124,0,506,732,469,204,565,3
997.55,4.55,1.05,1.60,-0.21,0.95,0.16,0.21,-0.15,-0.22,0,296,480,0,123,0,506,733,469,207,567,3
997.66,2.84,-0.52,-0.33,-0.21,0.96,0.16,0.20,-0.15,-0.22,0,295,479,0,123,0,505,732,469,204,563,3
997.76,2.56,0.75,-0.19,-0.21,0.98,0.15,0.21,-0.16,-0.22,0,294,480,0,123,0,507,733,469,204,559,3
997.87,3.26,0.40,1.52,-0.19,0.96,0.15,0.21,-0.15,-0.22,0,294,480,0,122,0,506,732,469,206,558,3
997.97,2.93,-2.08,3.18,-0.21,0.91,0.19,0.20,-0.15,-0.21,0,294,479,0,122,0,506,732,469,204,559,3
998.08,1.29,-4.87,0.70,-0.21,0.92,0.18,0.20,-0.15,-0.22,0,292,480,0,122,0,506,731,470,204,569,3
998.18,62.57,-27.68,17.54,-0.11,1.19,0.24,0.20,-0.14,-0.23,0,295,480,0,124,0,510,730,471,216,568,3
998.29,-2.06,-101.82,55.47,-0.05,0.90,0.42,0.15,-0.14,-0.27,0,295,479,0,123,0,547,720,468,277,566,3
998.39,-13.76,-159.07,56.26,-0.20,0.80,0.24,0.05,-0.16,-0.29,0,307,481,0,83,0,629,693,458,348,532,3
998.50,-29.66,-216.47,34.19,-0.41,0.63,-0.06,-0.06,-0.16,-0.28,0,310,481,0,0,0,648,658,446,385,485,3
998.60,23.26,-178.15,-0.71,-0.49,0.71,-0.43,-0.16,-0.15,-0.24,0,304,485,0,0,0,563,641,427,403,439,3
998.71,69.33,-141.75,-23.67,-0.36,0.81,-0.45,-0.21,-0.13,-0.23,0,284,491,0,0,0,510,645,422,408,437,3
998.82,87.58,-98.18,-29.29,-0.21,0.95,-0.31,-0.24,-0.11,-0.23,0,292,495,0,0,0,496,659,426,413,464,3
998.92,50.32,-97.62,-66.57,-0.08,1.00,-0.26,-0.25,-0.09,-0.24,0,338,500,1,0,0,465,661,429,412,498,3
999.03,43.65,-59.47,-49.94,0.03,1.00,-0.14,-0.24,-0.11,-0.23,0,361,505,1,0,0,447,662,429,410,517,3
999.13,51.35,-37.83,-39.87,0.03,1.01,-0.08,-0.23,-0.12,-0.23,0,376,510,0,0,0,382,659,429,408,538,3
999.24,59.68,-4.49,-29.42,0.15,1.02,-0.05,-0.22,-0.11,-0.25,0,396,513,0,16,0,295,652,428,407,509,3
999.34,24.30,-11.92,-51.60,0.29,0.97,0.02,-0.19,-0.11,-0.28,0,408,540,0,55,0,203,650,428,405,506,3
999.45,-76.43,-15.57,-86.43,0.32,1.05,-0.20,-0.15,-0.14,-0.27,0,417,543,0,43,0,178,652,426,401,501,3
999.55,15.19,0.28,-4.26,0.42,1.30,-0.09,-0.10,-0.17,-0.25,0,422,541,0,42,1,171,652,425,399,496,3
999.66,27.74,19.68,-17.55,0.38,0.84,-0.04,-0.09,-0.16,-0.27,0,422,542,0,39,0,171,649,425,388,449,3
999.77,-3.58,-10.99,1.57,0.43,0.94,0.04,-0.07,-0.15,-0.29,0,422,541,1,41,0,147,649,426,383,440,3
999.87,6.89,2.65,0.58,0.44,0.85,0.10,-0.07,-0.15,-0.29,0,419,541,0,40,0,141,647,423,383,438,3
999.98,5.37,0.66,0.11,0.45,0.86,0.09,-0.07,-0.15,-0.29,0,418,542,0,37,0,136,645,421,382,437,3
1000.08,6.04,0.37,1.59,0.44,0.85,0.10,-0.07,-0.15,-0.29,0,417,543,0,36,0,137,645,421,383,438,3
1000.19,5.66,0.65,0.94,0.44,0.87,0.08,-0.07,-0.15,-0.29,0,418,542,0,35,0,138,645,420,384,436,3
1000.29,6.75,-0.18,-0.54,0.44,0.87,0.09,-0.07,-0.15,-0.30,0,418,542,0,37,0,139,645,421,384,436,3
1000.40,6.39,0.03,0.31,0.44,0.87,0.09,-0.07,-0.14,-0.30,0,419,542,0,56,0,140,645,420,384,438,3
1000.50,4.29,0.06,1.42,0.45,0.88,0.09,-0.08,-0.14,-0.30,0,419,542,0,54,0,139,645,421,384,437,3
1000.61,4.47,-0.82,1.29,0.45,0.87,0.09,-0.07,-0.15,-0.30,0,420,542,0,54,0,140,646,421,385,437,3
1000.72,4.65,0.86,1.25,0.45,0.86,0.11,-0.07,-0.15,-0.31,0,420,542,0,38,0,141,646,422,385,437,3
1000.82,1.74,0.78,1.70,0.44,0.88,0.10,-0.08,-0.15,-0.29,0,418,541,0,33,0,141,645,422,385,436,3
1000.93,2.65,-0.07,2.04,0.45,0.86,0.11,-0.07,-0.14,-0.30,0,417,540,0,27,0,143,645,421,387,436,3
1001.03,3.25,-0.02,1.40,0.45,0.86,0.10,-0.07,-0.14,-0.29,0,417,540,0,28,0,143,645,423,387,436,3
1001.14,3.99,-0.11,1.56,0.44,0.87,0.09,-0.07,-0.14,-0.29,0,417,541,0,28,0,144,646,424,388,437,3
1001.24,3.86,-0.20,1.22,0.44,0.88,0.09,-0.07,-0.15,-0.29,0,417,541,0,27,0,146,647,425,388,437,3
