S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
1,3,1,1,1,4,3,5,6,3,1,26,1,38,2,2,5,1,2,1,3,1,1,12,30,2,0,6,4,-1.245041847229,0.184745594859123,0.516233742237091,-1.59401512145996,0.106501057744026,0.560055196285248,-2.19197583198547,0.03286598995328,1.44723343849182,-1.50122249126434,0.260625928640366,0.590573251247406,14_Jun_2023_08_35
1,2,2,0,1,1,1,4,6,3,1,25,1,38,4,1,4,3,2,1,4,1,0,10,33,2,2,5,3,-1.245041847229,0.184745594859123,0.516233742237091,-1.59401512145996,0.106501057744026,0.560055196285248,-2.19197583198547,0.03286598995328,1.44723343849182,-1.50122249126434,0.260625928640366,0.590573251247406,14_Jun_2023_08_35
1,4,2,2,2,5,3,3,6,3,1,25,1,38,2,1,2,3,0,0,4,1,5,11,34,1,0,5,5,-1.24480640888214,0.18471123278141,0.516473352909088,-1.59398055076599,0.106419898569584,0.560104668140411,-2.19197392463684,0.032859325408936,1.4472222328186,-1.50116944313049,0.260585993528366,0.590703010559082,14_Jun_2023_08_35
1,2,3,2,1,1,2,5,6,4,1,25,1,39,1,2,3,1,2,0,4,1,1,12,34,3,1,5,7,-1.24200248718262,0.184415638446808,0.519278168678284,-1.59332919120789,0.107165195047855,0.56075245141983,-2.19194364547729,0.032863818109036,1.44724023342133,-1.50028657913208,0.260095089673996,0.591879665851593,14_Jun_2023_08_35
1,5,4,0,2,1,0,4,6,3,1,24,2,41,1,0,5,4,2,2,5,0,2,10,33,0,1,4,3,-1.23385393619537,0.183264940977097,0.530210316181183,-1.59168231487274,0.108763955533504,0.557736992835999,-2.19195318222046,0.032854437828064,1.44724690914154,-1.49746239185333,0.258803129196167,0.595360338687897,14_Jun_2023_08_35
0,4,2,4,1,4,2,3,7,4,1,25,0,40,2,1,4,0,4,0,4,1,1,9,31,1,1,5,3,-1.23185932636261,0.184536695480347,0.533608734607697,-1.59133470058441,0.108632363379002,0.5581014752388,-2.19195532798767,0.032836616039276,1.44724094867706,-1.49701702594757,0.258681923151016,0.596766471862793,14_Jun_2023_08_35
0,4,0,2,1,1,0,4,4,3,3,26,0,39,3,1,4,2,0,1,5,2,1,9,33,2,1,4,3,-1.23406493663788,0.185217842459679,0.532459855079651,-1.58958196640015,0.114167772233486,0.547525525093079,-2.1919207572937,0.032865099608898,1.44722056388855,-1.49799191951752,0.2589171230793,0.599571704864502,14_Jun_2023_08_35
1,2,0,1,1,2,1,6,6,4,1,24,1,40,4,2,6,2,1,2,5,2,0,12,32,1,1,9,3,-1.2393217086792,0.186351388692856,0.528688609600067,-1.59295320510864,0.106644921004772,0.567973673343658,-2.19196176528931,0.032863974571228,1.44727599620819,-1.50105285644531,0.259689450263977,0.602187275886535,14_Jun_2023_08_35
0,3,1,2,1,1,3,1,7,3,2,25,0,41,4,1,4,4,1,1,5,2,0,11,31,3,1,5,5,-1.24251651763916,0.186529904603958,0.525644183158875,-1.59362709522247,0.10903525352478,0.562002062797546,-2.1919527053833,0.032855689525604,1.44723391532898,-1.50275564193726,0.25998044013977,0.604511201381683,14_Jun_2023_08_35
0,2,3,4,1,2,0,5,7,3,0,26,0,38,2,0,3,1,4,1,4,1,2,12,29,2,0,7,3,-1.24213230609894,0.187696918845177,0.524156987667084,-1.59368467330933,0.109469398856163,0.563077807426453,-2.1919846534729,0.032838054001331,1.44724106788635,-1.50326371192932,0.260003983974457,0.60701984167099,14_Jun_2023_08_35
