S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
1,0,1,10,196,0,0,12,5,65,13,8,24,10,146,63,-0.765992343,0.406837702,0.035698049,-1.004576921,0.129085109,-0.004327496,-0.850006342,0.633729219,0.217284366,-1.032696128,0.310797215,0.135258257,28_Jun_2023_08_50
12,7,4,11,155,2,8,9,4,74,13,3,21,15,61,65,-0.765987098,0.406835109,0.035681274,-1.00460124,0.129089087,-0.0043335,-0.84999615,0.633754373,0.217261061,-1.032701612,0.310810506,0.135249525,28_Jun_2023_08_50
0,3,2,9,144,3,0,12,2,82,9,1,24,12,52,70,-0.385267556,-0.024316031,0.166152149,1.616659403,-1.318298697,0.304623365,1.098080277,-0.055699646,0.030965308,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_50
1,6,1,3,174,4,3,10,7,95,16,2,25,17,50,55,-0.765987158,0.406834513,0.035664394,-1.004623771,0.129091635,-0.004339004,-0.849982023,0.633764684,0.217213377,-1.032644987,0.310821444,0.13523443,28_Jun_2023_08_50
9,5,2,0,173,5,7,13,4,97,15,3,20,16,49,55,-0.765987158,0.406834513,0.035664394,-1.004623771,0.129091635,-0.004339004,-0.849982023,0.633764684,0.217213377,-1.032644987,0.310821444,0.13523443,28_Jun_2023_08_50
0,0,0,3,177,5,2,13,3,100,13,4,20,15,45,56,-0.765987158,0.406834513,0.035664394,-1.004623771,0.129091635,-0.004339004,-0.849982023,0.633764684,0.217213377,-1.032644987,0.310821444,0.13523443,28_Jun_2023_08_50
1,1,3,4,190,10,1,11,9,96,12,8,17,18,54,44,-0.765984893,0.406831086,0.035652552,-1.004646301,0.12909466,-0.004341278,-0.849955201,0.633760273,0.217186928,-1.032711148,0.310834497,0.1352323,28_Jun_2023_08_50
0,0,0,2,203,6,3,9,8,97,15,7,19,18,73,45,-0.765984893,0.406831086,0.035652552,-1.004646301,0.12909466,-0.004341278,-0.849955201,0.633760273,0.217186928,-1.032711148,0.310834497,0.1352323,28_Jun_2023_08_50
0,0,0,2,193,5,4,14,5,92,14,6,16,17,73,44,-0.765984893,0.406831086,0.035652552,-1.004646301,0.12909466,-0.004341278,-0.849955201,0.633760273,0.217186928,-1.032711148,0.310834497,0.1352323,28_Jun_2023_08_50
1,2,7,2,181,1,10,12,4,92,11,9,13,16,85,39,-0.76598376,0.406831771,0.035638455,-1.004673362,0.129103512,-0.00434727,-0.849931955,0.633736074,0.217161834,-1.032714009,0.310842961,0.135222733,28_Jun_2023_08_50
0,1,4,0,181,5,3,10,2,85,9,6,11,16,80,36,-0.76598376,0.406831771,0.035638455,-1.004673362,0.129103512,-0.00434727,-0.849931955,0.633736074,0.217161834,-1.032714009,0.310842961,0.135222733,28_Jun_2023_08_50
0,0,5,2,189,11,0,11,2,91,12,6,16,15,83,40,-0.76598376,0.406831771,0.035638455,-1.004673362,0.129103512,-0.00434727,-0.849931955,0.633736074,0.217161834,-1.032714009,0.310842961,0.135222733,28_Jun_2023_08_50
0,0,4,5,166,14,1,13,3,89,16,7,12,17,87,40,-0.765983403,0.406829208,0.035624806,-1.004698753,0.129105538,-0.004345804,-0.849899411,0.633730888,0.217143342,-1.032713413,0.310848057,0.135212034,28_Jun_2023_08_50
0,0,4,8,173,8,7,13,7,90,10,3,11,12,85,41,-0.765983403,0.406829208,0.035624806,-1.004698753,0.129105538,-0.004345804,-0.849899411,0.633730888,0.217143342,-1.032713413,0.310848057,0.135212034,28_Jun_2023_08_50
1,0,6,8,195,12,0,13,6,92,14,1,17,16,88,41,-0.765983403,0.406829208,0.035624806,-1.004698753,0.129105538,-0.004345804,-0.849899411,0.633730888,0.217143342,-1.032713413,0.310848057,0.135212034,28_Jun_2023_08_50
1,0,5,12,198,12,0,16,4,97,14,3,14,18,100,35,-0.765983403,0.406829208,0.035624806,-1.004698753,0.129105538,-0.004345804,-0.849899411,0.633730888,0.217143342,-1.032713413,0.310848057,0.135212034,28_Jun_2023_08_50
0,2,6,6,202,7,2,14,4,98,15,2,13,16,100,32,-0.76598525,0.406824201,0.035609573,-1.004722476,0.129107878,-0.004348788,-0.849897742,0.633754373,0.2171278,-1.032717109,0.310854763,0.135200679,28_Jun_2023_08_50
0,0,10,10,202,11,2,13,4,98,14,2,15,14,104,29,-0.385250539,-0.024297673,0.166121721,1.616659403,-1.318298697,0.304623365,1.098056316,-0.055693634,0.031106189,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_50
0,12,6,12,216,12,2,12,10,112,20,8,15,17,108,34,-0.76599139,0.406815529,0.035595294,-1.004746079,0.12911047,-0.004344992,-0.849873781,0.633743703,0.217104271,-1.032722235,0.310866356,0.135184675,28_Jun_2023_08_50
1,0,8,0,231,10,1,14,0,108,16,0,15,18,110,32,-0.76599139,0.406815529,0.035595294,-1.004746079,0.12911047,-0.004344992,-0.849873781,0.633743703,0.217104271,-1.032722235,0.310866356,0.135184675,28_Jun_2023_08_50
0,1,4,1,230,14,0,13,4,113,17,10,17,19,101,34,-0.76599139,0.406815529,0.035595294,-1.004746079,0.12911047,-0.004344992,-0.849873781,0.633743703,0.217104271,-1.032722235,0.310866356,0.135184675,28_Jun_2023_08_50
8,0,8,3,241,9,3,15,8,116,14,6,12,11,142,31,-0.76599139,0.406815529,0.035595294,-1.004746079,0.12911047,-0.004344992,-0.849873781,0.633743703,0.217104271,-1.032722235,0.310866356,0.135184675,28_Jun_2023_08_50
0,0,2,2,231,13,3,14,4,116,19,9,14,14,138,33,-0.7659958,0.406803697,0.035571288,-1.004767537,0.129102349,-0.004345526,-0.849865615,0.633763254,0.217082784,-1.032726526,0.310876578,0.135170385,28_Jun_2023_08_50
5,0,5,10,237,10,1,12,1,115,18,10,13,19,159,31,-0.7659958,0.406803697,0.035571288,-1.004767537,0.129102349,-0.004345526,-0.849865615,0.633763254,0.217082784,-1.032726526,0.310876578,0.135170385,28_Jun_2023_08_50
0,2,3,5,233,10,3,15,7,119,17,11,13,13,129,33,-0.766004205,0.406793028,0.03555245,-1.004786611,0.129094392,-0.004340887,-0.849849641,0.633773327,0.217059463,-1.032731652,0.310888588,0.135162622,28_Jun_2023_08_50
0,0,2,4,226,10,0,16,4,126,18,16,11,14,132,30,-0.766004205,0.406793028,0.03555245,-1.004786611,0.129094392,-0.004340887,-0.849849641,0.633773327,0.217059463,-1.032731652,0.310888588,0.135162622,28_Jun_2023_08_50
0,0,3,6,219,12,7,13,1,120,21,17,10,17,236,36,-0.766004205,0.406793028,0.03555245,-1.004786611,0.129094392,-0.004340887,-0.849849641,0.633773327,0.217059463,-1.032731652,0.310888588,0.135162622,28_Jun_2023_08_50
0,0,3,3,214,9,10,12,5,129,17,13,14,15,260,35,-0.7660079,0.406784117,0.035535235,-1.004804611,0.129089355,-0.004342094,-0.849837065,0.633766651,0.217042491,-1.032729745,0.310897052,0.135156125,28_Jun_2023_08_50
0,0,5,8,208,11,3,10,4,121,19,16,11,18,260,31,-0.7660079,0.406784117,0.035535235,-1.004804611,0.129089355,-0.004342094,-0.849837065,0.633766651,0.217042491,-1.032729745,0.310897052,0.135156125,28_Jun_2023_08_50
1,0,4,14,201,11,6,13,7,127,18,13,13,15,241,33,-0.7660079,0.406784117,0.035535235,-1.004804611,0.129089355,-0.004342094,-0.849837065,0.633766651,0.217042491,-1.032729745,0.310897052,0.135156125,28_Jun_2023_08_50
0,0,7,14,204,14,5,14,1,126,17,8,15,17,220,33,-0.76600939,0.406778485,0.035519764,-1.004823208,0.129082307,-0.004342994,-0.849817872,0.633764446,0.217026085,-1.032669902,0.310898721,0.135148242,28_Jun_2023_08_50
0,0,10,19,207,10,5,14,4,124,16,7,14,17,219,32,-0.385249019,-0.024266299,0.166162893,1.616659403,-1.318298697,0.304623365,1.098108292,-0.055706881,0.031037087,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_50
1,1,7,16,210,15,5,15,4,127,14,6,14,14,301,29,-0.766012728,0.406774104,0.035503101,-1.004837632,0.129073918,-0.00434037,-0.84980613,0.633750081,0.217000559,-1.032727003,0.310900301,0.135154039,28_Jun_2023_08_50
0,14,11,4,212,11,5,15,4,129,15,8,10,16,308,29,-0.766012728,0.406774104,0.035503101,-1.004837632,0.129073918,-0.00434037,-0.84980613,0.633750081,0.217000559,-1.032727003,0.310900301,0.135154039,28_Jun_2023_08_50
0,1,7,8,211,12,0,17,3,130,18,13,15,17,352,28,-0.766012728,0.406774104,0.035503101,-1.004837632,0.129073918,-0.00434037,-0.84980613,0.633750081,0.217000559,-1.032727003,0.310900301,0.135154039,28_Jun_2023_08_50
0,0,8,7,213,14,5,13,4,132,15,18,11,17,344,31,-0.766009331,0.406771123,0.035490826,-1.004850626,0.129063457,-0.004339325,-0.849789321,0.63374114,0.216983676,-1.032723427,0.31090638,0.13515152,28_Jun_2023_08_50
0,0,4,10,210,13,2,18,1,130,15,14,15,16,267,31,-0.766009331,0.406771123,0.035490826,-1.004850626,0.129063457,-0.004339325,-0.849789321,0.63374114,0.216983676,-1.032723427,0.31090638,0.13515152,28_Jun_2023_08_50
3,13,9,13,211,12,3,19,4,135,14,12,14,18,372,30,-0.766009331,0.406771123,0.035490826,-1.004850626,0.129063457,-0.004339325,-0.849789321,0.63374114,0.216983676,-1.032723427,0.31090638,0.13515152,28_Jun_2023_08_50
2,2,6,11,212,12,3,17,4,132,19,19,12,19,320,29,-0.385234922,-0.024290891,0.166158974,1.616659403,-1.318298697,0.304623365,1.098092437,-0.055710632,0.031014143,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_50
1,1,6,5,216,17,4,16,7,134,19,19,11,15,345,28,-0.385234922,-0.024290891,0.166158974,1.616659403,-1.318298697,0.304623365,1.098092437,-0.055710632,0.031014143,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_50
0,2,10,9,219,13,4,19,4,140,17,17,11,17,360,26,-0.385234922,-0.024290891,0.166158974,1.616659403,-1.318298697,0.304623365,1.098092437,-0.055710632,0.031014143,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_50
0,0,11,14,220,10,4,14,4,128,16,16,14,17,728,29,-0.766008556,0.406756133,0.035461389,-1.004883647,0.129045561,-0.004332458,-0.849744916,0.633725703,0.216948405,-1.032760978,0.310921013,0.135148853,28_Jun_2023_08_50
0,0,8,11,218,14,5,17,4,132,17,19,15,15,723,32,-0.766008556,0.406756133,0.035461389,-1.004883647,0.129045561,-0.004332458,-0.849744916,0.633725703,0.216948405,-1.032760978,0.310921013,0.135148853,28_Jun_2023_08_50
1,0,11,6,216,14,3,15,6,136,16,13,15,17,720,28,-0.766008556,0.406756133,0.035461389,-1.004883647,0.129045561,-0.004332458,-0.849744916,0.633725703,0.216948405,-1.032760978,0.310921013,0.135148853,28_Jun_2023_08_50
0,0,8,11,216,17,4,15,6,136,15,14,14,15,718,31,-0.766008556,0.406756133,0.035461389,-1.004883647,0.129045561,-0.004332458,-0.849744916,0.633725703,0.216948405,-1.032760978,0.310921013,0.135148853,28_Jun_2023_08_50
0,1,9,9,218,15,4,19,0,139,17,16,15,17,731,27,-0.766007185,0.406753838,0.035450336,-1.004894614,0.129036546,-0.00432668,-0.849730611,0.633734584,0.216924921,-1.032695174,0.310917616,0.135135606,28_Jun_2023_08_50
0,1,6,9,213,16,5,17,6,137,13,19,15,16,720,27,-0.385234326,-0.024329504,0.166155115,1.616659403,-1.318298697,0.304623365,1.098064065,-0.055701364,0.031034056,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_50
0,0,11,10,213,14,7,18,5,140,18,20,15,16,758,28,-0.766006887,0.406751513,0.03543964,-1.004907131,0.129029721,-0.004318275,-0.849722385,0.633736014,0.21689713,-1.032711864,0.310914606,0.135139436,28_Jun_2023_08_50
0,0,10,9,215,16,3,16,4,141,14,18,13,19,758,29,-0.766006887,0.406751513,0.03543964,-1.004907131,0.129029721,-0.004318275,-0.849722385,0.633736014,0.21689713,-1.032711864,0.310914606,0.135139436,28_Jun_2023_08_50
0,1,6,12,217,17,6,17,0,141,20,18,16,17,774,27,-0.766006887,0.406751513,0.03543964,-1.004907131,0.129029721,-0.004318275,-0.849722385,0.633736014,0.21689713,-1.032711864,0.310914606,0.135139436,28_Jun_2023_08_50
