S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,
6,0,1,0,4,8,35,17,26,6,19,12,0,0,4,0,2,3,15,43,0,0,13,50,8,1,97,0,29,109,0,25,-0.996029437,0.637569666,-0.162449121,-1.165711045,0.444267124,-0.002643749,-1.035941482,0.63987124,0.351186156,-0.9495731,0.595296681,0.148494571,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
5,2,3,1,2,7,34,15,30,6,20,15,0,12,0,1,0,4,17,41,0,1,15,51,7,3,94,1,27,105,1,24,-0.996025205,0.637564063,-0.162444353,-1.165709496,0.444268078,-0.00262671,-1.035923123,0.640023589,0.351187497,-0.949681818,0.595316529,0.148511767,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
6,0,1,0,0,3,38,18,33,6,17,19,5,11,8,0,1,4,11,38,1,1,16,54,6,8,95,0,27,107,1,25,-0.996025205,0.637564063,-0.162444353,-1.165709496,0.444268078,-0.00262671,-1.035923123,0.640023589,0.351187497,-0.949681818,0.595316529,0.148511767,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
4,1,5,0,9,0,35,14,33,8,20,13,1,4,3,0,7,2,15,35,1,1,13,55,7,3,95,0,25,111,2,21,-0.996022105,0.63755542,-0.162441328,-1.165699363,0.444269329,-0.002609582,-1.035958171,0.64018476,0.351438671,-0.949747801,0.595351398,0.148515984,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
8,1,0,0,3,4,32,16,32,6,17,15,1,3,2,1,1,0,14,39,0,15,14,55,7,4,95,8,25,104,2,22,-0.996022105,0.63755542,-0.162441328,-1.165699363,0.444269329,-0.002609582,-1.035958171,0.64018476,0.351438671,-0.949747801,0.595351398,0.148515984,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
5,0,1,0,3,3,26,18,31,7,17,13,1,3,1,0,2,1,15,43,0,0,15,54,14,3,93,8,22,106,5,22,-0.996024132,0.637550175,-0.162440866,-1.165700316,0.444265366,-0.002593908,-1.036031008,0.640309215,0.351522386,-0.949796319,0.595380068,0.148522407,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
9,0,1,0,3,5,23,13,34,7,19,9,1,8,5,1,2,3,17,42,9,0,13,53,10,4,93,1,28,103,1,23,-0.996024132,0.637550175,-0.162440866,-1.165700316,0.444265366,-0.002593908,-1.036031008,0.640309215,0.351522386,-0.949796319,0.595380068,0.148522407,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
5,0,2,0,5,2,30,20,33,6,19,12,1,3,3,5,2,6,16,42,0,0,16,55,5,1,91,1,23,104,0,22,-0.996028483,0.637548149,-0.16244182,-1.165673614,0.444256276,-0.002588845,-1.036100507,0.640367508,0.351517081,-0.949849665,0.595405936,0.148528486,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
4,0,1,0,7,7,30,17,34,7,20,15,9,2,1,0,2,4,14,43,0,0,14,50,7,1,95,1,20,106,1,21,-0.996028483,0.637548149,-0.16244182,-1.165673614,0.444256276,-0.002588845,-1.036100507,0.640367508,0.351517081,-0.949849665,0.595405936,0.148528486,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
6,0,1,0,6,5,28,14,35,7,19,13,1,4,0,0,7,3,15,37,0,1,13,54,6,9,91,1,29,105,1,15,-0.996036768,0.63754493,-0.162443951,-1.165676117,0.444255501,-0.002571332,-1.036067843,0.640429556,0.351530969,-0.949901044,0.595428586,0.148531437,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
5,1,2,14,3,10,31,16,33,10,19,13,2,6,2,0,1,0,15,41,1,0,14,54,8,3,96,1,23,106,1,24,-0.996036768,0.63754493,-0.162443951,-1.165676117,0.444255501,-0.002571332,-1.036067843,0.640429556,0.351530969,-0.949901044,0.595428586,0.148531437,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
7,0,2,0,3,0,26,13,35,6,19,13,2,0,1,0,6,3,16,40,0,4,14,52,8,3,94,5,23,105,0,23,-0.996039152,0.637547195,-0.162444025,-1.165662885,0.444246054,-0.002560347,-1.0361377,0.640504062,0.351525664,-0.949970067,0.595459998,0.148535624,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
5,0,2,0,2,5,26,12,34,7,17,11,13,2,2,1,2,3,16,41,1,7,15,57,9,2,99,0,23,105,1,22,-0.996038079,0.637556911,-0.162439227,-1.16561234,0.44419983,-0.002556169,-1.03641808,0.640550137,0.351340443,-0.950013995,0.595489562,0.14854005,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
4,0,11,0,2,1,26,18,33,6,17,8,2,0,2,1,1,3,17,40,0,1,14,54,5,4,96,2,24,103,5,23,-0.996038079,0.637556911,-0.162439227,-1.16561234,0.44419983,-0.002556169,-1.03641808,0.640550137,0.351340443,-0.950013995,0.595489562,0.14854005,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
9,0,2,0,7,3,25,16,37,5,13,14,2,1,1,0,5,3,16,41,0,0,14,50,9,9,95,0,23,106,0,19,-0.996044159,0.637560487,-0.162435353,-1.165618539,0.444185555,-0.002524735,-1.036401629,0.640651822,0.351382762,-0.950051844,0.595526814,0.148552075,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
8,0,2,0,7,2,26,14,33,7,15,15,1,8,1,0,4,5,15,40,1,0,13,56,10,3,96,1,23,105,2,26,-0.996044159,0.637560487,-0.162435353,-1.165618539,0.444185555,-0.002524735,-1.036401629,0.640651822,0.351382762,-0.950051844,0.595526814,0.148552075,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
