S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
19,1,27,30,33,0,2,14,4,4,10,14,0,15,0,0,1,1,3,11,20,1,64,30,2,90,3,0,30,7,0,0,1.44802463054657,0.597262382507324,0.880903840065002,1.55446910858154,0.396908611059189,0.630357086658478,1.29335939884186,0.12446291744709,0.63203775882721,1.28395581245422,0.302618116140366,0.780441820621491,16_Aug_2023_11_24
20,0,28,31,31,0,1,2,2,3,10,13,1,14,0,1,1,0,3,11,24,2,63,32,0,92,3,0,29,5,3,0,1.44796848297119,0.597251892089844,0.880855739116669,1.55463349819183,0.396859467029572,0.630417704582214,1.29326808452606,0.124496802687645,0.631611049175262,1.28399693965912,0.302608340978622,0.780296146869659,16_Aug_2023_11_24
20,4,30,27,31,0,0,0,12,9,5,14,1,11,0,0,1,0,2,12,24,3,65,30,0,88,7,14,28,9,0,1,1.44794738292694,0.597215533256531,0.880777359008789,1.55464220046997,0.396853744983673,0.63045734167099,1.29347932338715,0.124442368745804,0.631621479988098,1.2840621471405,0.302587479352951,0.780165553092956,16_Aug_2023_11_24
20,0,31,26,31,0,0,0,1,7,8,16,1,13,0,0,0,0,5,6,24,6,65,28,0,87,2,1,29,8,7,0,1.44794738292694,0.597215533256531,0.880777359008789,1.55464220046997,0.396853744983673,0.63045734167099,1.29347932338715,0.124442368745804,0.631621479988098,1.2840621471405,0.302587479352951,0.780165553092956,16_Aug_2023_11_24
21,0,30,31,31,0,5,0,5,7,10,12,1,16,0,0,1,1,2,9,23,7,67,30,1,88,1,0,29,8,1,0,1.44790613651276,0.597191333770752,0.880714595317841,1.55481708049774,0.396886974573135,0.630426228046417,1.29383969306946,0.124471172690392,0.631911873817444,1.28406870365143,0.302538841962814,0.780068695545197,16_Aug_2023_11_24
20,0,28,28,34,0,4,0,0,7,10,16,0,14,14,0,1,0,2,11,20,7,65,29,0,87,2,0,27,6,1,0,1.44790613651276,0.597191333770752,0.880714595317841,1.55481708049774,0.396886974573135,0.630426228046417,1.29383969306946,0.124471172690392,0.631911873817444,1.28406870365143,0.302538841962814,0.780068695545197,16_Aug_2023_11_24
20,0,29,29,32,0,0,0,5,8,9,16,1,13,4,1,0,0,2,11,23,5,65,31,0,84,2,0,30,13,1,1,1.44786548614502,0.597173094749451,0.880644142627716,1.55489861965179,0.396830767393112,0.630476593971252,1.29399883747101,0.124430954456329,0.631809234619141,1.28419852256775,0.302469491958618,0.779931664466858,16_Aug_2023_11_24
22,2,28,32,31,1,2,0,7,5,9,16,1,10,0,0,0,0,1,10,23,11,61,29,0,87,4,0,29,9,2,15,1.44786548614502,0.597173094749451,0.880644142627716,1.55489861965179,0.396830767393112,0.630476593971252,1.29399883747101,0.124430954456329,0.631809234619141,1.28419852256775,0.302469491958618,0.779931664466858,16_Aug_2023_11_24
21,1,31,29,33,4,3,0,7,12,11,16,0,10,0,1,14,3,0,12,22,6,65,30,1,90,2,2,30,7,0,1,1.44784379005432,0.597145617008209,0.880594313144684,1.55505204200745,0.396843105554581,0.630394041538239,1.29377734661102,0.124420866370201,0.631166994571686,1.28425276279449,0.302414745092392,0.779787242412567,16_Aug_2023_11_24
20,0,33,29,31,13,2,1,5,5,10,16,0,11,1,0,5,1,2,10,24,7,66,32,0,90,3,0,29,7,2,0,1.44784379005432,0.597145617008209,0.880594313144684,1.55505204200745,0.396843105554581,0.630394041538239,1.29377734661102,0.124420866370201,0.631166994571686,1.28425276279449,0.302414745092392,0.779787242412567,16_Aug_2023_11_24
19,4,28,31,34,0,3,0,4,9,11,13,0,12,0,0,0,0,0,12,22,5,59,29,4,87,0,8,27,8,0,0,1.44781672954559,0.597215056419373,0.880493819713593,1.55510151386261,0.396916508674622,0.630330145359039,1.29392349720001,0.124249666929245,0.630845189094543,1.28430414199829,0.302396565675735,0.779646933078766,16_Aug_2023_11_24
17,1,29,28,32,3,1,0,4,6,10,12,0,11,1,0,1,1,3,9,25,3,65,27,0,88,0,0,28,8,2,0,1.44781672954559,0.597215056419373,0.880493819713593,1.55510151386261,0.396916508674622,0.630330145359039,1.29392349720001,0.124249666929245,0.630845189094543,1.28430414199829,0.302396565675735,0.779646933078766,16_Aug_2023_11_24
17,1,26,29,32,0,1,0,1,6,9,14,1,11,0,0,2,0,5,8,23,8,62,24,0,88,2,1,30,12,0,1,1.44778323173523,0.597194492816925,0.880422472953796,1.55519938468933,0.396924138069153,0.630310714244843,1.29403853416443,0.124199591577053,0.63071608543396,1.28437125682831,0.302334994077682,0.779491305351257,16_Aug_2023_11_24
18,2,27,29,35,0,2,0,3,7,11,13,1,12,1,0,3,0,3,8,25,7,64,30,1,88,2,0,29,8,0,0,1.44778323173523,0.597194492816925,0.880422472953796,1.55519938468933,0.396924138069153,0.630310714244843,1.29403853416443,0.124199591577053,0.63071608543396,1.28437125682831,0.302334994077682,0.779491305351257,16_Aug_2023_11_24
