S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,7,39,125,0,3,10,11,8,54,16,4,2,10,14,8,3,10,15,23,10,51,17,2,46,3,0,19,15,0,0,1.50758993625641,0.622715175151825,0.861656129360199,1.61376893520355,0.408660054206848,0.618880212306976,1.29968285560608,0.659533798694611,0.38330203294754,1.29280018806458,0.585565149784088,0.602530121803284,16_Aug_2023_11_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,7,43,119,0,3,0,11,4,56,16,0,0,8,10,7,3,10,14,24,14,52,15,1,49,5,1,19,16,0,0,1.50760555267334,0.62269926071167,0.861655235290527,1.61372852325439,0.408707320690155,0.618810951709747,1.29961252212524,0.65962815284729,0.383377015590668,1.29274845123291,0.585604548454285,0.602584838867188,16_Aug_2023_11_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,9,41,117,0,3,1,14,12,55,14,5,1,9,12,8,5,9,14,23,12,54,17,2,48,4,1,22,10,2,0,1.50760555267334,0.62269926071167,0.861655235290527,1.61372852325439,0.408707320690155,0.618810951709747,1.29961252212524,0.65962815284729,0.383377015590668,1.29274845123291,0.585604548454285,0.602584838867188,16_Aug_2023_11_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,7,38,118,0,3,0,12,10,49,16,3,0,12,13,8,3,11,14,23,9,54,17,2,45,0,0,20,16,0,0,1.50763177871704,0.622695088386535,0.861661553382874,1.61368632316589,0.408761918544769,0.618711471557617,1.29948043823242,0.659849286079407,0.383493691682816,1.29269659519196,0.585653245449066,0.602633893489838,16_Aug_2023_11_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,11,42,118,0,5,0,11,8,48,14,3,0,11,13,7,6,11,7,20,11,53,19,1,50,6,1,21,16,2,0,1.50764763355255,0.622665226459503,0.861642956733704,1.61364960670471,0.408799558877945,0.618618488311768,1.29944944381714,0.659858345985413,0.383523315191269,1.29261493682861,0.585712611675262,0.6026930809021,16_Aug_2023_11_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,8,39,118,0,0,11,11,6,50,18,1,0,10,10,8,3,10,11,25,10,54,16,6,46,5,1,26,18,10,0,1.50764763355255,0.622665226459503,0.861642956733704,1.61364960670471,0.408799558877945,0.618618488311768,1.29944944381714,0.659858345985413,0.383523315191269,1.29261493682861,0.585712611675262,0.6026930809021,16_Aug_2023_11_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,12,40,122,0,4,0,11,9,55,16,3,0,11,12,7,7,12,7,23,11,54,15,0,48,2,0,21,14,0,0,1.50766921043396,0.622659265995026,0.861645579338074,1.61361110210419,0.408839106559753,0.618534862995148,1.29937434196472,0.659960329532623,0.383590370416641,1.29256105422974,0.585757315158844,0.602742075920105,16_Aug_2023_11_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,10,41,117,0,3,15,13,8,53,16,3,0,10,16,8,5,11,13,27,10,54,15,6,42,5,0,18,14,1,6,1.50766921043396,0.622659265995026,0.861645579338074,1.61361110210419,0.408839106559753,0.618534862995148,1.29937434196472,0.659960329532623,0.383590370416641,1.29256105422974,0.585757315158844,0.602742075920105,16_Aug_2023_11_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,8,40,119,0,5,1,13,11,51,17,0,0,9,17,9,3,10,8,25,10,53,16,10,50,5,0,22,17,5,3,1.50768887996674,0.622641742229462,0.86163854598999,1.61357855796814,0.408864557743073,0.618462681770325,1.29921817779541,0.660155415534973,0.383681237697601,1.29250705242157,0.585798382759094,0.602789580821991,16_Aug_2023_11_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,9,41,120,0,6,1,12,5,53,14,6,0,10,11,7,4,11,12,24,12,54,17,2,48,1,0,20,16,2,0,1.50768887996674,0.622641742229462,0.86163854598999,1.61357855796814,0.408864557743073,0.618462681770325,1.29921817779541,0.660155415534973,0.383681237697601,1.29250705242157,0.585798382759094,0.602789580821991,16_Aug_2023_11_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
