S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,12,26,41,0,7,0,9,9,11,3,12,0,0,10,2,4,18,11,19,7,34,21,6,55,6,1,11,2,1,3,1.54392123222351,0.642722606658935,0.772203028202057,1.66650700569153,0.411583513021469,0.568510055541992,1.38680231571198,0.647799849510193,0.322366684675217,1.33600330352783,0.562772452831268,0.514814257621765,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,9,28,54,0,3,0,10,1,13,3,0,2,8,5,3,5,17,13,16,7,38,20,6,54,7,4,13,5,0,1,1.54392123222351,0.642722606658935,0.772203028202057,1.66650700569153,0.411583513021469,0.568510055541992,1.38680231571198,0.647799849510193,0.322366684675217,1.33600330352783,0.562772452831268,0.514814257621765,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10,7,32,49,0,3,0,12,0,15,2,2,0,0,7,4,4,17,16,21,7,38,19,6,64,6,0,13,2,0,1,1.54392564296722,0.642715096473694,0.772177517414093,1.6664856672287,0.411599427461624,0.568478882312775,1.38676011562347,0.647781431674957,0.322350442409515,1.33598947525024,0.56274539232254,0.514799058437347,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,10,32,63,0,2,0,12,3,13,3,1,0,0,7,2,4,18,8,14,6,39,22,5,59,6,1,14,3,0,6,1.54392564296722,0.642715096473694,0.772177517414093,1.6664856672287,0.411599427461624,0.568478882312775,1.38676011562347,0.647781431674957,0.322350442409515,1.33598947525024,0.56274539232254,0.514799058437347,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,14,33,60,0,3,1,9,4,14,5,1,6,1,6,2,4,22,10,14,11,37,22,5,56,7,0,13,10,7,0,1.54389810562134,0.642710149288178,0.77216762304306,1.66645085811615,0.411574810743332,0.568565309047699,1.38670289516449,0.647748470306397,0.322325855493546,1.3359637260437,0.562714219093323,0.514786958694458,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,11,25,61,5,4,14,11,11,7,4,1,13,9,4,3,4,17,12,13,8,39,24,4,59,5,0,11,1,0,1,1.54389405250549,0.642694294452667,0.772139608860016,1.66642761230469,0.411594301462174,0.568520069122314,1.38664877414703,0.647724151611328,0.322307854890823,1.33587300777435,0.562761664390564,0.514805674552918,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,10,33,62,2,1,0,10,4,13,4,1,2,2,4,0,4,15,10,14,6,37,23,1,57,4,1,14,2,1,0,1.54389405250549,0.642694294452667,0.772139608860016,1.66642761230469,0.411594301462174,0.568520069122314,1.38664877414703,0.647724151611328,0.322307854890823,1.33587300777435,0.562761664390564,0.514805674552918,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,9,29,56,0,3,0,9,6,16,6,0,2,2,8,1,9,17,12,13,6,37,20,3,52,6,0,16,3,1,0,1.54388546943665,0.642684876918793,0.772122442722321,1.66642045974731,0.411663562059402,0.568400621414185,1.38661205768585,0.647695600986481,0.322279870510101,1.33586072921753,0.562683165073395,0.514782130718231,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,9,27,59,0,4,0,9,3,11,0,0,1,3,10,4,4,19,9,13,7,35,23,2,47,6,0,15,6,0,1,1.54388546943665,0.642684876918793,0.772122442722321,1.66642045974731,0.411663562059402,0.568400621414185,1.38661205768585,0.647695600986481,0.322279870510101,1.33586072921753,0.562683165073395,0.514782130718231,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,10,31,59,1,0,1,12,5,10,3,1,0,1,7,2,1,17,6,13,1,32,22,1,45,7,0,17,5,0,0,1.54387772083282,0.642678201198578,0.772108972072601,1.6664080619812,0.411727964878082,0.568288564682007,1.38656055927277,0.647675096988678,0.322263926267624,1.33589732646942,0.562634944915772,0.514759600162506,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
