S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,6,30,19,0,15,0,18,10,32,8,0,0,0,17,0,11,11,9,27,9,73,16,3,52,3,21,33,0,1,0,1.60689175128937,0.64533656835556,0.804728448390961,1.72447538375855,0.402797698974609,0.597156465053558,1.39676320552826,0.627929866313934,0.366938501596451,1.37472116947174,0.529588282108307,0.563319265842438,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,15,30,17,0,15,0,16,7,30,12,0,0,0,18,0,10,12,13,26,9,73,14,2,53,8,19,39,0,2,0,1.60689175128937,0.64533656835556,0.804728448390961,1.72447538375855,0.402797698974609,0.597156465053558,1.39676320552826,0.627929866313934,0.366938501596451,1.37472116947174,0.529588282108307,0.563319265842438,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,10,30,18,0,15,0,17,5,30,8,1,0,3,12,1,9,13,17,25,7,75,14,2,53,7,18,45,0,11,0,1.60693347454071,0.645343005657196,0.804673850536346,1.72446417808533,0.402702301740646,0.597240507602692,1.39678299427032,0.628003180027008,0.366919785737991,1.37470924854279,0.529675841331482,0.563337802886963,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,11,29,18,0,10,0,16,4,33,9,1,0,1,14,0,11,9,17,23,13,72,17,3,53,7,22,39,0,0,0,1.6069827079773,0.645354807376862,0.804613530635834,1.72450923919678,0.402793079614639,0.59716922044754,1.39679682254791,0.628054976463318,0.36692750453949,1.37469244003296,0.529775202274323,0.563352346420288,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,15,28,13,0,14,1,14,4,32,11,7,0,6,16,0,14,12,22,25,5,78,13,2,53,8,24,41,0,0,3,1.6069827079773,0.645354807376862,0.804613530635834,1.72450923919678,0.402793079614639,0.59716922044754,1.39679682254791,0.628054976463318,0.36692750453949,1.37469244003296,0.529775202274323,0.563352346420288,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,11,30,13,0,7,4,15,5,31,10,0,0,0,18,0,9,11,21,25,11,76,14,2,53,7,20,39,0,0,2,1.60701501369476,0.645366311073303,0.804603457450867,1.7245227098465,0.402798533439636,0.597157537937164,1.39681112766266,0.628103494644165,0.366890460252762,1.37468016147614,0.52987539768219,0.563368380069733,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,8,30,13,4,10,0,16,7,28,9,1,0,2,19,1,1,11,26,26,9,77,12,3,51,6,23,39,0,2,0,1.60701501369476,0.645366311073303,0.804603457450867,1.7245227098465,0.402798533439636,0.597157537937164,1.39681112766266,0.628103494644165,0.366890460252762,1.37468016147614,0.52987539768219,0.563368380069733,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,10,31,12,0,8,0,20,5,32,12,1,0,2,20,0,15,14,25,26,8,82,16,2,54,7,20,40,0,0,0,1.60704410076141,0.645381927490234,0.804607510566711,1.72453105449677,0.402791738510132,0.597171306610107,1.39684021472931,0.628210842609406,0.366901904344559,1.37457680702209,0.529993832111359,0.563411235809326,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,7,30,14,0,12,0,15,3,32,11,0,0,6,17,0,9,10,18,24,11,83,15,2,52,7,22,39,0,0,0,1.60704410076141,0.645381927490234,0.804607510566711,1.72453105449677,0.402791738510132,0.597171306610107,1.39684021472931,0.628210842609406,0.366901904344559,1.37457680702209,0.529993832111359,0.563411235809326,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,12,27,19,0,11,0,14,9,28,10,0,0,3,15,0,6,16,22,26,11,77,14,3,53,7,20,36,0,5,0,1.60706496238709,0.645399928092956,0.804597079753876,1.72452783584595,0.402782082557678,0.597175121307373,1.39693069458008,0.628278732299805,0.366879910230637,1.3745231628418,0.530174374580383,0.563443064689636,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,11,26,16,6,11,0,16,5,26,10,0,0,3,18,3,9,12,23,27,5,83,16,3,53,3,25,42,0,0,0,1.60706496238709,0.645399928092956,0.804597079753876,1.72452783584595,0.402782082557678,0.597175121307373,1.39693069458008,0.628278732299805,0.366879910230637,1.3745231628418,0.530174374580383,0.563443064689636,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,11,28,13,0,18,8,14,0,26,11,2,0,2,16,1,8,11,28,27,6,80,14,8,55,10,19,42,0,0,0,1.60711276531219,0.645422875881195,0.804586827754974,1.72453010082245,0.402771919965744,0.597201764583588,1.39696073532105,0.628331422805786,0.366863131523132,1.3746052980423,0.530285537242889,0.563407063484192,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,15,31,16,14,13,0,19,9,35,12,0,0,1,14,0,6,13,23,28,11,80,11,5,56,7,20,39,0,2,0,1.60711276531219,0.645422875881195,0.804586827754974,1.72453010082245,0.402771919965744,0.597201764583588,1.39696073532105,0.628331422805786,0.366863131523132,1.3746052980423,0.530285537242889,0.563407063484192,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
