time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
3876.75,3.91,0.09,0.31,-0.31,0.55,0.76,-0.04,-0.15,-0.17,566,269,247,335,406,59,249,0,0,69,30,2
3876.75,3.66,0.23,0.51,-0.31,0.55,0.76,-0.04,-0.15,-0.17,566,269,248,335,406,60,248,0,0,69,29,2
3876.76,3.69,0.28,0.88,-0.32,0.55,0.77,-0.04,-0.15,-0.17,567,269,248,335,406,60,249,1,0,69,30,2
3876.76,3.03,0.85,0.99,-0.31,0.55,0.77,-0.04,-0.15,-0.17,567,269,249,335,406,59,248,0,0,70,30,2
3876.77,2.92,0.90,1.13,-0.31,0.55,0.77,-0.04,-0.15,-0.17,567,269,248,335,407,60,249,0,0,70,31,2
3876.77,2.54,0.79,1.52,-0.32,0.55,0.77,-0.04,-0.15,-0.17,568,269,249,336,406,60,249,0,0,69,31,2
3876.78,2.45,1.17,1.48,-0.31,0.55,0.77,-0.04,-0.15,-0.17,567,268,248,336,407,60,249,0,0,70,31,2
3876.78,2.20,1.23,1.69,-0.32,0.55,0.77,-0.04,-0.15,-0.17,567,268,249,337,406,60,248,0,0,69,30,2
3876.79,2.51,1.27,1.63,-0.31,0.56,0.76,-0.04,-0.15,-0.17,568,269,248,336,406,60,249,0,0,70,31,2
3876.79,2.69,1.15,1.78,-0.31,0.56,0.76,-0.04,-0.15,-0.17,568,269,248,335,406,60,249,0,0,69,32,2
3876.80,3.01,1.23,1.73,-0.32,0.56,0.77,-0.04,-0.15,-0.17,567,269,249,336,406,60,249,0,0,69,31,2
3876.80,4.21,1.09,1.74,-0.32,0.56,0.77,-0.05,-0.15,-0.17,568,269,249,336,407,60,249,0,0,69,32,2
3876.81,5.42,0.83,1.67,-0.32,0.57,0.77,-0.05,-0.15,-0.17,568,269,249,336,406,59,248,0,0,69,32,2
3876.81,5.82,0.53,1.48,-0.32,0.57,0.77,-0.04,-0.15,-0.17,569,269,249,336,406,60,249,0,0,69,32,2
3876.82,6.85,0.86,1.55,-0.32,0.56,0.78,-0.04,-0.15,-0.17,568,269,249,336,406,59,248,0,0,69,31,2
3876.82,7.48,0.48,1.28,-0.32,0.55,0.79,-0.04,-0.15,-0.17,568,269,249,335,406,60,247,0,0,69,37,2
3876.83,7.97,0.70,1.32,-0.32,0.56,0.79,-0.04,-0.15,-0.17,569,269,249,334,406,60,248,0,0,69,37,2
3876.83,8.30,0.73,1.09,-0.32,0.56,0.80,-0.04,-0.15,-0.17,569,269,249,334,406,59,248,0,0,69,37,2
3876.84,9.02,0.55,1.10,-0.32,0.55,0.80,-0.05,-0.15,-0.17,569,269,249,334,405,60,248,0,0,69,36,2
3876.84,8.96,0.49,1.08,-0.32,0.55,0.80,-0.05,-0.15,-0.17,569,269,249,335,406,59,248,0,0,69,35,2
3876.85,8.93,0.45,1.23,-0.32,0.52,0.79,-0.05,-0.15,-0.17,570,268,249,334,405,59,248,0,0,69,37,2
3876.85,7.87,0.70,1.08,-0.32,0.56,0.81,-0.04,-0.15,-0.17,570,268,249,334,405,59,248,0,0,69,37,2
3876.86,7.61,1.22,1.98,-0.30,0.53,0.81,-0.04,-0.15,-0.17,569,269,249,334,406,59,248,0,0,70,39,2
3876.86,6.61,0.99,2.21,-0.30,0.52,0.80,-0.04,-0.16,-0.17,570,269,249,332,405,60,248,0,0,70,39,2
3876.87,5.70,0.38,2.10,-0.31,0.53,0.80,-0.04,-0.16,-0.17,570,269,249,333,405,60,248,0,1,69,38,2
3876.87,5.06,0.09,2.66,-0.30,0.53,0.80,-0.04,-0.16,-0.17,569,269,249,332,406,60,248,0,0,70,39,2
3876.88,4.53,-0.16,2.51,-0.31,0.52,0.78,-0.04,-0.15,-0.17,570,269,249,333,406,60,248,0,0,70,39,2
3876.88,4.27,-0.14,2.14,-0.30,0.53,0.79,-0.04,-0.15,-0.17,570,269,249,333,405,60,249,0,0,69,39,2
3876.89,3.45,-0.09,2.50,-0.30,0.52,0.79,-0.04,-0.15,-0.17,570,269,248,333,405,59,248,0,0,69,40,2
3876.89,3.28,-0.80,2.64,-0.31,0.54,0.79,-0.04,-0.15,-0.17,570,270,248,331,406,59,248,0,0,69,39,2
3876.90,3.61,-1.88,2.49,-0.31,0.53,0.79,-0.04,-0.15,-0.17,570,269,248,330,405,60,248,0,0,69,39,2
3876.90,3.79,-2.46,2.28,-0.31,0.53,0.79,-0.04,-0.15,-0.17,570,270,249,330,405,60,249,0,0,69,39,2
3876.91,3.83,-2.90,2.04,-0.30,0.52,0.78,-0.04,-0.15,-0.17,570,269,248,329,405,59,248,0,0,69,40,2
3876.91,3.88,-3.41,2.06,-0.30,0.53,0.78,-0.04,-0.15,-0.17,570,269,248,329,405,60,248,0,0,69,39,2
3876.92,3.13,-4.26,2.02,-0.30,0.52,0.78,-0.04,-0.15,-0.17,570,270,248,330,405,60,249,0,0,69,43,2
3876.92,2.45,-4.87,2.30,-0.31,0.52,0.78,-0.04,-0.15,-0.17,569,270,248,329,405,59,248,0,0,70,40,2
3876.93,1.78,-4.87,1.98,-0.32,0.52,0.76,-0.04,-0.15,-0.17,570,269,247,328,405,59,249,0,0,70,42,2
3876.93,1.59,-4.76,2.10,-0.33,0.52,0.77,-0.04,-0.15,-0.17,570,270,247,328,405,59,248,0,0,69,45,2
3876.94,1.23,-3.96,1.95,-0.33,0.52,0.77,-0.04,-0.15,-0.17,570,270,247,329,405,60,248,0,0,70,46,2
3876.94,0.50,-3.76,1.86,-0.32,0.52,0.76,-0.05,-0.15,-0.17,570,270,246,327,405,60,248,0,0,70,47,2
3876.95,0.05,-3.83,1.59,-0.32,0.52,0.78,-0.05,-0.15,-0.17,569,270,246,328,405,59,248,0,0,70,47,2
3876.95,-0.09,-4.17,1.74,-0.31,0.52,0.77,-0.05,-0.15,-0.17,570,270,246,328,405,60,248,0,0,69,46,2
3876.96,-0.67,-4.33,1.78,-0.30,0.52,0.76,-0.05,-0.15,-0.17,570,270,245,328,406,59,248,0,0,70,46,2
3876.96,-0.80,-4.28,1.72,-0.30,0.52,0.76,-0.05,-0.15,-0.17,569,269,245,328,406,60,249,0,0,69,46,2
3876.97,-1.42,-4.30,1.76,-0.30,0.52,0.75,-0.05,-0.15,-0.16,570,269,245,327,406,59,248,0,0,70,47,2
3876.97,-1.90,-4.67,1.92,-0.30,0.52,0.76,-0.05,-0.15,-0.16,570,269,244,326,406,59,248,0,0,69,46,2
3876.98,-2.00,-5.11,1.94,-0.30,0.52,0.75,-0.05,-0.15,-0.16,571,270,244,327,406,60,248,0,0,70,47,2
3876.98,-2.70,-5.27,2.07,-0.30,0.53,0.74,-0.04,-0.15,-0.17,570,270,244,326,406,59,248,0,0,69,47,2
3876.99,-2.63,-5.14,1.91,-0.31,0.53,0.73,-0.04,-0.15,-0.17,571,269,244,326,406,58,248,0,0,70,48,2
3876.99,-2.66,-5.10,1.72,-0.32,0.54,0.72,-0.05,-0.15,-0.17,571,270,244,326,406,59,248,0,0,69,49,2
3877.00,-1.86,-4.76,1.61,-0.32,0.54,0.73,-0.05,-0.15,-0.17,570,270,244,326,406,59,248,0,0,70,50,2
3877.00,-0.99,-4.57,1.24,-0.33,0.54,0.73,-0.05,-0.15,-0.17,570,270,244,327,405,59,249,0,0,69,50,2
3877.01,0.25,-4.46,0.73,-0.33,0.54,0.72,-0.05,-0.15,-0.17,571,269,244,327,406,59,248,0,0,69,51,2
3877.01,1.44,-4.27,0.24,-0.33,0.54,0.72,-0.05,-0.15,-0.17,571,270,244,327,406,59,248,0,0,69,51,2
3877.02,2.59,-4.28,-2.17,-0.33,0.56,0.73,-0.04,-0.15,-0.17,571,270,244,327,406,59,249,0,0,69,52,2
3877.02,3.33,-4.03,-0.68,-0.32,0.55,0.73,-0.04,-0.15,-0.17,572,271,244,326,406,60,248,0,0,70,53,2
3877.03,4.59,-3.91,-1.12,-0.32,0.55,0.73,-0.04,-0.15,-0.17,572,269,244,326,406,60,249,0,0,69,52,2
3877.03,5.08,-3.48,-1.15,-0.32,0.55,0.73,-0.05,-0.15,-0.17,572,270,244,327,406,60,248,0,0,69,54,2
3877.04,5.35,-3.60,-1.04,-0.32,0.55,0.74,-0.05,-0.15,-0.17,572,270,245,326,406,60,248,0,0,69,54,2
3877.04,5.60,-3.51,-1.27,-0.32,0.55,0.72,-0.05,-0.15,-0.17,573,270,244,326,406,60,248,0,0,69,54,2
3877.05,6.02,-3.21,-1.18,-0.32,0.54,0.73,-0.05,-0.15,-0.17,573,270,244,327,406,59,248,0,0,69,55,2
