time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
174.41,4.72,-0.53,3.93,0.92,0.32,-0.00,0.25,-0.02,0.16,217,211,611,332,78,0,554,81,0,204,193,0
174.42,4.92,-0.53,3.60,0.92,0.32,0.00,0.25,-0.02,0.15,217,210,609,333,77,0,553,82,0,204,192,0
174.42,5.60,-0.47,3.45,0.93,0.32,0.00,0.25,-0.02,0.15,217,210,610,333,77,0,554,81,0,203,192,0
174.43,5.91,-0.81,3.29,0.93,0.32,0.00,0.25,-0.02,0.15,217,210,610,333,78,0,554,81,0,204,191,0
174.43,6.22,-0.54,3.25,0.94,0.32,0.00,0.26,-0.03,0.15,217,210,610,332,78,0,554,81,0,204,192,0
174.44,6.82,-0.56,2.96,0.94,0.32,0.00,0.26,-0.03,0.15,217,210,610,332,78,0,553,81,0,203,193,0
174.44,6.87,-0.67,3.02,0.94,0.32,0.01,0.26,-0.03,0.15,217,210,610,333,77,0,554,81,0,204,193,0
174.45,7.03,-0.72,3.09,0.94,0.32,0.00,0.26,-0.02,0.16,217,210,610,333,78,0,554,81,0,203,193,0
174.45,7.23,-0.99,3.18,0.94,0.31,0.02,0.26,-0.02,0.16,217,210,610,332,78,0,554,81,0,203,193,0
174.46,6.86,-1.16,3.04,0.94,0.31,0.02,0.25,-0.02,0.16,217,210,611,333,77,0,554,82,0,204,193,0
174.46,6.60,-1.09,3.26,0.93,0.31,0.01,0.25,-0.02,0.16,217,210,610,333,77,0,553,80,0,204,194,0
174.47,5.96,-1.23,3.26,0.94,0.31,0.02,0.25,-0.02,0.16,217,210,610,333,76,0,554,81,0,204,193,0
174.47,5.57,-1.44,3.05,0.93,0.31,0.02,0.25,-0.02,0.15,217,210,610,333,73,0,553,81,0,204,194,0
174.48,5.20,-1.85,3.04,0.93,0.30,0.02,0.25,-0.02,0.15,217,210,610,333,70,0,553,81,0,204,194,0
174.48,4.65,-1.93,2.89,0.93,0.31,0.01,0.25,-0.02,0.16,217,210,610,334,72,0,553,81,0,204,194,0
174.49,4.17,-2.20,2.90,0.94,0.31,0.00,0.25,-0.02,0.16,217,210,610,333,70,0,553,81,0,204,194,0
174.49,3.75,-2.34,2.93,0.93,0.31,0.00,0.25,-0.02,0.16,217,209,610,334,71,0,553,81,0,203,195,0
174.50,3.63,-2.30,2.84,0.93,0.31,0.00,0.26,-0.02,0.16,217,210,610,333,72,0,554,80,0,203,195,0
174.50,3.17,-2.41,2.97,0.93,0.31,0.00,0.26,-0.02,0.16,217,210,610,333,72,0,553,81,0,204,196,0
174.51,3.06,-2.31,2.88,0.92,0.32,-0.00,0.25,-0.03,0.15,217,211,610,332,71,0,553,81,0,204,196,0
174.51,3.12,-2.07,2.70,0.92,0.32,-0.00,0.25,-0.03,0.15,217,210,611,333,71,0,553,81,0,204,196,0
174.52,3.37,-2.14,2.62,0.92,0.32,-0.00,0.25,-0.03,0.15,217,210,610,334,70,0,553,81,0,204,196,0
174.52,3.37,-2.00,2.30,0.92,0.32,-0.00,0.25,-0.02,0.16,217,210,610,334,72,0,553,82,0,203,196,0
174.53,3.90,-1.88,1.85,0.92,0.32,-0.00,0.25,-0.02,0.16,217,211,610,334,72,0,553,82,0,204,195,0
174.53,4.02,-1.50,1.74,0.92,0.32,-0.00,0.25,-0.02,0.16,217,211,611,334,72,0,552,81,0,204,195,0
174.54,3.77,-1.63,1.54,0.92,0.32,-0.00,0.26,-0.02,0.15,217,211,610,334,72,0,553,81,0,204,196,0
174.54,4.00,-1.40,1.09,0.92,0.32,-0.01,0.26,-0.02,0.15,217,211,610,334,70,0,553,82,0,203,195,0
174.55,4.13,-0.93,1.04,0.92,0.32,-0.00,0.26,-0.02,0.16,216,210,611,335,72,0,553,82,0,204,195,0
174.55,4.41,-1.17,1.00,0.93,0.32,-0.00,0.26,-0.02,0.16,217,210,610,335,71,0,553,82,1,204,196,0
174.56,4.24,-0.58,0.74,0.93,0.32,-0.00,0.26,-0.02,0.16,217,210,611,335,70,0,553,82,0,204,196,0
174.56,4.16,-0.41,0.88,0.93,0.32,0.00,0.25,-0.02,0.15,216,210,611,334,69,0,553,81,0,205,196,0
174.57,4.15,-0.14,1.02,0.93,0.32,-0.00,0.25,-0.02,0.15,217,211,611,334,69,0,553,81,0,204,195,0
174.57,4.12,-0.02,1.01,0.93,0.33,-0.00,0.25,-0.02,0.15,217,211,611,334,69,0,553,81,0,204,196,0
174.58,3.95,0.11,1.14,0.93,0.33,-0.00,0.25,-0.02,0.15,217,210,611,334,70,0,553,82,0,204,196,0
174.58,4.05,0.40,1.26,0.92,0.33,-0.00,0.25,-0.02,0.15,217,210,611,334,69,0,553,82,0,205,196,0
174.59,3.63,0.60,1.53,0.92,0.33,0.00,0.25,-0.02,0.16,217,210,611,335,70,0,552,82,0,204,196,0
174.59,3.24,0.96,1.69,0.92,0.33,-0.00,0.25,-0.02,0.16,217,211,611,335,69,0,553,80,0,204,195,0
174.60,3.13,1.24,1.57,0.92,0.33,0.00,0.25,-0.02,0.15,217,210,611,336,69,0,553,81,0,204,196,0
174.60,2.97,1.01,1.64,0.92,0.33,0.00,0.25,-0.02,0.15,217,211,611,336,70,0,553,81,0,203,195,0
174.61,2.88,1.54,1.56,0.92,0.33,-0.00,0.25,-0.02,0.15,217,210,611,335,70,0,553,81,0,204,195,0
174.61,2.67,1.49,1.63,0.92,0.33,0.00,0.25,-0.02,0.15,217,210,611,336,71,0,552,81,0,204,196,0
174.62,2.70,1.35,1.57,0.92,0.33,0.00,0.25,-0.02,0.15,217,210,611,335,71,0,553,81,0,204,196,0
174.62,2.11,1.29,1.50,0.92,0.33,-0.00,0.25,-0.02,0.16,217,209,612,334,71,0,553,81,0,204,196,0
174.63,2.19,1.34,1.36,0.93,0.33,-0.00,0.25,-0.02,0.16,217,210,611,334,72,0,553,81,0,204,195,0
174.63,2.48,1.29,1.33,0.93,0.33,-0.00,0.25,-0.02,0.16,216,210,610,335,70,0,553,82,0,204,196,0
174.64,2.21,1.52,1.39,0.93,0.34,-0.00,0.25,-0.02,0.16,217,210,611,335,70,0,553,81,0,204,196,0
174.64,2.44,1.23,1.58,0.93,0.34,-0.01,0.25,-0.02,0.16,216,210,609,333,69,0,552,81,0,204,196,0
174.65,2.64,1.19,1.60,0.93,0.33,-0.00,0.25,-0.02,0.16,216,210,609,334,70,0,552,81,0,203,197,0
174.65,2.97,1.15,1.77,0.92,0.34,-0.01,0.25,-0.02,0.15,216,210,609,333,71,0,552,81,0,203,196,0
174.66,3.30,1.13,1.68,0.92,0.33,-0.01,0.25,-0.02,0.15,216,210,609,334,69,0,551,81,0,203,197,0
174.66,3.83,1.06,1.71,0.92,0.34,-0.00,0.25,-0.02,0.15,216,210,609,333,70,0,552,81,0,204,198,0
174.67,4.51,1.52,1.81,0.91,0.34,-0.01,0.25,-0.02,0.15,216,210,609,333,69,0,551,81,0,204,197,0
174.67,5.09,1.42,1.58,0.91,0.34,-0.01,0.25,-0.02,0.15,216,210,610,333,68,0,551,81,0,203,197,0
174.68,5.58,1.54,1.34,0.90,0.34,-0.01,0.25,-0.02,0.16,216,210,609,332,68,0,552,80,0,204,198,0
174.68,5.69,2.26,1.09,0.90,0.34,-0.00,0.25,-0.02,0.16,215,210,609,332,71,0,551,81,0,204,197,0
174.69,6.02,2.66,0.70,0.91,0.34,0.00,0.25,-0.02,0.16,216,210,608,330,69,0,551,81,0,204,198,0
174.69,6.08,3.09,0.38,0.91,0.34,0.00,0.25,-0.02,0.16,215,209,608,331,70,0,550,81,0,203,196,0
