S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
1,53,0,1,59,10,351,1,129,205,38,68,1,45,1,117,7,100,1,22,150,0,39,61,63,157,78,80,207,-1.27108073234558,0.350794017314911,0.636771082878113,-1.55894589424133,0.159619867801666,0.615742802619934,-1.41270303726196,0.645391643047333,0.828004240989685,-1.57501125335693,0.314510524272919,0.72067391872406,14_Jun_2023_08:29
1,59,0,0,59,6,368,2,96,182,56,65,1,56,0,134,8,78,3,23,121,1,43,68,69,130,69,108,215,-1.27108073234558,0.350794017314911,0.636771082878113,-1.55894589424133,0.159619867801666,0.615742802619934,-1.41270303726196,0.645391643047333,0.828004240989685,-1.57501125335693,0.314510524272919,0.72067391872406,14_Jun_2023_08:29
1,60,2,0,65,11,352,1,134,150,77,57,0,57,2,112,8,61,6,18,186,0,44,64,65,149,66,107,231,-1.2714501619339,0.350849539041519,0.636952817440033,-1.559490442276,0.159646853804588,0.61617922782898,-1.41285300254822,0.645419061183929,0.828298807144165,-1.57522428035736,0.314587324857712,0.720934092998505,14_Jun_2023_08:29
0,66,1,1,58,8,350,1,152,160,43,55,1,49,1,121,9,70,4,24,128,2,48,43,72,164,42,94,236,-1.27183389663696,0.350927650928497,0.63713276386261,-1.55993604660034,0.159762024879456,0.616402149200439,-1.41304159164429,0.645442008972168,0.828667283058167,-1.57544159889221,0.314691066741943,0.721238851547241,14_Jun_2023_08:29
1,91,2,2,69,9,327,1,147,165,34,59,1,53,0,127,10,67,3,24,172,1,32,42,61,165,38,95,249,-1.28545820713043,0.352355301380158,0.637715518474579,-1.60921680927277,0.170522257685661,0.6260746717453,-1.41819941997528,0.644753038883209,0.836686968803406,-1.59883785247803,0.320044904947281,0.73913836479187,14_Jun_2023_08:29
0,68,0,0,89,17,312,1,144,196,24,66,0,49,3,137,5,62,13,26,205,1,36,60,68,199,33,131,254,-1.29063510894775,0.353097528219223,0.637433350086212,-1.68095433712006,0.217963472008705,0.610356450080872,-1.41968214511871,0.64510840177536,0.838611602783203,-1.63344931602478,0.34379044175148,0.741303682327271,14_Jun_2023_08:29
0,95,1,3,126,18,293,0,130,240,23,76,0,51,1,147,12,31,12,27,251,0,31,66,58,209,30,172,250,-1.28963899612427,0.354207396507263,0.640955030918121,-1.71854472160339,0.306452810764313,0.532628059387207,-1.41946566104889,0.644850254058838,0.843319118022919,-1.65724539756775,0.387900859117508,0.6902916431427,14_Jun_2023_08:29
0,120,1,4,121,9,333,1,72,260,15,75,1,56,1,145,17,21,22,21,191,2,38,74,51,238,44,179,253,-1.28888237476349,0.35556972026825,0.643898189067841,-1.6939183473587,0.39982596039772,0.458999633789063,-1.4195271730423,0.644589066505432,0.848568499088287,-1.65045475959778,0.432957917451858,0.6379075050354,14_Jun_2023_08:29
2,155,1,1,140,8,401,2,62,275,22,76,1,61,1,143,20,32,25,23,235,1,40,87,65,264,54,227,254,-1.29029822349548,0.356210559606552,0.644417762756348,-1.61295330524445,0.458047151565552,0.419213593006134,-1.42187142372131,0.643900811672211,0.85090446472168,-1.6185075044632,0.452680766582489,0.603811204433441,14_Jun_2023_08:29
1,133,4,2,144,14,437,4,93,296,60,82,1,63,0,140,3,85,17,17,213,0,39,85,75,328,57,232,256,-1.28764069080353,0.355945467948914,0.644957184791565,-1.51448285579681,0.456225514411926,0.404767245054245,-1.42526769638062,0.642748713493347,0.847542583942413,-1.57137703895569,0.446354657411575,0.578627705574035,14_Jun_2023_08:29
