S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,,,,,,
5,0,10,73,15,0,7,0,16,1,33,6,0,0,7,1,0,11,17,11,18,6,46,16,7,86,9,18,27,9,1,0,1.55889284610748,0.647389888763428,0.728128790855408,1.64922153949738,0.41260227560997,0.519054472446442,1.36306607723236,0.533868908882141,0.305921375751495,1.30435371398926,0.495827734470367,0.52077579498291,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,0,5,61,9,1,7,0,12,1,33,8,0,3,9,4,0,12,15,11,20,7,46,13,8,81,8,16,25,6,1,1,1.55892181396484,0.6473388671875,0.728155314922333,1.64915096759796,0.412667512893677,0.518919885158539,1.35585856437683,0.534467935562134,0.308264970779419,1.30116140842438,0.496003597974777,0.524263739585876,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
6,0,7,52,14,1,9,1,11,1,39,5,1,9,7,5,0,10,18,10,18,7,47,14,0,82,11,12,23,9,0,0,1.55891227722168,0.647262334823608,0.728211343288422,1.64909541606903,0.412682473659515,0.518760204315185,1.34817004203796,0.534836828708649,0.310259401798248,1.29815685749054,0.496249228715897,0.52781081199646,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,0,3,57,13,0,9,0,11,6,43,7,1,5,4,5,0,13,11,15,18,6,47,11,3,84,6,16,25,10,0,0,1.55887031555176,0.647189736366272,0.728282749652862,1.64902973175049,0.412653982639313,0.51861184835434,1.34242844581604,0.535408854484558,0.31295895576477,1.29594540596008,0.496393710374832,0.530507147312164,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,0,7,50,14,0,4,0,10,1,45,7,0,5,5,5,1,12,14,11,15,8,47,14,3,81,7,17,24,10,1,0,1.55887758731842,0.647195935249329,0.728407621383667,1.64895367622376,0.412799447774887,0.518404364585876,1.33443021774292,0.536177635192871,0.315823525190353,1.29296767711639,0.496370106935501,0.534258186817169,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,0,3,53,15,0,7,0,11,0,43,6,0,10,6,2,0,8,11,9,14,9,47,11,5,80,7,17,25,6,0,0,1.55883765220642,0.647196173667908,0.728375256061554,1.648885846138,0.412764042615891,0.518223106861115,1.32617950439453,0.536933958530426,0.319081127643585,1.28995907306671,0.496051549911499,0.538175702095032,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,0,3,46,18,1,7,1,11,0,48,5,0,8,3,5,0,11,9,10,18,8,46,14,2,84,12,16,21,10,0,0,1.55876624584198,0.647182643413544,0.728304743766785,1.64886879920959,0.412880480289459,0.517962872982025,1.31794846057892,0.537407040596008,0.323371171951294,1.28695237636566,0.495438635349274,0.542376756668091,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,1,6,46,18,0,5,0,9,0,50,8,1,5,6,6,0,11,15,6,13,5,49,13,0,84,11,16,27,10,0,0,1.55869174003601,0.647169888019562,0.728283524513245,1.648850440979,0.41289547085762,0.517753601074219,1.30947589874268,0.538007259368897,0.327062547206879,1.28424251079559,0.494843065738678,0.546209633350372,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,1,2,45,22,2,6,0,10,2,43,7,0,9,6,1,1,12,13,9,16,5,47,14,3,84,5,17,27,12,1,0,1.55864143371582,0.647146642208099,0.72825038433075,1.64881598949432,0.412904858589172,0.517609834671021,1.30297160148621,0.538671255111694,0.329949289560318,1.28235626220703,0.494550734758377,0.54952472448349,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
6,4,4,43,17,7,7,0,10,1,45,5,2,5,6,1,0,20,13,11,21,6,49,15,3,82,9,20,29,14,0,0,1.55856966972351,0.647120594978333,0.728218197822571,1.64874768257141,0.412897109985352,0.517434000968933,1.29405903816223,0.539363861083984,0.333983659744263,1.27968549728394,0.494258195161819,0.554166615009308,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
