S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,
1.00,1.00,12.00,26.00,41.00,0.00,7.00,0.00,9.00,9.00,11.00,3.00,12.00,0.00,0.00,10.00,2.00,4.00,18.00,11.00,19.00,7.00,34.00,21.00,6.00,55.00,6.00,1.00,11.00,2.00,1.00,3.00,1.5439212322235107,0.6427226066589355,0.7722030282020569,1.6665070056915283,0.4115835130214691,0.5685100555419922,1.386802315711975,0.6477998495101929,0.3223666846752167,1.336003303527832,0.5627724528312683,0.5148142576217651,16_Aug_2023_13_06
6.00,0.00,9.00,28.00,54.00,0.00,3.00,0.00,10.00,1.00,13.00,3.00,0.00,2.00,8.00,5.00,3.00,5.00,17.00,13.00,16.00,7.00,38.00,20.00,6.00,54.00,7.00,4.00,13.00,5.00,0.00,1.00,1.5439212322235107,0.6427226066589355,0.7722030282020569,1.6665070056915283,0.4115835130214691,0.5685100555419922,1.386802315711975,0.6477998495101929,0.3223666846752167,1.336003303527832,0.5627724528312683,0.5148142576217651,16_Aug_2023_13_06
11.00,10.00,7.00,32.00,49.00,0.00,3.00,0.00,12.00,0.00,15.00,2.00,2.00,0.00,0.00,7.00,4.00,4.00,17.00,16.00,21.00,7.00,38.00,19.00,6.00,64.00,6.00,0.00,13.00,2.00,0.00,1.00,1.5439256429672241,0.6427150964736938,0.772177517414093,1.6664856672286987,0.41159942746162415,0.5684788823127747,1.3867601156234741,0.6477814316749573,0.3223504424095154,1.3359894752502441,0.5627453923225403,0.5147990584373474,16_Aug_2023_13_06
3.00,0.00,10.00,32.00,63.00,0.00,2.00,0.00,12.00,3.00,13.00,3.00,1.00,0.00,0.00,7.00,2.00,4.00,18.00,8.00,14.00,6.00,39.00,22.00,5.00,59.00,6.00,1.00,14.00,3.00,0.00,6.00,1.5439256429672241,0.6427150964736938,0.772177517414093,1.6664856672286987,0.41159942746162415,0.5684788823127747,1.3867601156234741,0.6477814316749573,0.3223504424095154,1.3359894752502441,0.5627453923225403,0.5147990584373474,16_Aug_2023_13_06
3.00,1.00,14.00,33.00,60.00,0.00,3.00,1.00,9.00,4.00,14.00,5.00,1.00,6.00,1.00,6.00,2.00,4.00,22.00,10.00,14.00,11.00,37.00,22.00,5.00,56.00,7.00,0.00,13.00,10.00,7.00,0.00,1.543898105621338,0.6427101492881775,0.7721676230430603,1.66645085811615,0.4115748107433319,0.568565309047699,1.3867028951644897,0.6477484703063965,0.32232585549354553,1.3359637260437012,0.5627142190933228,0.514786958694458,16_Aug_2023_13_06
6.00,0.00,11.00,25.00,61.00,5.00,4.00,14.00,11.00,11.00,7.00,4.00,1.00,13.00,9.00,4.00,3.00,4.00,17.00,12.00,13.00,8.00,39.00,24.00,4.00,59.00,5.00,0.00,11.00,1.00,0.00,1.00,1.5438940525054932,0.6426942944526672,0.7721396088600159,1.6664276123046875,0.41159430146217346,0.5685200691223145,1.3866487741470337,0.6477241516113281,0.32230785489082336,1.335873007774353,0.562761664390564,0.5148056745529175,16_Aug_2023_13_06
9.00,2.00,10.00,33.00,62.00,2.00,1.00,0.00,10.00,4.00,13.00,4.00,1.00,2.00,2.00,4.00,0.00,4.00,15.00,10.00,14.00,6.00,37.00,23.00,1.00,57.00,4.00,1.00,14.00,2.00,1.00,0.00,1.5438940525054932,0.6426942944526672,0.7721396088600159,1.6664276123046875,0.41159430146217346,0.5685200691223145,1.3866487741470337,0.6477241516113281,0.32230785489082336,1.335873007774353,0.562761664390564,0.5148056745529175,16_Aug_2023_13_06
5.00,0.00,9.00,29.00,56.00,0.00,3.00,0.00,9.00,6.00,16.00,6.00,0.00,2.00,2.00,8.00,1.00,9.00,17.00,12.00,13.00,6.00,37.00,20.00,3.00,52.00,6.00,0.00,16.00,3.00,1.00,0.00,1.5438854694366455,0.6426848769187927,0.7721224427223206,1.6664204597473145,0.41166356205940247,0.5684006214141846,1.386612057685852,0.6476956009864807,0.3222798705101013,1.3358607292175293,0.5626831650733948,0.5147821307182312,16_Aug_2023_13_06
4.00,0.00,9.00,27.00,59.00,0.00,4.00,0.00,9.00,3.00,11.00,0.00,0.00,1.00,3.00,10.00,4.00,4.00,19.00,9.00,13.00,7.00,35.00,23.00,2.00,47.00,6.00,0.00,15.00,6.00,0.00,1.00,1.5438854694366455,0.6426848769187927,0.7721224427223206,1.6664204597473145,0.41166356205940247,0.5684006214141846,1.386612057685852,0.6476956009864807,0.3222798705101013,1.3358607292175293,0.5626831650733948,0.5147821307182312,16_Aug_2023_13_06
7.00,0.00,10.00,31.00,59.00,1.00,0.00,1.00,12.00,5.00,10.00,3.00,1.00,0.00,1.00,7.00,2.00,1.00,17.00,6.00,13.00,1.00,32.00,22.00,1.00,45.00,7.00,0.00,17.00,5.00,0.00,0.00,1.5438777208328247,0.6426782011985779,0.7721089720726013,1.6664080619812012,0.4117279648780823,0.5682885646820068,1.3865605592727661,0.647675096988678,0.3222639262676239,1.3358973264694214,0.5626349449157715,0.5147596001625061,16_Aug_2023_13_06
