S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
1,0,12,0,12,12,27,27,21,5,23,5,1,7,0,1,3,3,18,44,0,1,16,31,35,19,34,6,17,133,15,39,-0.907598197460175,0.631371974945068,-0.429652541875839,-1.0390157699585,0.4304259121418,-0.267949789762497,-0.878694713115692,0.615421891212463,0.057379607111216,-0.793564975261688,0.55607533454895,-0.155384689569473,30_Jul_2023_16_02
7,0,14,0,14,9,26,25,17,9,21,4,3,1,0,3,2,1,15,49,0,0,16,33,34,17,34,7,20,142,13,41,-0.907598197460175,0.631371974945068,-0.429652541875839,-1.0390157699585,0.4304259121418,-0.267949789762497,-0.878694713115692,0.615421891212463,0.057379607111216,-0.793564975261688,0.55607533454895,-0.155384689569473,30_Jul_2023_16_02
1,1,15,0,14,5,24,25,16,8,29,4,0,3,0,0,4,1,16,51,4,0,14,33,38,21,33,4,22,144,12,39,-0.907590985298157,0.63138335943222,-0.429663509130478,-1.03901791572571,0.430423110723496,-0.267912566661835,-0.878651738166809,0.61537092924118,0.05738776922226,-0.793583035469055,0.555997848510742,-0.155417054891586,30_Jul_2023_16_02
0,1,15,0,15,6,27,27,20,5,23,8,1,2,1,0,1,4,12,56,0,0,13,33,37,20,36,4,21,145,15,46,-0.907590985298157,0.63138335943222,-0.429663509130478,-1.03901791572571,0.430423110723496,-0.267912566661835,-0.878651738166809,0.61537092924118,0.05738776922226,-0.793583035469055,0.555997848510742,-0.155417054891586,30_Jul_2023_16_02
1,1,15,0,13,8,27,26,21,6,23,2,1,9,2,0,1,5,17,56,1,0,13,32,39,22,36,5,23,152,12,46,-0.9075927734375,0.631382405757904,-0.429659992456436,-1.0390191078186,0.430422902107239,-0.267905861139297,-0.878584682941437,0.615336298942566,0.057396821677685,-0.793555080890656,0.555945754051209,-0.155454516410828,30_Jul_2023_16_02
2,1,15,0,12,3,28,28,26,5,26,6,2,1,2,0,1,1,19,69,0,4,15,36,37,24,41,2,19,152,13,48,-0.9075927734375,0.631382405757904,-0.429659992456436,-1.0390191078186,0.430422902107239,-0.267905861139297,-0.878584682941437,0.615336298942566,0.057396821677685,-0.793555080890656,0.555945754051209,-0.155454516410828,30_Jul_2023_16_02
2,0,15,0,12,10,28,35,26,5,24,2,1,0,4,2,2,2,20,60,0,1,11,37,40,18,40,3,17,156,5,58,-0.907590210437775,0.631381571292877,-0.429651588201523,-1.03901076316834,0.430423319339752,-0.267937332391739,-0.878556311130524,0.615264773368835,0.057401917874813,-0.793524444103241,0.555898368358612,-0.155485928058624,30_Jul_2023_16_02
3,0,11,0,15,10,28,32,28,5,21,7,2,2,2,1,2,6,21,77,0,1,15,38,40,19,38,8,19,162,9,61,-0.907590210437775,0.631381571292877,-0.429651588201523,-1.03901076316834,0.430423319339752,-0.267937332391739,-0.878556311130524,0.615264773368835,0.057401917874813,-0.793524444103241,0.555898368358612,-0.155485928058624,30_Jul_2023_16_02
5,2,18,0,16,4,29,39,24,6,23,4,3,5,2,1,0,6,21,67,6,0,17,38,44,20,38,0,17,167,8,66,-0.907593011856079,0.631389319896698,-0.429659754037857,-1.03899371623993,0.430404454469681,-0.267979383468628,-0.878495693206787,0.615137875080109,0.057418741285801,-0.793548822402954,0.555818140506744,-0.15553417801857,30_Jul_2023_16_02
4,1,17,0,14,9,29,35,31,4,23,4,1,2,3,2,7,6,19,68,0,0,18,36,50,24,42,5,16,165,14,69,-0.907593011856079,0.631389319896698,-0.429659754037857,-1.03899371623993,0.430404454469681,-0.267979383468628,-0.878495693206787,0.615137875080109,0.057418741285801,-0.793548822402954,0.555818140506744,-0.15553417801857,30_Jul_2023_16_02
2,13,17,10,13,7,29,38,33,3,21,4,1,4,3,0,2,3,20,72,0,1,19,37,50,28,43,3,19,165,11,66,-0.907590806484222,0.631382942199707,-0.429663479328156,-1.03897476196289,0.430393487215042,-0.267999559640884,-0.878426849842072,0.615074396133423,0.057431701570749,-0.793486535549164,0.555781662464142,-0.155553385615349,30_Jul_2023_16_02
3,0,16,0,13,9,28,34,32,4,23,5,2,5,3,0,2,5,23,70,10,0,19,36,49,31,45,1,18,164,9,71,-0.907590806484222,0.631382942199707,-0.429663479328156,-1.03897476196289,0.430393487215042,-0.267999559640884,-0.878426849842072,0.615074396133423,0.057431701570749,-0.793486535549164,0.555781662464142,-0.155553385615349,30_Jul_2023_16_02
6,2,15,0,10,5,23,35,30,5,23,4,1,2,5,14,8,4,22,71,1,0,15,39,51,29,47,1,18,158,7,82,-0.907595872879028,0.631380200386047,-0.429661393165588,-1.03896915912628,0.430387377738953,-0.268030107021332,-0.878326714038849,0.614957928657532,0.057399738579989,-0.79344379901886,0.555736064910889,-0.155566915869713,30_Jul_2023_16_02
4,1,19,1,14,4,21,36,30,6,26,8,0,2,0,0,3,8,22,69,0,1,11,40,51,32,43,3,17,155,6,81,-0.907595872879028,0.631380200386047,-0.429661393165588,-1.03896915912628,0.430387377738953,-0.268030107021332,-0.878326714038849,0.614957928657532,0.057399738579989,-0.79344379901886,0.555736064910889,-0.155566915869713,30_Jul_2023_16_02
2,0,19,1,14,5,25,38,31,4,32,6,4,2,12,1,2,8,28,63,0,1,14,36,51,31,49,2,18,140,6,67,-0.907607138156891,0.63138473033905,-0.429654568433762,-1.03897452354431,0.430389285087586,-0.268036305904388,-0.878259420394897,0.614871084690094,0.057373508810997,-0.792401790618897,0.556476950645447,-0.155419811606407,30_Jul_2023_16_02
0,0,17,0,11,6,24,36,33,4,28,7,0,0,2,0,1,7,24,61,2,0,19,37,45,29,48,0,16,126,3,71,-0.907607138156891,0.63138473033905,-0.429654568433762,-1.03897452354431,0.430389285087586,-0.268036305904388,-0.878259420394897,0.614871084690094,0.057373508810997,-0.792401790618897,0.556476950645447,-0.155419811606407,30_Jul_2023_16_02
3,4,19,0,15,10,25,42,30,3,37,0,0,4,4,2,4,3,22,57,0,0,16,36,41,30,47,2,19,120,5,73,-0.907617330551147,0.63140070438385,-0.429647922515869,-1.03895199298859,0.430361598730087,-0.268079072237015,-0.87813925743103,0.61478590965271,0.057322308421135,-0.792596161365509,0.556245565414429,-0.15551695227623,30_Jul_2023_16_02
0,11,17,1,13,7,26,39,32,4,37,7,1,3,3,1,2,6,19,57,1,1,15,38,40,26,48,2,17,108,2,72,-0.907617330551147,0.63140070438385,-0.429647922515869,-1.03895199298859,0.430361598730087,-0.268079072237015,-0.87813925743103,0.61478590965271,0.057322308421135,-0.792596161365509,0.556245565414429,-0.15551695227623,30_Jul_2023_16_02
1,1,19,1,13,8,25,40,33,3,35,5,1,3,6,0,1,5,18,51,0,0,11,36,38,26,46,1,18,101,9,66,-0.907627522945404,0.631407082080841,-0.42964506149292,-1.03896737098694,0.430361390113831,-0.268063306808472,-0.878064155578613,0.614753842353821,0.057304341346026,-0.792950212955475,0.555942535400391,-0.155620291829109,30_Jul_2023_16_02
