,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
0,319.0,237.0,454.0,231.0,435.0,120.0,355.0,0.0,0.0,21.0,136.0,2.0
1,319.0,236.0,455.0,231.0,435.0,120.0,355.0,0.0,0.0,21.0,136.0,2.0
2,319.0,236.0,456.0,230.0,436.0,120.0,355.0,0.0,0.0,22.0,136.0,2.0
3,319.0,235.0,456.0,230.0,435.0,120.0,355.0,0.0,0.0,22.0,136.0,2.0
4,319.0,236.0,455.0,231.0,436.0,121.0,356.0,0.0,0.0,22.0,136.0,2.0
5,319.0,236.0,455.0,230.0,436.0,120.0,355.0,0.0,0.0,22.0,136.0,2.0
6,319.0,235.0,454.0,229.0,436.0,121.0,355.0,0.0,0.0,21.0,136.0,2.0
7,319.0,235.0,455.0,231.0,436.0,121.0,356.0,0.0,0.0,22.0,136.0,2.0
8,319.0,236.0,456.0,231.0,436.0,121.0,354.0,0.0,0.0,22.0,136.0,2.0
9,318.0,236.0,455.0,231.0,436.0,121.0,355.0,0.0,0.0,22.0,136.0,2.0
10,319.0,236.0,455.0,231.0,436.0,121.0,355.0,0.0,0.0,21.0,136.0,2.0
11,319.0,236.0,455.0,231.0,437.0,120.0,355.0,0.0,0.0,22.0,136.0,2.0
12,319.0,236.0,456.0,230.0,436.0,121.0,355.0,0.0,0.0,22.0,137.0,2.0
13,319.0,237.0,455.0,231.0,436.0,120.0,355.0,0.0,0.0,21.0,136.0,2.0
14,318.0,236.0,454.0,230.0,436.0,121.0,356.0,0.0,0.0,21.0,136.0,2.0
15,318.0,237.0,455.0,231.0,437.0,121.0,355.0,0.0,0.0,21.0,137.0,2.0
16,318.0,238.0,455.0,230.0,437.0,121.0,355.0,0.0,0.0,22.0,137.0,2.0
17,319.0,236.0,456.0,231.0,437.0,121.0,356.0,0.0,0.0,21.0,136.0,2.0
18,319.0,238.0,456.0,231.0,437.0,122.0,356.0,0.0,0.0,21.0,136.0,2.0
19,318.0,237.0,456.0,231.0,437.0,121.0,356.0,0.0,0.0,21.0,136.0,2.0
20,319.0,237.0,456.0,231.0,437.0,122.0,356.0,0.0,0.0,22.0,136.0,2.0
21,318.0,236.0,455.0,231.0,437.0,121.0,356.0,1.0,0.0,22.0,136.0,2.0
22,318.0,236.0,455.0,231.0,437.0,121.0,356.0,0.0,0.0,21.0,136.0,2.0
23,318.0,234.0,456.0,231.0,437.0,122.0,355.0,0.0,0.0,21.0,135.0,2.0
24,319.0,234.0,456.0,231.0,437.0,121.0,355.0,1.0,0.0,21.0,135.0,2.0
25,319.0,235.0,456.0,231.0,437.0,122.0,355.0,0.0,0.0,21.0,134.0,2.0
26,318.0,234.0,455.0,231.0,436.0,121.0,355.0,0.0,0.0,21.0,135.0,2.0
27,318.0,235.0,455.0,232.0,437.0,121.0,356.0,0.0,0.0,21.0,134.0,2.0
28,318.0,235.0,456.0,231.0,437.0,121.0,355.0,0.0,0.0,21.0,135.0,2.0
29,318.0,234.0,456.0,231.0,437.0,121.0,356.0,0.0,0.0,21.0,135.0,2.0
30,319.0,234.0,456.0,232.0,436.0,121.0,356.0,0.0,0.0,21.0,135.0,2.0
31,319.0,235.0,456.0,231.0,437.0,121.0,355.0,0.0,0.0,22.0,136.0,2.0
32,319.0,234.0,455.0,231.0,436.0,121.0,355.0,0.0,0.0,21.0,136.0,2.0
33,319.0,234.0,455.0,232.0,437.0,121.0,356.0,0.0,0.0,21.0,135.0,2.0
34,319.0,235.0,456.0,231.0,436.0,120.0,356.0,0.0,0.0,21.0,135.0,2.0
35,319.0,235.0,455.0,231.0,437.0,121.0,356.0,0.0,0.0,21.0,135.0,2.0
36,319.0,235.0,456.0,232.0,436.0,121.0,357.0,0.0,0.0,22.0,135.0,2.0
37,319.0,235.0,456.0,232.0,437.0,121.0,356.0,0.0,0.0,21.0,135.0,2.0
38,319.0,235.0,456.0,232.0,437.0,121.0,356.0,0.0,0.0,21.0,135.0,2.0
39,318.0,235.0,456.0,231.0,436.0,121.0,356.0,0.0,0.0,21.0,136.0,2.0
40,319.0,235.0,456.0,232.0,437.0,121.0,356.0,0.0,0.0,21.0,135.0,2.0
41,319.0,234.0,456.0,232.0,437.0,121.0,356.0,0.0,0.0,21.0,134.0,2.0
42,319.0,234.0,456.0,231.0,437.0,120.0,356.0,1.0,0.0,20.0,135.0,2.0
43,319.0,234.0,456.0,231.0,437.0,120.0,356.0,0.0,0.0,21.0,135.0,2.0
44,318.0,235.0,456.0,231.0,437.0,120.0,356.0,0.0,0.0,21.0,134.0,2.0
45,319.0,234.0,456.0,231.0,437.0,120.0,356.0,0.0,0.0,21.0,133.0,2.0
46,319.0,235.0,456.0,231.0,438.0,120.0,356.0,0.0,0.0,21.0,135.0,2.0
47,319.0,234.0,456.0,231.0,437.0,120.0,356.0,0.0,0.0,21.0,135.0,2.0
48,319.0,235.0,456.0,231.0,437.0,119.0,356.0,0.0,0.0,21.0,136.0,2.0
49,318.0,234.0,456.0,231.0,436.0,118.0,356.0,1.0,0.0,21.0,136.0,2.0
50,319.0,233.0,456.0,231.0,437.0,117.0,356.0,0.0,0.0,21.0,136.0,2.0
51,319.0,234.0,456.0,231.0,437.0,117.0,356.0,0.0,0.0,21.0,136.0,2.0
52,318.0,235.0,456.0,231.0,436.0,117.0,355.0,0.0,0.0,21.0,135.0,2.0
53,319.0,234.0,457.0,230.0,437.0,115.0,355.0,0.0,0.0,21.0,135.0,2.0
54,319.0,234.0,456.0,230.0,436.0,116.0,356.0,0.0,0.0,21.0,136.0,2.0
55,318.0,233.0,457.0,229.0,437.0,115.0,355.0,0.0,0.0,22.0,135.0,2.0
56,319.0,234.0,456.0,228.0,437.0,114.0,355.0,0.0,0.0,21.0,136.0,2.0
57,318.0,233.0,456.0,228.0,437.0,115.0,356.0,0.0,0.0,22.0,136.0,2.0
58,318.0,233.0,457.0,228.0,437.0,114.0,355.0,0.0,0.0,21.0,136.0,2.0
59,319.0,234.0,456.0,228.0,436.0,114.0,356.0,0.0,0.0,21.0,137.0,2.0
60,319.0,234.0,456.0,228.0,436.0,114.0,356.0,0.0,0.0,21.0,136.0,2.0
61,122.0,200.0,445.0,149.0,274.0,150.0,548.0,0.0,0.0,109.0,175.0,2.0
62,122.0,201.0,445.0,148.0,274.0,150.0,549.0,0.0,1.0,108.0,174.0,2.0
63,122.0,200.0,447.0,148.0,274.0,150.0,549.0,0.0,0.0,107.0,175.0,2.0
64,122.0,201.0,446.0,148.0,275.0,150.0,549.0,0.0,0.0,107.0,174.0,2.0
65,123.0,200.0,446.0,148.0,275.0,150.0,550.0,0.0,0.0,106.0,175.0,2.0
66,122.0,200.0,446.0,148.0,275.0,150.0,550.0,0.0,0.0,107.0,174.0,2.0
67,123.0,201.0,448.0,149.0,276.0,151.0,553.0,0.0,0.0,106.0,174.0,2.0
68,123.0,201.0,447.0,148.0,276.0,150.0,553.0,0.0,0.0,106.0,174.0,2.0
69,122.0,200.0,448.0,149.0,276.0,151.0,555.0,0.0,0.0,106.0,174.0,2.0
70,122.0,200.0,448.0,148.0,277.0,151.0,555.0,0.0,0.0,106.0,175.0,2.0
71,122.0,200.0,448.0,149.0,276.0,151.0,554.0,0.0,0.0,106.0,174.0,2.0
72,123.0,200.0,448.0,149.0,278.0,151.0,555.0,0.0,0.0,107.0,174.0,2.0
73,123.0,200.0,449.0,160.0,276.0,150.0,555.0,0.0,0.0,107.0,174.0,2.0
74,122.0,201.0,448.0,160.0,277.0,151.0,555.0,0.0,0.0,106.0,174.0,2.0
75,123.0,200.0,449.0,160.0,277.0,151.0,556.0,1.0,0.0,106.0,174.0,2.0
76,123.0,201.0,449.0,162.0,277.0,151.0,556.0,0.0,0.0,106.0,174.0,2.0
77,123.0,200.0,448.0,161.0,277.0,151.0,556.0,0.0,0.0,107.0,174.0,2.0
78,123.0,200.0,449.0,162.0,277.0,151.0,557.0,0.0,0.0,106.0,174.0,2.0
