time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
3738.59,2.54,-0.28,1.15,0.90,0.33,0.18,0.28,-0.02,0.10,131,275,503,259,101,0,387,0,118,206,233,1
3738.59,2.62,-0.50,1.12,0.90,0.32,0.18,0.28,-0.02,0.10,131,276,503,259,100,0,385,0,118,205,233,1
3738.60,2.64,-0.38,0.98,0.90,0.32,0.19,0.28,-0.03,0.10,131,276,504,259,101,0,387,0,118,206,232,1
3738.60,2.75,-0.42,0.97,0.90,0.32,0.19,0.28,-0.03,0.10,131,275,503,259,101,0,387,0,118,206,232,1
3738.61,2.79,-0.48,0.90,0.90,0.32,0.18,0.28,-0.02,0.10,131,275,504,259,101,0,387,0,118,205,232,1
3738.61,2.66,-0.50,1.00,0.90,0.32,0.18,0.28,-0.02,0.10,132,275,503,259,101,0,387,0,118,206,232,1
3738.62,2.62,-0.55,0.83,0.90,0.32,0.19,0.28,-0.02,0.10,132,275,504,258,101,0,387,0,118,206,231,1
3738.62,2.33,-0.50,0.94,0.90,0.32,0.18,0.28,-0.03,0.10,132,276,504,259,101,0,387,0,118,206,232,1
3738.63,2.54,-0.60,0.96,0.90,0.32,0.19,0.28,-0.03,0.10,132,276,503,258,100,0,387,0,118,206,232,1
3738.63,2.23,-0.24,1.06,0.89,0.32,0.18,0.28,-0.02,0.11,133,275,504,258,101,0,387,0,118,205,233,1
3738.64,2.21,-0.53,1.02,0.90,0.32,0.18,0.28,-0.02,0.11,131,276,504,259,101,0,388,0,119,206,234,1
3738.64,2.13,-0.64,1.03,0.90,0.32,0.18,0.28,-0.02,0.11,132,276,503,258,101,0,387,0,119,205,233,1
3738.65,1.76,-0.74,0.93,0.90,0.32,0.18,0.28,-0.03,0.10,132,276,504,259,101,0,388,0,118,206,233,1
3738.65,2.22,-0.52,0.81,0.90,0.32,0.18,0.28,-0.03,0.10,132,276,504,259,101,0,388,0,119,206,233,1
3738.66,1.75,-0.53,0.94,0.90,0.33,0.18,0.28,-0.02,0.10,132,276,505,259,101,0,387,0,119,205,234,1
3738.66,1.88,-0.50,0.91,0.90,0.32,0.18,0.28,-0.02,0.10,132,276,503,259,101,0,388,0,119,206,235,1
3738.67,1.64,-0.09,0.76,0.90,0.32,0.18,0.28,-0.02,0.10,132,276,504,259,101,0,388,0,119,206,234,1
3738.67,1.61,-0.68,0.88,0.90,0.33,0.18,0.28,-0.03,0.11,132,276,504,259,100,0,388,0,119,206,234,1
3738.68,1.88,-0.41,0.67,0.90,0.33,0.18,0.28,-0.03,0.11,132,276,503,258,101,1,387,0,118,206,233,1
3738.68,2.42,-0.80,1.06,0.90,0.32,0.18,0.28,-0.03,0.11,133,277,504,259,100,0,388,0,119,206,234,1
