time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
3686.72,5.91,0.82,0.23,-1.02,0.08,0.19,-0.36,0.12,0.13,156,242,158,0,95,31,457,0,0,140,183,0
3686.72,6.26,1.03,0.64,-1.03,0.09,0.19,-0.36,0.12,0.12,155,242,159,0,94,31,457,0,0,140,184,0
3686.73,6.76,1.79,0.50,-1.02,0.08,0.18,-0.36,0.12,0.12,155,242,158,0,95,31,457,0,0,141,184,0
3686.73,7.14,2.62,0.81,-1.02,0.08,0.19,-0.36,0.12,0.12,156,242,158,0,94,30,457,0,0,141,184,0
3693.70,4.99,-1.50,1.62,0.89,0.33,0.17,0.26,-0.05,0.09,130,268,481,187,124,0,328,0,63,143,146,0
3693.70,3.98,-1.29,1.75,0.89,0.34,0.16,0.26,-0.05,0.09,130,268,481,186,124,0,328,0,62,143,146,0
3693.71,3.57,-1.36,1.96,0.89,0.33,0.16,0.26,-0.05,0.09,130,269,482,187,124,0,328,0,64,143,146,0
3693.71,3.09,-1.01,2.09,0.89,0.34,0.16,0.26,-0.05,0.09,130,269,481,186,124,0,328,0,63,143,146,0
3693.72,2.35,-0.76,2.02,0.90,0.33,0.16,0.26,-0.05,0.09,130,270,481,187,125,0,329,0,64,143,146,0
3693.72,2.16,-0.73,2.07,0.89,0.34,0.15,0.26,-0.05,0.09,130,269,481,186,124,0,328,0,63,142,147,0
3693.73,2.05,-0.72,2.31,0.90,0.34,0.16,0.26,-0.05,0.09,130,269,482,187,125,0,329,0,63,144,146,0
3693.73,1.78,-0.55,2.20,0.89,0.34,0.15,0.26,-0.05,0.09,130,268,481,187,125,0,328,0,63,143,147,0
3693.74,2.12,-0.52,2.47,0.90,0.34,0.15,0.26,-0.05,0.09,130,268,482,187,125,0,329,0,64,143,145,0
3693.74,2.52,-0.43,2.28,0.90,0.34,0.15,0.26,-0.05,0.09,130,268,484,187,125,0,329,0,64,144,146,0
3693.75,2.84,-0.36,2.40,0.90,0.34,0.15,0.26,-0.05,0.09,130,268,483,187,125,0,329,0,63,143,146,0
3693.75,3.08,-0.04,2.35,0.91,0.34,0.15,0.26,-0.05,0.09,131,268,483,187,125,0,328,0,63,144,146,0
3693.76,2.63,-0.10,2.20,0.91,0.35,0.15,0.26,-0.05,0.09,130,268,483,186,125,0,328,0,63,144,146,0
3693.76,3.05,-0.13,2.13,0.91,0.34,0.15,0.26,-0.05,0.09,131,268,484,187,125,0,328,0,63,144,146,0
3693.77,3.54,0.11,2.35,0.91,0.34,0.15,0.26,-0.04,0.09,131,267,484,187,125,0,328,0,63,144,147,0
3693.77,3.73,-0.05,2.27,0.91,0.34,0.15,0.26,-0.04,0.09,130,268,483,187,125,0,329,0,64,144,147,0
3693.78,3.81,0.11,2.31,0.91,0.34,0.15,0.26,-0.05,0.08,130,268,482,187,125,0,328,0,64,144,146,0
3693.78,2.25,0.00,2.59,0.91,0.34,0.15,0.26,-0.05,0.08,130,268,483,187,126,0,328,0,64,143,146,0
3693.79,5.00,0.00,2.26,0.91,0.34,0.15,0.26,-0.05,0.08,130,269,483,187,126,0,329,0,64,143,147,0
3693.79,5.30,0.11,2.51,0.91,0.34,0.15,0.25,-0.05,0.08,130,270,484,186,125,0,328,0,64,144,146,0
3693.80,5.96,0.04,2.27,0.90,0.34,0.14,0.25,-0.05,0.08,131,270,483,186,125,0,327,0,64,143,146,0
3693.80,6.35,-0.02,2.22,0.90,0.34,0.14,0.25,-0.05,0.08,131,270,483,186,125,0,328,0,63,144,146,0
