time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
3923.15,7.33,-0.16,-0.95,-0.13,-0.03,0.96,-0.33,0.26,-0.33,137,244,497,208,273,165,599,0,0,74,170,3
3923.16,7.58,-0.67,-0.97,-0.13,-0.04,0.97,-0.33,0.26,-0.33,137,243,497,208,274,165,598,0,0,74,170,3
3923.16,7.58,-1.15,-0.82,-0.13,-0.04,0.97,-0.33,0.26,-0.33,137,242,496,208,273,164,598,0,0,74,170,3
3923.17,7.11,-1.03,-0.46,-0.13,-0.04,0.97,-0.33,0.26,-0.34,137,243,497,208,274,165,599,0,0,74,169,3
3923.17,6.55,-0.84,-0.16,-0.13,-0.05,0.97,-0.33,0.26,-0.34,137,242,497,208,273,165,599,0,0,74,170,3
3923.17,5.55,-0.65,-0.14,-0.13,-0.05,0.97,-0.33,0.26,-0.34,137,242,496,208,273,165,598,0,0,74,170,3
3923.18,5.07,-1.10,0.31,-0.14,-0.05,0.97,-0.33,0.26,-0.34,137,242,497,208,273,165,599,0,0,74,170,3
3923.19,4.53,-1.04,0.52,-0.14,-0.05,0.97,-0.33,0.26,-0.34,136,242,497,209,273,164,599,0,0,74,170,3
3923.19,3.99,-0.92,0.31,-0.14,-0.05,0.96,-0.33,0.26,-0.34,137,242,496,208,273,165,599,0,0,74,170,3
3923.20,3.65,-0.94,0.44,-0.14,-0.05,0.95,-0.33,0.26,-0.34,136,242,496,207,274,165,599,0,0,74,170,3
3923.20,3.57,-1.09,0.25,-0.14,-0.04,0.95,-0.33,0.26,-0.34,136,242,497,207,274,164,599,0,0,74,170,3
3923.21,3.59,-0.74,0.20,-0.14,-0.04,0.95,-0.33,0.26,-0.34,136,243,496,207,274,165,599,0,0,74,170,3
3923.21,3.75,-0.44,-0.22,-0.14,-0.04,0.94,-0.33,0.26,-0.34,136,242,496,207,274,165,598,0,0,74,170,3
3923.22,4.63,-0.81,-0.60,-0.13,-0.04,0.94,-0.33,0.26,-0.34,136,241,496,208,274,165,599,0,0,74,170,3
3923.22,5.09,-1.13,-0.61,-0.13,-0.04,0.95,-0.33,0.26,-0.34,136,243,496,207,273,165,598,0,0,74,170,3
3923.23,5.52,-1.61,-0.50,-0.13,-0.05,0.95,-0.33,0.26,-0.34,137,242,497,208,274,165,598,0,0,74,170,3
3923.23,5.38,-1.63,-0.61,-0.13,-0.05,0.95,-0.33,0.26,-0.33,136,243,497,208,274,165,598,0,0,74,170,3
3923.24,4.88,-1.45,-0.45,-0.13,-0.05,0.95,-0.33,0.26,-0.33,136,243,497,208,274,165,599,1,0,74,170,3
3923.24,3.98,-1.05,-0.19,-0.13,-0.06,0.95,-0.33,0.26,-0.33,137,243,497,207,274,164,598,0,0,74,170,3
3923.25,2.96,-0.74,0.15,-0.14,-0.06,0.95,-0.33,0.26,-0.33,137,243,497,207,274,165,599,0,0,75,170,3
3923.25,2.00,-0.57,0.32,-0.13,-0.06,0.95,-0.33,0.26,-0.33,137,242,497,207,274,164,599,0,0,75,170,3
3923.25,1.23,-0.83,0.45,-0.14,-0.05,0.95,-0.33,0.26,-0.34,137,242,497,207,274,164,599,0,0,74,170,3
3923.26,0.90,-0.55,0.35,-0.14,-0.05,0.95,-0.33,0.26,-0.34,137,243,496,207,274,165,598,0,0,74,170,3
3923.26,0.44,-0.54,0.08,-0.14,-0.04,0.95,-0.33,0.26,-0.34,137,242,497,207,275,165,599,0,0,74,170,3
3923.27,0.11,-0.15,0.04,-0.14,-0.04,0.96,-0.33,0.26,-0.34,136,242,497,207,274,164,599,0,0,74,171,3
3923.27,0.16,-0.17,-0.17,-0.14,-0.03,0.96,-0.33,0.26,-0.34,136,243,496,207,274,164,598,0,0,74,170,3
3923.28,0.25,-0.50,-0.33,-0.14,-0.03,0.96,-0.33,0.26,-0.34,137,243,497,208,274,164,599,0,0,74,170,3
3923.28,0.35,-0.31,-0.60,-0.14,-0.02,0.96,-0.33,0.26,-0.34,136,243,496,207,274,165,599,0,0,74,169,3
