time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
3660.73,3.14,2.07,0.31,0.91,0.30,0.16,0.30,0.01,0.12,123,280,474,303,104,0,556,39,63,175,132,1
3660.74,3.17,1.58,0.18,0.91,0.31,0.16,0.30,0.01,0.12,122,280,474,303,104,0,556,38,63,175,132,1
3660.74,3.08,2.07,0.04,0.91,0.31,0.16,0.30,0.01,0.12,123,280,474,303,105,0,556,38,63,175,132,1
3660.75,3.37,1.60,-0.04,0.91,0.31,0.17,0.30,0.01,0.12,123,280,474,303,104,0,556,38,64,175,132,1
3660.75,3.20,1.81,0.09,0.91,0.31,0.16,0.30,0.01,0.12,122,280,474,303,104,0,556,39,63,175,132,1
3660.76,3.49,1.72,0.12,0.91,0.31,0.16,0.30,0.01,0.12,122,280,475,303,104,0,556,38,63,175,132,1
3660.76,3.62,1.44,0.07,0.91,0.31,0.17,0.30,0.01,0.12,123,280,474,303,105,0,556,39,63,175,132,1
3660.76,3.66,1.52,0.09,0.91,0.31,0.17,0.30,0.01,0.12,122,280,474,303,104,0,556,39,63,175,132,1
3660.77,3.55,1.50,0.09,0.91,0.31,0.17,0.30,0.01,0.12,123,280,474,303,104,0,556,39,63,175,132,1
3660.77,3.71,1.72,0.06,0.91,0.31,0.17,0.30,0.01,0.12,122,280,473,303,104,0,555,38,63,175,132,1
3660.78,4.22,1.33,0.24,0.91,0.31,0.16,0.30,0.01,0.13,123,281,474,303,104,0,556,39,64,175,132,1
3660.79,4.19,1.48,0.03,0.91,0.31,0.16,0.30,0.01,0.13,122,280,473,303,104,0,556,38,63,175,132,1
3660.79,4.38,1.56,0.27,0.91,0.31,0.17,0.30,0.01,0.13,122,280,474,303,104,0,556,38,63,175,132,1
3660.80,4.02,1.64,0.17,0.91,0.31,0.17,0.30,0.01,0.13,123,280,474,303,104,0,556,39,63,175,132,1
3660.80,4.34,1.41,0.07,0.90,0.31,0.17,0.30,0.01,0.13,123,279,474,302,104,0,555,38,64,175,132,1
3660.81,4.56,1.39,0.04,0.91,0.31,0.17,0.30,0.02,0.12,122,280,474,302,103,0,555,38,63,175,131,1
3660.81,4.38,1.55,-0.10,0.91,0.31,0.17,0.30,0.02,0.12,123,280,474,303,104,0,556,38,64,174,131,1
3660.81,4.58,1.33,-0.08,0.91,0.31,0.17,0.30,0.02,0.12,122,280,474,302,104,0,555,38,63,175,132,1
3660.82,4.32,1.29,-0.12,0.91,0.31,0.17,0.30,0.01,0.13,122,280,473,303,104,0,556,39,64,175,132,1
3660.83,4.45,1.38,-0.04,0.91,0.31,0.17,0.30,0.01,0.13,122,280,473,303,104,0,556,38,63,174,132,1
3660.83,4.46,1.67,-0.20,0.91,0.30,0.17,0.30,0.01,0.13,122,280,474,303,104,0,556,39,64,175,132,1
3660.84,4.12,1.72,-0.17,0.91,0.30,0.18,0.30,0.01,0.13,122,280,474,303,105,0,556,38,64,175,132,1
3660.84,3.88,1.74,-0.20,0.91,0.31,0.17,0.30,0.01,0.13,122,280,473,303,104,1,556,38,64,175,132,1
