time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
3483.18,-5.85,-0.05,3.82,-0.35,0.69,0.60,-0.10,-0.17,-0.03,223,254,356,321,324,0,375,0,0,57,87,2
3483.18,-5.22,-0.58,2.98,-0.35,0.70,0.59,-0.10,-0.17,-0.03,222,253,356,320,324,0,374,1,1,56,87,2
3483.19,-3.75,-1.41,2.03,-0.35,0.70,0.58,-0.10,-0.17,-0.04,223,254,357,320,324,0,375,0,0,57,87,2
3483.19,-1.54,-2.35,0.90,-0.35,0.70,0.58,-0.10,-0.17,-0.04,222,253,357,321,322,0,375,0,0,57,87,2
3483.20,0.53,-3.75,-0.52,-0.36,0.71,0.57,-0.10,-0.17,-0.04,222,254,357,319,321,0,375,0,0,56,87,2
3483.20,3.32,-4.45,-1.74,-0.36,0.70,0.58,-0.10,-0.17,-0.04,222,253,357,319,320,0,374,0,0,56,87,2
3483.21,5.14,-4.87,-2.44,-0.36,0.70,0.58,-0.10,-0.17,-0.04,220,254,357,319,320,0,373,0,0,56,88,2
3483.21,8.95,-5.19,-3.13,-0.35,0.69,0.58,-0.09,-0.17,-0.04,219,253,357,320,320,0,374,0,0,57,88,2
3483.22,7.63,-5.37,-3.74,-0.36,0.69,0.60,-0.09,-0.17,-0.04,218,253,357,319,319,0,374,0,0,56,87,2
3483.22,7.69,-5.09,-3.59,-0.37,0.69,0.60,-0.10,-0.17,-0.03,218,253,357,319,319,0,374,0,0,57,87,2
3483.23,7.60,-4.67,-3.46,-0.37,0.69,0.60,-0.10,-0.17,-0.03,219,254,357,319,319,0,373,0,0,56,87,2
3483.23,6.78,-3.95,-3.54,-0.37,0.69,0.60,-0.10,-0.17,-0.03,218,253,357,319,319,0,374,1,0,56,87,2
3483.24,6.02,-3.31,-2.72,-0.37,0.69,0.60,-0.09,-0.17,-0.03,218,253,357,320,318,0,374,0,1,56,87,2
3483.24,4.92,-2.81,-2.52,-0.37,0.69,0.60,-0.09,-0.17,-0.03,217,253,357,318,318,0,373,0,0,57,87,2
