time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
3463.15,8.80,-1.02,-2.20,-0.97,0.03,0.25,-0.35,0.08,0.11,96,303,100,79,217,0,372,0,0,66,77,0
3463.16,9.14,-1.75,-2.69,-0.97,0.03,0.26,-0.35,0.08,0.11,96,302,100,78,217,0,372,0,0,67,77,0
3463.16,9.06,-2.26,-2.88,-0.96,0.03,0.26,-0.35,0.08,0.11,96,303,99,78,217,0,371,0,0,67,77,0
3463.17,8.69,-2.76,-3.22,-0.96,0.03,0.26,-0.35,0.08,0.11,97,302,100,79,217,0,370,0,0,67,77,0
3468.65,5.49,-0.39,1.42,0.90,0.37,0.08,0.25,-0.06,0.13,112,266,428,371,152,0,121,54,0,169,74,0
3468.65,5.70,-0.04,1.02,0.89,0.37,0.07,0.25,-0.06,0.13,112,266,428,370,151,0,121,54,0,170,75,0
3468.66,6.10,2.13,0.97,0.90,0.36,0.09,0.25,-0.06,0.13,112,265,428,371,152,0,121,54,0,170,75,0
3468.66,6.40,0.21,0.82,0.90,0.36,0.09,0.26,-0.06,0.13,112,266,428,372,151,0,121,54,0,169,75,0
3468.67,5.50,0.42,1.07,0.90,0.36,0.10,0.26,-0.06,0.13,112,266,428,370,151,0,121,55,0,170,74,0
3468.67,5.67,0.10,1.15,0.90,0.36,0.10,0.26,-0.06,0.13,112,265,429,371,152,0,121,54,0,170,75,0
3468.68,5.01,0.27,0.82,0.90,0.36,0.09,0.26,-0.06,0.13,112,266,428,371,152,0,121,54,0,170,75,0
3468.68,4.27,0.11,1.19,0.91,0.35,0.10,0.26,-0.06,0.13,112,265,428,370,151,1,121,53,0,170,75,0
3468.69,3.79,0.40,1.46,0.90,0.35,0.10,0.26,-0.06,0.13,112,265,427,371,152,0,121,53,0,170,74,0
3468.69,2.73,0.44,1.44,0.91,0.35,0.10,0.26,-0.06,0.13,112,266,428,371,152,0,120,54,0,170,75,0
3468.70,2.31,0.60,1.52,0.92,0.35,0.10,0.26,-0.06,0.13,112,265,428,371,151,0,121,54,0,170,75,0
3468.70,1.09,0.49,1.93,0.91,0.35,0.10,0.25,-0.06,0.13,112,266,428,373,152,1,120,54,0,170,75,0
3468.71,0.64,0.24,2.17,0.91,0.36,0.08,0.25,-0.06,0.13,112,265,427,373,152,0,121,54,0,170,75,0
3468.71,0.10,0.67,2.24,0.91,0.36,0.10,0.25,-0.06,0.13,112,266,428,374,152,0,121,54,0,170,75,0
3468.72,-0.23,0.32,2.40,0.91,0.36,0.09,0.25,-0.06,0.13,112,265,429,374,151,0,121,54,0,170,75,0
3468.72,-0.35,0.02,2.48,0.91,0.36,0.09,0.25,-0.06,0.13,113,265,429,374,151,0,121,54,0,170,76,0
3468.73,-0.59,0.02,2.48,0.91,0.36,0.09,0.26,-0.07,0.13,113,266,429,374,152,0,121,54,0,170,75,0
3468.73,-0.60,-0.24,2.41,0.91,0.36,0.08,0.26,-0.07,0.13,112,266,429,374,151,0,121,54,0,169,76,0
3468.74,-0.26,-0.28,2.48,0.91,0.36,0.09,0.26,-0.07,0.13,112,265,428,374,151,0,121,53,0,169,76,0
3468.74,-0.29,-0.54,2.39,0.91,0.37,0.08,0.25,-0.06,0.13,113,266,428,374,151,0,121,53,0,170,75,0
3468.75,0.60,-0.44,2.41,0.91,0.37,0.07,0.25,-0.06,0.13,113,266,429,374,151,0,121,52,0,170,75,0
3468.75,0.88,-0.36,2.21,0.91,0.37,0.08,0.26,-0.06,0.13,112,265,429,374,151,0,121,53,0,170,76,0
3468.76,1.42,-0.11,2.26,0.91,0.37,0.08,0.26,-0.06,0.13,113,266,428,374,151,0,122,52,0,169,76,0
3468.76,2.28,-0.13,2.45,0.91,0.37,0.08,0.26,-0.06,0.13,112,265,428,375,151,0,122,54,0,169,75,0
3468.77,2.81,-0.23,2.45,0.91,0.37,0.07,0.26,-0.06,0.13,112,265,428,375,152,0,121,54,0,169,75,0
3468.77,3.78,0.00,2.00,0.92,0.37,0.08,0.26,-0.06,0.13,112,265,429,375,151,0,122,53,0,169,76,0
3468.78,3.85,0.17,1.95,0.91,0.37,0.07,0.25,-0.06,0.13,113,265,429,375,151,0,121,54,0,169,76,0
3468.78,4.59,0.21,2.18,0.91,0.37,0.08,0.25,-0.06,0.13,113,265,428,376,150,0,122,54,0,169,76,0
3468.79,5.36,0.17,1.82,0.91,0.37,0.08,0.25,-0.06,0.13,112,266,428,375,150,0,122,54,0,169,76,0
3468.79,5.83,0.35,1.84,0.91,0.37,0.07,0.26,-0.06,0.13,113,265,428,376,151,0,121,54,0,170,76,0
3468.80,6.36,0.31,1.86,0.91,0.36,0.09,0.26,-0.06,0.13,112,265,428,375,151,0,122,54,0,170,76,0
3468.80,6.89,0.33,1.93,0.91,0.36,0.09,0.25,-0.06,0.13,113,266,429,375,150,0,122,54,0,169,76,0
3468.81,7.09,0.17,1.74,0.91,0.36,0.08,0.25,-0.06,0.13,113,265,429,375,150,0,122,54,0,169,76,0
