time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,class
160.15,5.01,1.06,0.98,-0.22,0.42,0.87,-0.34,0.17,-0.31,119,302,472,208,85,100,583,0,0,40,188,3
160.16,4.39,0.59,0.78,-0.22,0.42,0.86,-0.34,0.17,-0.30,119,301,472,208,84,100,584,0,0,39,188,3
160.16,3.50,0.28,1.01,-0.22,0.42,0.86,-0.34,0.17,-0.30,120,301,471,208,84,100,584,0,0,39,188,3
160.17,3.03,0.37,1.29,-0.22,0.41,0.85,-0.34,0.17,-0.30,119,302,471,208,85,100,584,0,0,40,188,3
160.17,1.99,0.47,1.90,-0.22,0.41,0.85,-0.34,0.17,-0.30,119,302,471,208,85,100,584,0,0,40,188,3
160.18,0.94,1.03,2.02,-0.23,0.42,0.84,-0.34,0.17,-0.30,119,301,470,208,85,100,584,0,0,40,189,3
160.18,0.00,0.80,2.05,-0.23,0.43,0.84,-0.34,0.17,-0.30,120,302,470,209,85,100,584,0,0,40,189,3
160.19,0.11,1.52,2.20,-0.23,0.43,0.84,-0.34,0.17,-0.30,120,301,470,208,85,100,584,0,0,40,188,3
160.19,0.90,1.20,2.14,-0.23,0.44,0.83,-0.34,0.17,-0.30,119,301,470,209,85,100,583,0,0,40,189,3
160.20,1.38,1.02,0.13,-0.24,0.43,0.83,-0.34,0.16,-0.30,120,303,469,208,84,100,584,0,0,41,189,3
160.20,2.49,1.15,2.14,-0.24,0.43,0.84,-0.34,0.16,-0.30,120,301,470,208,84,100,584,0,0,40,189,3
160.21,3.76,0.81,1.82,-0.23,0.43,0.84,-0.34,0.17,-0.31,119,302,469,209,85,101,584,0,0,41,189,3
160.21,4.90,0.71,1.46,-0.23,0.42,0.84,-0.34,0.17,-0.31,119,301,470,208,84,100,584,0,0,40,189,3
160.22,5.57,0.66,1.23,-0.22,0.42,0.86,-0.34,0.17,-0.31,120,302,470,209,84,101,583,0,0,41,189,3
160.22,5.73,0.17,0.78,-0.22,0.42,0.86,-0.34,0.17,-0.30,120,302,470,209,84,101,584,0,0,41,189,3
160.23,6.16,-0.17,0.49,-0.22,0.42,0.87,-0.34,0.17,-0.30,120,301,470,208,84,101,584,0,0,41,188,3
160.23,6.04,-0.55,0.29,-0.22,0.42,0.87,-0.34,0.17,-0.30,120,303,471,208,84,101,584,0,0,41,189,3
160.24,5.27,-0.60,0.04,-0.22,0.42,0.87,-0.34,0.17,-0.30,120,302,471,208,84,101,584,0,0,41,188,3
160.24,5.00,-0.72,0.07,-0.22,0.41,0.88,-0.34,0.17,-0.30,120,301,470,209,84,101,583,0,0,40,188,3
160.25,4.25,-0.71,0.08,-0.22,0.41,0.86,-0.34,0.17,-0.30,120,302,470,208,85,100,583,0,0,41,188,3
160.25,3.20,-0.75,0.12,-0.23,0.41,0.86,-0.34,0.17,-0.30,120,302,470,209,84,100,583,0,0,41,188,3
160.26,1.85,-0.59,0.41,-0.23,0.41,0.86,-0.34,0.17,-0.30,120,302,470,208,84,100,584,0,0,40,188,3
160.26,0.55,-0.61,0.51,-0.23,0.41,0.85,-0.34,0.17,-0.30,121,302,472,209,85,100,583,0,0,41,188,3
160.27,-0.20,-0.49,0.88,-0.22,0.42,0.85,-0.34,0.17,-0.30,120,302,471,208,84,100,583,0,0,41,187,3
160.27,-0.88,-0.47,1.25,-0.22,0.43,0.84,-0.34,0.17,-0.31,120,302,471,209,84,100,583,0,0,41,188,3
160.28,-1.03,-0.51,1.58,-0.22,0.43,0.83,-0.34,0.17,-0.31,120,302,472,208,85,100,583,0,0,42,188,3
160.28,-0.63,-0.56,1.85,-0.23,0.43,0.83,-0.34,0.17,-0.31,120,302,472,208,85,100,584,0,0,41,188,3
160.29,-0.42,-0.62,1.99,-0.23,0.43,0.82,-0.34,0.17,-0.31,121,301,472,207,84,101,584,0,0,42,188,3
160.29,0.12,-0.76,1.87,-0.24,0.43,0.83,-0.34,0.17,-0.31,121,302,472,206,84,100,584,0,0,41,189,3
160.30,0.74,-0.54,1.81,-0.25,0.44,0.83,-0.34,0.17,-0.30,120,302,473,208,84,101,584,0,0,42,188,3
160.30,1.53,-0.16,1.75,-0.23,0.44,0.83,-0.34,0.17,-0.30,120,302,473,208,83,101,584,0,0,42,188,3
160.31,1.81,-0.24,1.49,-0.23,0.44,0.84,-0.34,0.17,-0.30,120,302,473,208,84,101,584,0,0,42,188,3
160.31,2.39,-0.20,1.34,-0.23,0.44,0.85,-0.34,0.17,-0.30,120,302,473,208,84,101,584,0,0,42,187,3
160.32,2.18,-0.23,1.28,-0.23,0.44,0.85,-0.34,0.17,-0.30,120,302,473,209,85,101,583,0,0,42,188,3
160.32,2.19,-0.24,1.32,-0.23,0.44,0.85,-0.33,0.17,-0.30,121,302,473,208,84,102,584,0,0,42,188,3
160.33,2.38,-0.29,1.50,-0.24,0.44,0.85,-0.33,0.17,-0.30,120,302,474,209,84,101,584,0,0,41,188,3
160.33,2.41,-0.25,1.39,-0.24,0.44,0.86,-0.33,0.17,-0.30,121,302,473,208,84,101,584,0,0,42,187,3
160.34,3.09,-0.31,1.09,-0.24,0.44,0.85,-0.34,0.17,-0.30,120,302,473,208,83,102,584,0,0,41,188,3
160.34,3.18,-0.04,0.94,-0.23,0.43,0.85,-0.34,0.17,-0.30,121,301,473,209,84,101,584,0,0,43,188,3
160.35,2.93,-0.15,0.93,-0.23,0.43,0.85,-0.34,0.17,-0.30,120,302,474,207,84,102,584,0,0,42,188,3
160.35,3.12,-0.42,0.94,-0.23,0.42,0.84,-0.34,0.17,-0.30,121,303,473,208,85,102,584,0,0,42,188,3
160.36,2.91,-0.11,1.20,-0.23,0.43,0.84,-0.34,0.17,-0.30,121,302,474,208,84,102,583,0,0,42,188,3
160.36,2.97,0.10,1.35,-0.22,0.43,0.83,-0.34,0.17,-0.30,121,302,474,209,84,102,584,0,0,42,188,3
160.37,2.84,0.42,1.50,-0.23,0.44,0.83,-0.34,0.17,-0.30,121,302,474,208,84,103,584,0,0,42,188,3
160.37,3.47,0.23,1.87,-0.23,0.43,0.83,-0.34,0.17,-0.30,121,302,474,208,83,102,583,0,0,42,188,3
160.38,4.00,0.41,1.88,-0.23,0.43,0.83,-0.34,0.17,-0.30,120,302,474,208,85,102,584,0,0,42,188,3
